"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"3rd week, 2026",,,,,,"Data collected as of January 21, 2026"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,185435,48.91,,,,
Hokkaido,6190,36.85,,,,
Aomori,2207,42.44,,,,
Iwate,2490,59.29,,,,
Miyagi,3194,58.07,,,,
Akita,862,34.48,,,,
Yamagata,1951,52.73,,,,
Fukushima,2464,51.33,,,,
Ibaraki,3878,57.88,,,,
Tochigi,3093,65.81,,,,
Gunma,3016,67.02,,,,
Saitama,11000,62.5,,,,
Chiba,9991,54.9,,,,
Tokyo,17688,42.32,,,,
Kanagawa,12414,52.16,,,,
Niigata,2223,42.75,,,,
Toyama,2557,54.4,,,,
Ishikawa,2152,45.79,,,,
Fukui,1264,32.41,,,,
Yamanashi,1129,32.26,,,,
Nagano,2783,55.66,,,,
Gifu,1916,42.58,,,,
Shizuoka,5741,41.3,,,,
Aichi,9556,58.63,,,,
Mie,2862,41.48,,,,
Shiga,2959,51.02,,,,
Kyoto,2896,45.25,,,,
Osaka,9546,32.92,,,,
Hyogo,8234,50.21,,,,
Nara,1347,32.85,,,,
Wakayama,1982,44.04,,,,
Tottori,1313,45.28,,,,
Shimane,1119,55.95,,,,
Okayama,2552,51.04,,,,
Hiroshima,4399,47.3,,,,
Yamaguchi,3674,58.32,,,,
Tokushima,1349,40.88,,,,
Kagawa,893,38.83,,,,
Ehime,2391,64.62,,,,
Kochi,1718,45.21,,,,
Fukuoka,6385,52.34,,,,
Saga,1101,45.88,,,,
Nagasaki,3099,60.76,,,,
Kumamoto,3682,51.14,,,,
Oita,3697,63.74,,,,
Miyazaki,1789,63.89,,,,
Kagoshima,3775,66.23,,,,
Okinawa,2914,64.76,,,,
