"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年10週(03月02日～03月08日)","2026年03月11日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","54516","14.33","1307","0.57","580","0.25","6452","2.80","15024","6.52","757","0.33","148","0.06","287","0.12","456","0.20","43","0.02","58","0.03","1","0.00","234","0.34","13","0.03","14","0.03","98","0.20","3","0.01","43","0.09","4783","1.26"
"北海道","4361","26.11","94","0.94","18","0.18","734","7.34","490","4.90","73","0.73","6","0.06","12","0.12","15","0.15","1","0.01","2","0.02","-","-","2","0.07","-","-","-","-","5","0.22","-","-","3","0.13","446","2.67"
"青森県","1265","24.33","16","0.47","6","0.18","84","2.47","123","3.62","19","0.56","-","-","1","0.03","7","0.21","-","-","-","-","-","-","-","-","-","-","-","-","8","1.33","-","-","-","-","132","2.54"
"岩手県","1106","26.33","18","0.67","8","0.30","120","4.44","226","8.37","4","0.15","-","-","23","0.85","9","0.33","-","-","1","0.04","-","-","1","0.07","-","-","-","-","5","0.26","-","-","-","-","222","5.29"
"宮城県","738","13.42","26","0.84","12","0.39","60","1.94","201","6.48","7","0.23","-","-","2","0.06","9","0.29","-","-","-","-","-","-","9","0.75","-","-","-","-","1","0.10","-","-","-","-","176","3.20"
"秋田県","322","12.88","6","0.46","10","0.77","40","3.08","115","8.85","9","0.69","-","-","-","-","1","0.08","-","-","-","-","-","-","3","0.43","-","-","-","-","2","0.25","-","-","-","-","86","3.44"
"山形県","741","19.00","22","0.85","9","0.35","144","5.54","232","8.92","25","0.96","-","-","4","0.15","6","0.23","-","-","-","-","-","-","6","0.75","1","0.10","-","-","1","0.10","-","-","-","-","103","2.64"
"福島県","686","14.29","30","1.07","6","0.21","36","1.29","135","4.82","12","0.43","-","-","-","-","13","0.46","3","0.11","3","0.11","-","-","1","0.08","1","0.14","-","-","1","0.14","-","-","-","-","154","3.21"
"茨城県","798","11.91","12","0.32","3","0.08","136","3.68","235","6.35","8","0.22","1","0.03","3","0.08","2","0.05","-","-","-","-","-","-","18","1.06","-","-","2","0.15","-","-","-","-","1","0.08","136","2.03"
"栃木県","634","13.49","17","0.63","1","0.04","57","2.11","177","6.56","3","0.11","-","-","3","0.11","3","0.11","-","-","-","-","-","-","6","0.50","-","-","-","-","3","0.43","-","-","3","0.43","96","2.04"
"群馬県","716","15.91","21","0.84","6","0.24","41","1.64","282","11.28","7","0.28","-","-","2","0.08","6","0.24","-","-","1","0.04","-","-","3","0.30","-","-","-","-","7","0.78","-","-","5","0.56","68","1.51"
"埼玉県","2709","15.39","28","0.25","23","0.21","262","2.36","851","7.67","49","0.44","5","0.05","4","0.04","13","0.12","2","0.02","4","0.04","-","-","4","0.09","1","0.08","-","-","3","0.25","-","-","1","0.08","243","1.38"
"千葉県","2277","12.44","37","0.33","11","0.10","299","2.69","621","5.59","35","0.32","2","0.02","6","0.05","15","0.14","2","0.02","4","0.04","-","-","15","0.44","-","-","-","-","-","-","-","-","-","-","245","1.34"
"東京都","4466","10.68","84","0.32","28","0.11","415","1.58","1923","7.31","81","0.31","8","0.03","13","0.05","59","0.22","3","0.01","6","0.02","-","-","4","0.10","2","0.08","-","-","2","0.08","-","-","4","0.16","397","0.95"
"神奈川県","3191","13.19","52","0.37","12","0.09","270","1.93","890","6.36","31","0.22","1","0.01","4","0.03","19","0.14","2","0.01","3","0.02","-","-","24","0.47","-","-","-","-","2","0.17","-","-","7","0.58","353","1.46"
"新潟県","1332","24.22","18","0.60","2","0.07","125","4.17","133","4.43","13","0.43","1","0.03","19","0.63","2","0.07","3","0.10","1","0.03","1","0.10","1","0.10","-","-","-","-","3","0.23","-","-","-","-","124","2.25"
"富山県","1099","22.90","6","0.21","13","0.45","205","7.07","313","10.79","6","0.21","-","-","2","0.07","6","0.21","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","95","1.98"
"石川県","1055","22.45","10","0.36","10","0.36","110","3.93","299","10.68","21","0.75","6","0.21","1","0.04","4","0.14","2","0.07","-","-","-","-","8","1.14","-","-","-","-","-","-","-","-","-","-","63","1.34"
"福井県","619","15.87","10","0.40","13","0.52","99","3.96","151","6.04","26","1.04","28","1.12","7","0.28","6","0.24","5","0.20","1","0.04","-","-","1","0.33","-","-","-","-","2","0.33","-","-","-","-","30","0.77"
"山梨県","359","10.26","2","0.10","-","-","21","1.00","76","3.62","-","-","-","-","1","0.05","1","0.05","-","-","-","-","-","-","1","0.11","1","0.10","-","-","1","0.10","-","-","1","0.10","45","1.29"
"長野県","1454","29.08","9","0.32","1","0.04","75","2.68","240","8.57","9","0.32","1","0.04","1","0.04","4","0.14","2","0.07","-","-","-","-","13","1.30","1","0.08","-","-","5","0.42","-","-","-","-","119","2.38"
"岐阜県","393","8.73","15","0.56","1","0.04","37","1.37","230","8.52","3","0.11","-","-","1","0.04","6","0.22","-","-","1","0.04","-","-","-","-","1","0.20","-","-","6","1.20","1","0.20","2","0.40","45","1.00"
"静岡県","1055","7.59","31","0.35","10","0.11","142","1.60","457","5.13","20","0.22","6","0.07","14","0.16","23","0.26","-","-","3","0.03","-","-","2","0.09","1","0.10","1","0.10","5","0.50","-","-","-","-","141","1.01"
"愛知県","2020","12.39","49","0.49","10","0.10","124","1.23","628","6.22","8","0.08","1","0.01","7","0.07","28","0.28","-","-","2","0.02","-","-","4","0.11","-","-","1","0.07","3","0.20","-","-","3","0.20","122","0.75"
"三重県","711","10.30","37","0.86","8","0.19","81","1.88","263","6.12","8","0.19","1","0.02","2","0.05","4","0.09","1","0.02","-","-","-","-","2","0.17","-","-","-","-","4","0.44","-","-","-","-","39","0.57"
"滋賀県","736","12.69","14","0.40","1","0.03","71","2.03","266","7.60","11","0.31","-","-","3","0.09","4","0.11","-","-","-","-","-","-","-","-","-","-","1","0.14","-","-","-","-","-","-","82","1.41"
"京都府","1085","16.19","16","0.40","24","0.60","170","4.25","235","5.88","11","0.28","-","-","-","-","5","0.13","-","-","2","0.05","-","-","4","0.22","-","-","-","-","7","1.00","-","-","1","0.14","93","1.39"
"大阪府","2904","10.05","138","0.75","49","0.27","391","2.13","968","5.26","66","0.36","1","0.01","11","0.06","24","0.13","1","0.01","2","0.01","-","-","16","0.31","-","-","-","-","-","-","-","-","2","0.11","136","0.47"
