"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"38th week, 2025",,,,,,"Data collected as of September 24, 2025"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,203282,53.05,,,,
Hokkaido,8667,52.53,,,,
Aomori,2379,45.75,,,,
Iwate,3187,77.73,,,,
Miyagi,3628,65.96,,,,
Akita,1161,46.44,,,,
Yamagata,2317,60.97,,,,
Fukushima,3014,62.79,,,,
Ibaraki,4217,62.01,,,,
Tochigi,3564,75.83,,,,
Gunma,3935,87.44,,,,
Saitama,13256,75.75,,,,
Chiba,10276,56.15,,,,
Tokyo,20863,50.15,,,,
Kanagawa,13824,58.33,,,,
Niigata,2792,53.69,,,,
Toyama,3051,63.56,,,,
Ishikawa,2426,51.62,,,,
Fukui,1378,35.33,,,,
Yamanashi,989,29.09,,,,
Nagano,3913,48.91,,,,
Gifu,1491,33.13,,,,
Shizuoka,6950,50,,,,
Aichi,10240,62.82,,,,
Mie,3201,45.73,,,,
Shiga,2555,46.45,,,,
Kyoto,3025,48.79,,,,
Osaka,10153,34.89,,,,
Hyogo,7731,47.14,,,,
Nara,1663,39.6,,,,
Wakayama,1770,39.33,,,,
Tottori,1626,56.07,,,,
Shimane,1068,53.4,,,,
Okayama,2818,56.36,,,,
Hiroshima,4497,47.84,,,,
Yamaguchi,3898,61.87,,,,
Tokushima,1401,41.21,,,,
Kagawa,2003,50.08,,,,
Ehime,2784,73.26,,,,
Kochi,1537,40.45,,,,
Fukuoka,6314,51.75,,,,
Saga,1178,49.08,,,,
Nagasaki,3121,61.2,,,,
Kumamoto,3144,44.28,,,,
Oita,3685,63.53,,,,
Miyazaki,1353,48.32,,,,
Kagoshima,3503,61.46,,,,
Okinawa,1736,39.45,,,,
