"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年06週(02月02日～02月08日)","2026年02月12日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","164744","43.34","1741","0.75","709","0.31","6708","2.91","21866","9.48","770","0.33","136","0.06","428","0.19","482","0.21","30","0.01","72","0.03","5","0.01","304","0.44","5","0.01","12","0.02","158","0.33","6","0.01","28","0.06","10286","2.71"
"北海道","2803","16.68","131","1.28","24","0.24","644","6.31","626","6.14","60","0.59","4","0.04","20","0.20","13","0.13","2","0.02","1","0.01","-","-","2","0.07","-","-","-","-","14","0.61","-","-","-","-","1359","8.09"
"青森県","1245","23.94","14","0.41","6","0.18","55","1.62","107","3.15","20","0.59","-","-","1","0.03","3","0.09","-","-","-","-","-","-","-","-","-","-","-","-","8","1.33","-","-","-","-","207","3.98"
"岩手県","1554","37.00","27","1.00","3","0.11","92","3.41","231","8.56","8","0.30","-","-","29","1.07","12","0.44","-","-","-","-","-","-","1","0.07","-","-","1","0.05","4","0.21","-","-","-","-","401","9.55"
"宮城県","3345","60.82","26","0.84","2","0.06","111","3.58","209","6.74","4","0.13","-","-","4","0.13","6","0.19","1","0.03","4","0.13","-","-","6","0.50","-","-","-","-","1","0.10","-","-","-","-","285","5.18"
"秋田県","644","25.76","6","0.46","1","0.08","21","1.62","74","5.69","6","0.46","-","-","3","0.23","1","0.08","-","-","-","-","-","-","3","0.43","-","-","-","-","5","0.63","-","-","-","-","88","3.52"
"山形県","1142","29.28","20","0.77","11","0.42","157","6.04","230","8.85","21","0.81","1","0.04","5","0.19","10","0.38","-","-","-","-","-","-","6","0.75","-","-","-","-","2","0.20","-","-","-","-","219","5.62"
"福島県","2555","53.23","31","1.11","6","0.21","60","2.14","210","7.50","12","0.43","1","0.04","4","0.14","8","0.29","-","-","-","-","-","-","9","0.69","-","-","-","-","2","0.29","-","-","1","0.14","256","5.33"
"茨城県","3687","55.03","17","0.46","1","0.03","151","4.08","424","11.46","10","0.27","-","-","-","-","7","0.19","1","0.03","1","0.03","-","-","13","0.76","-","-","-","-","14","1.08","-","-","1","0.08","322","4.81"
"栃木県","2745","58.40","24","0.89","1","0.04","58","2.15","203","7.52","5","0.19","-","-","4","0.15","9","0.33","1","0.04","2","0.07","-","-","8","0.67","-","-","-","-","6","0.86","-","-","1","0.14","335","7.13"
"群馬県","1401","31.13","30","1.20","6","0.24","67","2.68","435","17.40","13","0.52","-","-","3","0.12","16","0.64","-","-","1","0.04","-","-","5","0.50","-","-","-","-","9","1.00","-","-","-","-","163","3.62"
"埼玉県","10529","60.17","50","0.45","15","0.14","384","3.46","1409","12.69","32","0.29","5","0.05","8","0.07","19","0.17","3","0.03","12","0.11","1","0.02","8","0.19","-","-","1","0.08","5","0.42","-","-","2","0.17","690","3.94"
"千葉県","11473","62.69","20","0.18","4","0.04","503","4.53","996","8.97","46","0.41","1","0.01","7","0.06","28","0.25","1","0.01","5","0.05","-","-","16","0.47","2","0.22","1","0.11","3","0.33","1","0.11","-","-","531","2.90"
