累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年06週(02月02日～02月08日),2026年02月12日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,458779,123.83,8632,3.84,3528,1.57,31243,13.9,95809,42.62,4962,2.21,674,0.3,3237,1.44,2876,1.28,200,0.09,352,0.16,35,0.05,1715,2.58,44,0.09,79,0.16,1253,2.61,29,0.06,94,0.2,42810,11.55
北海道,8096,49.37,786,8.02,147,1.5,2607,26.6,2628,26.82,351,3.58,26,0.27,150,1.53,63,0.64,4,0.04,4,0.04,-,-,20,0.74,1,0.04,2,0.09,87,3.78,-,-,-,-,6000,36.59
青森県,3769,75.38,86,2.61,30,0.91,264,8,724,21.94,72,2.18,4,0.12,9,0.27,42,1.27,2,0.06,3,0.09,-,-,1,0.11,1,0.17,1,0.17,25,4.17,-,-,-,-,915,18.3
岩手県,3454,82.24,126,4.67,17,0.63,453,16.78,1121,41.52,123,4.56,2,0.07,131,4.85,56,2.07,-,-,2,0.07,-,-,19,1.36,-,-,3,0.16,31,1.63,-,-,-,-,1236,29.43
宮城県,8895,161.73,116,3.74,27,0.87,488,15.74,946,30.52,52,1.68,3,0.1,49,1.58,35,1.13,1,0.03,6,0.19,1,0.08,27,2.25,-,-,-,-,24,2.4,-,-,-,-,1262,22.95
秋田県,1866,77.75,51,4.25,11,0.92,112,9.33,381,31.75,55,4.58,1,0.08,23,1.92,13,1.08,3,0.25,1,0.08,2,0.33,13,2.17,-,-,-,-,49,6.13,-,-,-,-,477,19.88
山形県,3157,85.32,167,6.68,79,3.16,638,25.52,947,37.88,89,3.56,7,0.28,61,2.44,54,2.16,1,0.04,2,0.08,-,-,31,4.43,-,-,1,0.1,23,2.3,-,-,-,-,940,25.41
福島県,6083,126.73,168,6,31,1.11,314,11.21,943,33.68,94,3.36,1,0.04,13,0.46,56,2,1,0.04,6,0.21,1,0.08,63,4.85,-,-,1,0.14,15,2.14,2,0.29,3,0.43,1389,28.94
茨城県,10065,154.85,97,2.77,61,1.74,914,26.11,2019,57.69,89,2.54,7,0.2,6,0.17,42,1.2,4,0.11,4,0.11,-,-,113,7.06,1,0.08,2,0.15,60,4.62,-,-,2,0.15,1337,20.57
栃木県,6244,141.91,104,4.16,28,1.12,421,16.84,1012,40.48,57,2.28,-,-,17,0.68,44,1.76,5,0.2,4,0.16,-,-,37,3.36,-,-,2,0.29,34,4.86,-,-,2,0.29,1332,30.27
群馬県,3661,89.29,135,5.87,48,2.09,277,12.04,2011,87.43,65,2.83,-,-,13,0.57,57,2.48,-,-,6,0.26,-,-,22,2.44,-,-,-,-,61,6.78,-,-,6,0.67,640,15.61
埼玉県,27251,166.16,282,2.74,115,1.12,1806,17.53,6144,59.65,273,2.65,43,0.42,53,0.51,151,1.47,14,0.14,34,0.33,6,0.16,62,1.63,2,0.17,6,0.5,25,2.08,-,-,4,0.33,2793,17.03
千葉県,29962,168.33,135,1.25,47,0.44,2095,19.4,4945,45.79,205,1.9,9,0.08,84,0.78,112,1.04,8,0.07,22,0.2,-,-,68,2.13,6,0.67,2,0.22,14,1.56,2,0.22,3,0.33,1939,10.89
東京都,40616,102.83,388,1.55,220,0.88,2619,10.48,16352,65.41,470,1.88,40,0.16,77,0.31,320,1.28,15,0.06,41,0.16,2,0.06,50,1.39,4,0.16,3,0.12,44,1.76,6,0.24,6,0.24,2663,6.74
