報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2026年06週(02月02日～02月08日),2026年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,458779,123.83,33240,10.34,40111,10.55,43040,11.32,63353,16.65,114291,30.03,164744,43.34
北海道,8096,49.37,1095,7.55,725,4.34,748,4.45,989,5.89,1736,10.33,2803,16.68
青森県,3769,75.38,402,8.93,369,7.1,313,6.02,524,10.08,916,17.62,1245,23.94
岩手県,3454,82.24,209,4.98,240,5.71,242,5.76,330,7.86,879,20.93,1554,37
宮城県,8895,161.73,292,5.31,532,9.67,663,12.05,1367,24.85,2696,49.02,3345,60.82
秋田県,1866,77.75,298,13.55,139,5.56,123,4.92,233,9.32,429,17.16,644,25.76
山形県,3157,85.32,265,9.46,268,6.87,240,6.32,453,11.62,789,20.23,1142,29.28
福島県,6083,126.73,466,9.71,353,7.35,380,7.92,744,15.5,1585,33.02,2555,53.23
茨城県,10065,154.85,970,17.64,764,11.4,841,12.55,1294,19.31,2509,37.45,3687,55.03
栃木県,6244,141.91,269,9.28,370,7.87,411,8.74,660,14.04,1789,38.06,2745,58.4
群馬県,3661,89.29,230,9.58,380,8.44,372,8.27,452,10.04,826,18.36,1401,31.13
埼玉県,27251,166.16,1580,14.91,1927,10.95,2153,12.23,3903,22.18,7159,40.68,10529,60.17
千葉県,29962,168.33,1129,7.33,2029,11.15,2544,13.9,4354,23.79,8433,46.08,11473,62.69
東京都,40616,102.83,1389,4.93,2882,6.88,3032,7.25,5779,13.83,11149,26.67,16385,39.39
神奈川県,32153,142.27,696,4.8,2197,9.08,2357,9.78,4432,18.24,8921,36.56,13550,55.76
新潟県,4169,75.8,476,8.65,420,7.64,323,5.87,423,7.69,1075,19.55,1452,26.4
富山県,3208,71.29,259,6.64,368,7.83,307,6.53,418,8.89,698,14.85,1158,24.64
石川県,3029,64.45,283,6.02,390,8.3,417,8.87,461,9.81,605,12.87,873,18.57
福井県,2749,70.49,321,8.23,292,7.49,335,8.59,427,10.95,582,14.92,792,20.31
山梨県,5349,152.83,176,5.03,351,10.03,292,8.34,778,22.23,1644,46.97,2108,60.23
長野県,5062,105.46,544,13.6,505,10.1,498,9.96,599,11.98,1128,22.56,1788,35.76
岐阜県,5480,124.55,847,19.7,375,8.33,532,11.82,741,16.47,1371,30.47,1614,35.87
静岡県,21202,152.53,965,6.94,1605,11.55,1671,12.02,3160,22.73,6017,43.29,7784,56
愛知県,25248,154.9,1935,11.87,2225,13.65,2256,13.84,3505,21.5,6316,38.75,9011,55.28
三重県,10345,161.64,532,12.37,808,11.71,894,12.96,1645,23.84,2836,41.1,3630,53.38
滋賀県,5207,94.67,526,12.23,512,8.83,484,8.34,685,11.81,1260,21.72,1740,30
京都府,7510,115.54,577,9.31,717,10.86,768,11.46,1038,15.73,1766,26.76,2644,40.06
大阪府,24812,85.56,1869,6.44,2345,8.09,2371,8.18,3251,11.21,5972,20.59,9004,31.05
兵庫県,22993,144.61,1028,7.5,2032,12.39,2312,14.1,3499,21.34,6030,36.77,8092,49.34
奈良県,4741,128.14,58,3.41,411,10.02,420,10.24,599,14.26,1227,29.21,2026,48.24
和歌山県,5691,129.34,326,7.58,556,12.36,636,14.13,974,21.64,1560,34.67,1639,36.42
鳥取県,1899,65.48,386,13.31,328,11.31,258,8.9,211,7.28,274,9.45,442,15.24
島根県,2530,126.5,361,18.05,270,13.5,276,13.8,322,16.1,561,28.05,740,37
岡山県,4516,90.32,539,10.78,615,12.3,557,11.14,553,11.06,876,17.52,1376,27.52
広島県,7203,80.93,855,12.21,889,9.56,795,8.55,841,9.04,1479,15.9,2344,25.2
山口県,7362,116.86,451,7.16,648,10.29,813,12.9,1040,16.51,1651,26.21,2759,43.79
徳島県,3040,92.12,314,9.52,426,12.91,370,11.21,374,11.33,632,19.15,924,28
香川県,1437,62.48,361,15.7,183,7.96,189,8.22,164,7.13,198,8.61,342,14.87
愛媛県,6228,177.94,443,17.04,661,17.86,719,19.43,817,22.08,1308,35.35,2280,61.62
高知県,5194,136.68,646,17,771,20.29,694,18.26,854,22.47,1035,27.24,1194,31.42
福岡県,18513,151.75,2475,20.29,2057,16.72,2251,18.45,2291,18.78,3726,30.54,5713,46.83
佐賀県,3246,141.13,235,10.68,374,15.58,458,19.08,484,20.17,753,31.38,942,39.25
長崎県,8350,167,869,17.73,846,16.59,945,18.53,1168,22.9,1738,34.08,2784,54.59
熊本県,10582,149.04,1001,14.3,1047,14.54,1191,16.54,1292,17.94,2292,31.83,3759,52.21
大分県,11879,204.81,998,17.21,877,15.12,1243,21.43,1676,28.9,3044,52.48,4041,69.67
宮崎県,6205,229.81,929,38.71,877,31.32,861,30.75,822,29.36,1122,40.07,1594,56.93
鹿児島県,13355,234.3,1322,23.19,1340,23.51,1595,27.98,2006,35.19,2827,49.6,4265,74.82
沖縄県,5173,114.96,1043,23.18,815,18.11,890,19.78,721,16.02,872,19.38,832,18.49
,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8632,3.84,674,0.34,1211,0.52,1430,0.62,1805,0.78,1771,0.77,1741,0.75
北海道,786,8.02,73,0.89,117,1.16,130,1.27,162,1.59,173,1.7,131,1.28
青森県,86,2.61,14,0.44,5,0.15,22,0.65,18,0.53,13,0.38,14,0.41
岩手県,126,4.67,1,0.04,7,0.26,11,0.41,38,1.41,42,1.56,27,1
宮城県,116,3.74,6,0.19,12,0.39,17,0.55,27,0.87,28,0.9,26,0.84
秋田県,51,4.25,5,0.42,10,0.77,12,0.92,10,0.77,8,0.62,6,0.46
山形県,167,6.68,7,0.35,13,0.5,47,1.81,53,2.04,27,1.04,20,0.77
福島県,168,6,8,0.29,15,0.54,22,0.79,46,1.64,46,1.64,31,1.11
茨城県,97,2.77,15,0.52,13,0.35,14,0.38,22,0.59,16,0.43,17,0.46
栃木県,104,4.16,6,0.33,18,0.67,13,0.48,23,0.85,20,0.74,24,0.89
群馬県,135,5.87,14,0.93,11,0.44,23,0.92,27,1.08,30,1.2,30,1.2
埼玉県,282,2.74,19,0.28,40,0.36,48,0.43,54,0.49,71,0.64,50,0.45
千葉県,135,1.25,9,0.1,25,0.23,22,0.2,24,0.22,35,0.32,20,0.18
東京都,388,1.55,33,0.18,70,0.27,67,0.25,72,0.27,68,0.26,78,0.3
神奈川県,272,2.06,22,0.25,36,0.26,35,0.25,45,0.32,52,0.37,82,0.58
新潟県,64,2.13,6,0.2,7,0.23,9,0.3,18,0.6,13,0.43,11,0.37
富山県,50,1.79,5,0.21,5,0.17,15,0.52,12,0.41,8,0.28,5,0.17
石川県,116,4.14,8,0.29,18,0.64,22,0.79,31,1.11,14,0.5,23,0.82
福井県,107,4.28,8,0.32,18,0.72,17,0.68,28,1.12,16,0.64,20,0.8
山梨県,59,2.81,4,0.19,8,0.38,4,0.19,13,0.62,11,0.52,19,0.9
長野県,144,5.33,15,0.65,29,1.04,30,1.07,23,0.82,19,0.68,28,1
岐阜県,83,3.19,28,1.08,6,0.22,11,0.41,13,0.48,11,0.41,14,0.52
静岡県,139,1.56,8,0.09,24,0.27,24,0.27,29,0.33,20,0.22,34,0.38
愛知県,338,3.35,26,0.26,58,0.57,68,0.67,59,0.58,64,0.63,63,0.62
三重県,214,5.35,13,0.46,34,0.79,43,1,46,1.07,40,0.93,38,0.9
滋賀県,151,4.58,16,0.67,21,0.6,18,0.51,30,0.86,33,0.94,33,0.94
京都府,157,4.13,9,0.25,19,0.49,13,0.33,38,0.97,38,0.97,40,1.03
大阪府,1172,6.34,114,0.62,203,1.1,171,0.92,215,1.16,237,1.28,232,1.25
兵庫県,542,5.37,37,0.44,84,0.8,91,0.87,93,0.89,126,1.2,111,1.06
奈良県,164,7.81,4,0.44,26,1.13,29,1.26,26,1.08,37,1.54,42,1.75
和歌山県,183,7.04,14,0.54,36,1.33,36,1.33,31,1.15,32,1.19,34,1.26
鳥取県,82,4.32,1,0.05,8,0.42,10,0.53,15,0.79,24,1.26,24,1.26
島根県,96,8.73,6,0.55,6,0.55,19,1.73,37,3.36,23,2.09,5,0.45
岡山県,158,5.64,4,0.14,22,0.79,29,1.04,42,1.5,27,0.96,34,1.21
広島県,173,3.26,13,0.33,21,0.38,25,0.45,28,0.5,42,0.75,44,0.79
山口県,268,6.7,12,0.3,31,0.78,31,0.78,58,1.45,60,1.5,76,1.9
徳島県,79,3.76,6,0.29,9,0.43,19,0.9,18,0.86,16,0.76,11,0.52
香川県,78,6,12,0.92,13,1,14,1.08,14,1.08,8,0.62,17,1.31
愛媛県,98,5.44,4,0.31,16,0.8,13,0.65,20,1,24,1.2,21,1.05
高知県,47,2.35,3,0.15,3,0.15,8,0.4,10,0.5,12,0.6,11,0.55
福岡県,275,3.93,15,0.21,31,0.44,37,0.53,74,1.06,64,0.91,54,0.77
佐賀県,39,3.55,1,0.1,2,0.17,9,0.75,6,0.5,9,0.75,12,1
長崎県,66,2.2,3,0.1,1,0.03,20,0.65,14,0.45,10,0.32,18,0.58
熊本県,257,5.35,10,0.21,20,0.42,45,0.94,74,1.54,56,1.17,52,1.08
大分県,95,2.64,10,0.28,10,0.28,17,0.47,13,0.36,22,0.61,23,0.64
宮崎県,32,2.29,3,0.25,2,0.13,2,0.13,13,0.87,3,0.2,9,0.6
鹿児島県,170,5.48,23,0.74,20,0.65,45,1.45,41,1.32,21,0.68,20,0.65
沖縄県,23,0.92,1,0.04,8,0.32,3,0.12,2,0.08,2,0.08,7,0.28
,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3528,1.57,255,0.13,651,0.28,504,0.22,740,0.32,669,0.29,709,0.31
北海道,147,1.5,19,0.23,27,0.27,22,0.22,30,0.29,25,0.25,24,0.24
青森県,30,0.91,3,0.09,4,0.12,2,0.06,10,0.29,5,0.15,6,0.18
岩手県,17,0.63,1,0.04,6,0.22,2,0.07,4,0.15,1,0.04,3,0.11
宮城県,27,0.87,1,0.03,2,0.06,8,0.26,11,0.35,3,0.1,2,0.06
秋田県,11,0.92,1,0.08,3,0.23,1,0.08,4,0.31,1,0.08,1,0.08
山形県,79,3.16,11,0.55,18,0.69,16,0.62,19,0.73,4,0.15,11,0.42
福島県,31,1.11,4,0.14,5,0.18,7,0.25,5,0.18,4,0.14,6,0.21
茨城県,61,1.74,8,0.28,13,0.35,11,0.3,22,0.59,6,0.16,1,0.03
栃木県,28,1.12,5,0.28,6,0.22,2,0.07,10,0.37,4,0.15,1,0.04
群馬県,48,2.09,7,0.47,13,0.52,7,0.28,9,0.36,6,0.24,6,0.24
埼玉県,115,1.12,7,0.1,37,0.33,13,0.12,26,0.23,17,0.15,15,0.14
千葉県,47,0.44,3,0.03,10,0.09,9,0.08,11,0.1,10,0.09,4,0.04
東京都,220,0.88,13,0.07,35,0.13,26,0.1,41,0.16,55,0.21,50,0.19
神奈川県,77,0.58,5,0.06,8,0.06,11,0.08,20,0.14,14,0.1,19,0.13
新潟県,19,0.63,3,0.1,7,0.23,2,0.07,3,0.1,3,0.1,1,0.03
富山県,64,2.29,4,0.17,15,0.52,8,0.28,13,0.45,13,0.45,11,0.38
石川県,57,2.04,7,0.25,7,0.25,8,0.29,9,0.32,13,0.46,13,0.46
福井県,57,2.28,5,0.2,7,0.28,7,0.28,12,0.48,6,0.24,20,0.8
山梨県,7,0.33,4,0.19,1,0.05,0,0,0,0,1,0.05,1,0.05
長野県,16,0.59,0,0,3,0.11,3,0.11,4,0.14,4,0.14,2,0.07
岐阜県,21,0.81,2,0.08,3,0.11,2,0.07,5,0.19,3,0.11,6,0.22
静岡県,72,0.81,6,0.07,15,0.17,8,0.09,15,0.17,12,0.13,16,0.18
愛知県,69,0.68,8,0.08,20,0.2,11,0.11,12,0.12,6,0.06,12,0.12
三重県,56,1.4,1,0.04,10,0.23,14,0.33,10,0.23,11,0.26,10,0.24
滋賀県,24,0.73,3,0.13,6,0.17,0,0,5,0.14,8,0.23,2,0.06
京都府,174,4.58,6,0.17,16,0.41,18,0.45,38,0.97,50,1.28,46,1.18
大阪府,325,1.76,13,0.07,59,0.32,53,0.29,59,0.32,66,0.36,75,0.41
兵庫県,207,2.05,13,0.15,30,0.29,29,0.28,44,0.42,47,0.45,44,0.42
奈良県,47,2.24,1,0.11,7,0.3,5,0.22,6,0.25,22,0.92,6,0.25
和歌山県,40,1.54,3,0.12,9,0.33,9,0.33,8,0.3,6,0.22,5,0.19
鳥取県,29,1.53,6,0.32,5,0.26,4,0.21,4,0.21,5,0.26,5,0.26
島根県,71,6.45,4,0.36,12,1.09,13,1.18,15,1.36,10,0.91,17,1.55
岡山県,17,0.61,1,0.04,2,0.07,4,0.14,3,0.11,3,0.11,4,0.14
広島県,109,2.06,2,0.05,25,0.45,15,0.27,24,0.43,20,0.36,23,0.41
山口県,45,1.13,2,0.05,14,0.35,8,0.2,4,0.1,6,0.15,11,0.28
徳島県,19,0.9,0,0,6,0.29,4,0.19,2,0.1,3,0.14,4,0.19
香川県,14,1.08,3,0.23,2,0.15,1,0.08,6,0.46,1,0.08,1,0.08
