"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2026",,,,,,"Data collected as of March 4, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,86175,22.66,1134,0.49,493,0.21,5096,2.21,14538,6.31,663,0.29,123,0.05,286,0.12,423,0.18,29,0.01,44,0.02,7,0.01,249,0.36,9,0.02,16,0.03,119,0.25,5,0.01,30,0.06,5105,1.34
Hokkaido,3850,23.05,88,0.88,26,0.26,542,5.42,417,4.17,65,0.65,2,0.02,17,0.17,15,0.15,2,0.02,3,0.03,-,-,4,0.14,-,-,-,-,6,0.26,-,-,3,0.13,520,3.11
Aomori,1419,27.29,4,0.12,11,0.32,61,1.79,100,2.94,4,0.12,1,0.03,1,0.03,7,0.21,-,-,-,-,-,-,-,-,-,-,-,-,3,0.5,-,-,-,-,163,3.13
Iwate,1384,32.95,19,0.7,8,0.3,97,3.59,198,7.33,6,0.22,-,-,17,0.63,11,0.41,-,-,-,-,-,-,4,0.29,-,-,1,0.05,5,0.26,-,-,4,0.21,183,4.36
Miyagi,1156,21.02,6,0.19,2,0.06,46,1.48,190,6.13,7,0.23,-,-,1,0.03,2,0.06,-,-,-,-,-,-,7,0.58,-,-,-,-,1,0.1,-,-,-,-,131,2.38
Akita,472,18.88,2,0.15,1,0.08,41,3.15,67,5.15,7,0.54,1,0.08,-,-,3,0.23,-,-,1,0.08,-,-,2,0.29,-,-,-,-,5,0.63,-,-,-,-,99,3.96
Yamagata,975,25,15,0.58,2,0.08,99,3.81,234,9,21,0.81,-,-,-,-,9,0.35,-,-,1,0.04,-,-,12,1.5,-,-,-,-,2,0.2,-,-,-,-,85,2.18
Fukushima,1292,26.92,24,0.86,4,0.14,54,1.93,176,6.29,12,0.43,-,-,1,0.04,5,0.18,-,-,-,-,-,-,8,0.62,-,-,-,-,2,0.29,-,-,1,0.14,107,2.23
Ibaraki,1436,21.43,15,0.41,2,0.05,141,3.81,261,7.05,7,0.19,1,0.03,3,0.08,6,0.16,1,0.03,4,0.11,-,-,18,1.06,-,-,-,-,5,0.38,-,-,1,0.08,161,2.4
Tochigi,1151,24.49,16,0.59,1,0.04,86,3.19,149,5.52,4,0.15,-,-,2,0.07,9,0.33,-,-,-,-,-,-,5,0.42,-,-,-,-,5,0.71,-,-,1,0.14,133,2.83
Gunma,1158,25.73,10,0.4,2,0.08,40,1.6,285,11.4,11,0.44,-,-,2,0.08,9,0.36,-,-,-,-,-,-,8,0.8,-,-,-,-,5,0.56,1,0.11,-,-,91,2.02
Saitama,5286,30.21,32,0.29,16,0.15,205,1.88,784,7.19,29,0.27,5,0.05,4,0.04,21,0.19,-,-,4,0.04,2,0.05,8,0.19,-,-,1,0.08,6,0.5,-,-,1,0.08,286,1.63
Chiba,3989,21.92,12,0.11,21,0.19,223,2.03,512,4.65,30,0.27,4,0.04,5,0.05,6,0.05,1,0.01,2,0.02,-,-,15,0.44,-,-,1,0.11,2,0.22,-,-,1,0.11,254,1.4
Tokyo,8016,19.18,51,0.19,45,0.17,311,1.18,2019,7.68,75,0.29,11,0.04,6,0.02,45,0.17,-,-,5,0.02,-,-,3,0.08,-,-,-,-,4,0.16,2,0.08,5,0.2,373,0.89
Kanagawa,5277,21.72,56,0.4,9,0.06,258,1.83,1023,7.26,38,0.27,-,-,6,0.04,21,0.15,-,-,6,0.04,-,-,30,0.59,1,0.08,1,0.08,2,0.17,-,-,-,-,318,1.31
