累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年09週(02月23日～03月01日),2026年03月04日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,834271,223.19,12411,5.47,5265,2.32,49078,21.65,147312,64.98,7041,3.11,1045,0.46,4153,1.83,4167,1.84,294,0.13,484,0.21,59,0.09,2562,3.8,71,0.15,120,0.25,1653,3.44,45,0.09,174,0.36,62918,16.83
北海道,19854,120.33,1048,10.59,234,2.36,4495,45.4,4037,40.78,544,5.49,33,0.33,206,2.08,104,1.05,9,0.09,9,0.09,-,-,32,1.14,1,0.04,2,0.09,108,4.7,-,-,4,0.17,8323,50.44
青森県,8061,158.06,104,3.15,68,2.06,488,14.79,1008,30.55,103,3.12,6,0.18,13,0.39,59,1.79,5,0.15,3,0.09,-,-,1,0.11,3,0.5,1,0.17,39,6.5,-,-,-,-,1482,29.06
岩手県,8306,197.76,204,7.56,36,1.33,783,29,1731,64.11,146,5.41,2,0.07,189,7,86,3.19,-,-,2,0.07,-,-,31,2.21,1,0.05,5,0.26,46,2.42,1,0.05,5,0.26,2076,49.43
宮城県,14603,265.51,149,4.81,38,1.23,667,21.52,1631,52.61,75,2.42,3,0.1,56,1.81,47,1.52,1,0.03,6,0.19,1,0.08,41,3.42,-,-,-,-,34,3.4,-,-,2,0.2,1806,32.84
秋田県,3505,146.04,61,5.08,16,1.33,216,18,603,50.25,84,7,2,0.17,24,2,20,1.67,3,0.25,2,0.17,3,0.5,21,3.5,-,-,-,-,57,7.13,-,-,-,-,750,31.25
山形県,6441,174.08,228,9.12,100,4,1019,40.76,1664,66.56,154,6.16,8,0.32,64,2.56,72,2.88,2,0.08,3,0.12,-,-,54,7.71,1,0.1,1,0.1,35,3.5,-,-,1,0.1,1280,34.59
福島県,11688,243.5,242,8.64,55,1.96,460,16.43,1532,54.71,136,4.86,1,0.04,17,0.61,81,2.89,1,0.04,6,0.21,1,0.08,87,6.69,1,0.14,1,0.14,22,3.14,2,0.29,4,0.57,1789,37.27
茨城県,17075,262.69,141,3.92,73,2.03,1439,39.97,2953,82.03,124,3.44,8,0.22,18,0.5,60,1.67,5,0.14,9,0.25,-,-,161,10.06,1,0.08,2,0.15,74,5.69,-,-,4,0.31,1935,29.77
栃木県,11724,260.53,161,6.19,35,1.35,640,24.62,1592,61.23,69,2.65,-,-,29,1.12,68,2.62,5,0.19,4,0.15,-,-,60,5.45,-,-,2,0.29,49,7,-,-,4,0.57,1948,43.29
群馬県,7920,188.57,176,7.65,58,2.52,394,17.13,2986,129.83,95,4.13,-,-,21,0.91,87,3.78,-,-,6,0.26,-,-,40,4.44,-,-,1,0.11,81,9,1,0.11,8,0.89,954,22.71
埼玉県,52424,313.92,389,3.7,160,1.52,2729,25.99,9051,86.2,376,3.58,58,0.55,68,0.65,206,1.96,15,0.14,44,0.42,14,0.36,94,2.41,3,0.25,9,0.75,43,3.58,1,0.08,6,0.5,4068,24.36
千葉県,51261,286.37,210,1.94,79,0.73,2929,27.12,7018,64.98,281,2.6,15,0.14,97,0.9,147,1.36,9,0.08,30,0.28,-,-,112,3.5,6,0.67,3,0.33,16,1.78,3,0.33,7,0.78,2961,16.54
東京都,78623,195.58,595,2.34,362,1.43,3805,14.98,24396,96.05,678,2.67,62,0.24,104,0.41,479,1.89,19,0.07,63,0.25,2,0.05,71,1.92,4,0.16,4,0.16,51,2.04,10,0.4,20,0.8,4395,10.93
神奈川県,59393,256,439,3.25,107,0.79,2661,19.71,11525,85.37,382,2.83,19,0.14,94,0.7,192,1.42,3,0.02,46,0.34,4,0.09,235,5,7,0.58,18,1.5,32,2.67,-,-,6,0.5,3314,14.28
新潟県,9356,170.11,98,3.27,39,1.3,1166,38.87,764,25.47,110,3.67,1,0.03,150,5,44,1.47,2,0.07,12,0.4,1,0.1,8,0.8,2,0.15,-,-,75,5.77,1,0.08,-,-,1738,31.6
富山県,7793,169.41,80,2.86,103,3.68,1200,42.86,2136,76.29,66,2.36,2,0.07,26,0.93,64,2.29,11,0.39,4,0.14,-,-,6,1,1,0.2,-,-,11,2.2,1,0.2,2,0.4,787,17.11
石川県,7552,160.68,158,5.64,88,3.14,679,24.25,2569,91.75,137,4.89,31,1.11,20,0.71,41,1.46,14,0.5,3,0.11,-,-,67,9.57,-,-,-,-,7,1.4,-,-,-,-,636,13.53
福井県,5578,143.03,133,5.32,100,4,617,24.68,1414,56.56,129,5.16,188,7.52,44,1.76,38,1.52,26,1.04,3,0.12,-,-,2,0.67,1,0.17,3,0.5,28,4.67,-,-,5,0.83,336,8.62
山梨県,8380,239.43,103,4.9,8,0.38,96,4.57,836,39.81,8,0.38,1,0.05,37,1.76,19,0.9,-,-,2,0.1,-,-,14,1.56,1,0.1,-,-,14,1.4,4,0.4,2,0.2,781,22.31
長野県,11224,233.83,180,6.67,24,0.89,600,22.22,2178,80.67,79,2.93,1,0.04,28,1.04,37,1.37,3,0.11,8,0.3,-,-,97,10.78,2,0.17,3,0.25,42,3.5,-,-,4,0.33,1746,36.38
岐阜県,9015,204.89,125,4.81,25,0.96,267,10.27,2441,93.88,27,1.04,1,0.04,44,1.69,37,1.42,3,0.12,4,0.15,-,-,8,0.73,2,0.4,1,0.2,33,6.6,1,0.2,1,0.2,905,20.57
