"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2024",,,,,,"Data collected as of September 18, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1165124,236.57,108207,34.59,85669,27.39,396368,126.72,500663,160.06,18350,5.87,408290,130.53,7379,2.36,29664,9.48,65873,21.06,4821,1.54,496,0.72,14403,20.78,355,0.74,476,0.99,7195,14.99,32,0.07,266,0.55,1367358,277.64
Hokkaido,57768,260.22,5361,39.42,8971,65.96,31510,231.69,15155,111.43,944,6.94,10916,80.26,21,0.15,649,4.77,3275,24.08,133,0.98,1,0.04,190,6.79,4,0.18,7,0.32,152,6.91,-,-,20,0.91,58607,264
Aomori,10461,180.36,771,21.42,982,27.28,3343,92.86,3885,107.92,257,7.14,3594,99.83,264,7.33,358,9.94,668,18.56,39,1.08,1,0.1,82,8.2,3,0.5,2,0.33,131,21.83,-,-,-,-,15665,270.09
Iwate,12085,194.92,1432,36.72,2531,64.9,4181,107.21,6860,175.9,194,4.97,3925,100.64,190,4.87,499,12.79,636,16.31,69,1.77,1,0.07,200,14.29,5,0.26,10,0.53,153,8.05,-,-,8,0.42,21774,351.19
Miyagi,23904,265.6,2134,39.52,2092,38.74,6732,124.67,7854,145.44,303,5.61,6699,124.06,29,0.54,574,10.63,964,17.85,92,1.7,1,0.08,163,13.58,3,0.3,7,0.7,50,5,1,0.1,3,0.3,30792,342.13
Akita,8178,160.35,359,10.88,707,21.42,2613,79.18,2940,89.09,190,5.76,1896,57.45,12,0.36,185,5.61,331,10.03,12,0.36,4,0.67,73,12.17,1,0.13,-,-,15,1.88,-,-,2,0.25,14597,286.22
Yamagata,11967,284.93,1473,54.56,1680,62.22,7173,265.67,4514,167.19,166,6.15,2575,95.37,19,0.7,355,13.15,761,28.19,35,1.3,-,-,73,10.43,-,-,-,-,24,2.4,-,-,3,0.3,12144,289.14
Fukushima,16874,205.78,2196,44.82,2022,41.27,6391,130.43,5878,119.96,332,6.78,5057,103.2,40,0.82,655,13.37,701,14.31,56,1.14,8,0.62,264,20.31,5,0.71,1,0.14,103,14.71,2,0.29,7,1,27001,329.28
Ibaraki,26907,226.11,1342,18.14,1664,22.49,13923,188.15,9551,129.07,273,3.69,6319,85.39,109,1.47,433,5.85,1296,17.51,113,1.53,3,0.19,873,54.56,4,0.31,16,1.23,240,18.46,-,-,4,0.31,42822,359.85
Tochigi,15262,203.49,1255,26.7,709,15.09,5080,108.09,3902,83.02,148,3.15,5986,127.36,163,3.47,511,10.87,681,14.49,50,1.06,2,0.18,248,22.55,3,0.43,3,0.43,34,4.86,4,0.57,6,0.86,22899,305.32
Gunma,20687,246.27,1129,21.71,1726,33.19,6191,119.06,9145,175.87,216,4.15,6579,126.52,69,1.33,678,13.04,1725,33.17,98,1.88,4,0.31,202,15.54,5,0.56,3,0.33,51,5.67,-,-,7,0.78,23645,281.49
Saitama,75979,295.64,4230,26.27,4228,26.26,23240,144.35,30733,190.89,1485,9.22,24215,150.4,588,3.65,1638,10.17,4583,28.47,434,2.7,104,2.54,1128,27.51,7,0.58,16,1.33,292,24.33,2,0.17,4,0.33,74295,289.09
Chiba,58697,293.49,2387,19.25,2707,21.83,20960,169.03,22363,180.35,961,7.75,15348,123.77,545,4.4,1097,8.85,3178,25.63,258,2.08,17,0.5,733,21.56,13,1.44,14,1.56,100,11.11,-,-,6,0.67,67400,337
Tokyo,86269,208.38,5548,21.26,3542,13.57,27613,105.8,46193,176.98,1684,6.45,35493,135.99,2409,9.23,2605,9.98,6331,24.26,587,2.25,10,0.26,624,16.42,26,1.04,27,1.08,514,20.56,8,0.32,7,0.28,78989,190.79
Kanagawa,89094,245.44,4214,18.4,3572,15.6,20954,91.5,31047,135.58,1647,7.19,28806,125.79,1686,7.36,1927,8.41,5413,23.64,454,1.98,46,0.92,2256,45.12,16,1.45,33,3,163,14.82,1,0.09,5,0.45,81174,223.62
Niigata,23558,273.93,2766,50.29,3599,65.44,10343,188.05,7270,132.18,342,6.22,7823,142.24,35,0.64,518,9.42,1369,24.89,61,1.11,26,2.6,85,8.5,6,0.5,12,1,54,4.5,2,0.17,19,1.58,27023,314.22
Toyama,12799,272.32,1240,44.29,1803,64.39,4781,170.75,7111,253.96,225,8.04,5346,190.93,22,0.79,268,9.57,483,17.25,21,0.75,3,0.43,58,8.29,-,-,3,0.6,45,9,-,-,1,0.2,12398,263.79
Ishikawa,13548,288.26,768,27.43,889,31.75,2425,86.61,7299,260.68,244,8.71,4334,154.79,13,0.46,219,7.82,598,21.36,15,0.54,-,-,410,68.33,-,-,3,0.75,40,10,-,-,-,-,15178,322.94
Fukui,9667,247.87,1628,65.12,1028,41.12,3292,131.68,5378,215.12,110,4.4,3620,144.8,14,0.56,233,9.32,255,10.2,24,0.96,-,-,22,7.33,12,2,12,2,255,42.5,-,-,-,-,8129,208.44
Yamanashi,7236,176.49,448,18.67,435,18.13,1989,82.88,2807,116.96,88,3.67,2390,99.58,17,0.71,209,8.71,289,12.04,29,1.21,77,8.56,311,34.56,3,0.3,5,0.5,28,2.8,-,-,1,0.1,12694,309.61
Nagano,16906,194.32,1235,23.3,1202,22.68,6137,115.79,7527,142.02,267,5.04,7377,139.19,78,1.47,398,7.51,1025,19.34,65,1.23,26,2.89,801,89,13,1.08,9,0.75,41,3.42,-,-,3,0.25,29164,335.22
Gifu,14683,168.77,1580,29.81,696,13.13,4509,85.08,5385,101.6,124,2.34,6538,123.36,13,0.25,416,7.85,666,12.57,62,1.17,-,-,104,9.45,7,1.4,17,3.4,136,27.2,-,-,3,0.6,30627,352.03
Shizuoka,26018,187.18,3042,34.18,2176,24.45,9188,103.24,11302,126.99,389,4.37,16002,179.8,76,0.85,818,9.19,3389,38.08,165,1.85,-,-,263,11.95,16,1.6,11,1.1,123,12.3,-,-,-,-,42877,308.47
Aichi,50152,257.19,4204,23.1,2429,13.35,15830,86.98,20843,114.52,775,4.26,26772,147.1,80,0.44,1151,6.32,2260,12.42,206,1.13,52,1.49,323,9.23,31,2.07,26,1.73,415,27.67,-,-,8,0.53,72514,371.87
Mie,15555,219.08,2126,48.32,1439,32.7,6298,143.14,7955,180.8,176,4,10743,244.16,14,0.32,419,9.52,975,22.16,40,0.91,1,0.09,35,3.18,4,0.44,16,1.78,60,6.67,-,-,1,0.11,19440,273.8
Shiga,11744,199.05,998,28.51,840,24,2924,83.54,4853,138.66,183,5.23,6953,198.66,34,0.97,278,7.94,426,12.17,62,1.77,1,0.13,49,6.13,6,0.86,14,2,115,16.43,-,-,10,1.43,13879,235.24
Kyoto,27818,222.54,1878,24.71,1791,23.57,5751,75.67,11099,146.04,540,7.11,8258,108.66,61,0.8,470,6.18,1030,13.55,95,1.25,2,0.12,152,8.94,3,0.5,8,1.33,141,23.5,-,-,1,0.17,29926,239.41
Osaka,62725,205.66,8858,45.19,3535,18.04,21467,109.53,34267,174.83,1200,6.12,24083,122.87,129,0.66,1574,8.03,3527,17.99,312,1.59,21,0.41,644,12.63,19,1.12,19,1.12,830,48.82,3,0.18,40,2.35,60877,199.6
Hyogo,38273,193.3,5284,41.28,2820,22.03,12390,96.8,27724,216.59,591,4.62,20592,160.88,126,0.98,1080,8.44,2326,18.17,215,1.68,21,0.62,692,20.35,20,1.43,31,2.21,380,27.14,-,-,4,0.29,43530,219.85
Nara,12021,222.61,1774,53.76,762,23.09,3143,95.24,5843,177.06,136,4.12,5076,153.82,5,0.15,337,10.21,313,9.48,24,0.73,5,0.56,223,24.78,6,1,5,0.83,73,12.17,-,-,1,0.17,15427,285.69
Wakayama,9293,193.6,1565,53.97,462,15.93,2399,82.72,4844,167.03,157,5.41,3662,126.28,11,0.38,292,10.07,442,15.24,36,1.24,4,1,31,7.75,3,0.27,12,1.09,129,11.73,3,0.27,3,0.27,12230,254.79
Tottori,4847,167.14,755,39.74,725,38.16,4887,257.21,3474,182.84,104,5.47,1489,78.37,8,0.42,157,8.26,373,19.63,15,0.79,1,0.2,38,7.6,9,1.8,17,3.4,6,1.2,1,0.2,14,2.8,8167,281.62
Shimane,5747,155.32,715,32.5,464,21.09,1707,77.59,4159,189.05,112,5.09,1839,83.59,7,0.32,354,16.09,226,10.27,23,1.05,-,-,16,5.33,7,0.88,2,0.25,36,4.5,-,-,1,0.13,9205,248.78
Okayama,14797,176.15,1632,30.22,1293,23.94,4448,82.37,8290,153.52,149,2.76,6846,126.78,81,1.5,454,8.41,905,16.76,85,1.57,2,0.17,110,9.17,4,0.8,9,1.8,31,6.2,-,-,4,0.8,21959,261.42
Hiroshima,21872,193.56,2522,36.03,2344,33.49,7251,103.59,13488,192.69,339,4.84,11922,170.31,41,0.59,613,8.76,860,12.29,65,0.93,6,0.33,534,29.67,7,0.35,11,0.55,359,17.95,-,-,19,0.95,27823,246.22
Yamaguchi,15600,232.84,2973,69.14,980,22.79,7054,164.05,6721,156.3,129,3,6730,156.51,31,0.72,565,13.14,1097,25.51,30,0.7,-,-,124,13.78,3,0.33,2,0.22,122,13.56,1,0.11,1,0.11,17429,260.13
Tokushima,7071,191.11,1042,45.3,366,15.91,1335,58.04,3154,137.13,97,4.22,3181,138.3,7,0.3,244,10.61,246,10.7,9,0.39,1,0.33,13,4.33,3,0.5,4,0.67,25,4.17,-,-,-,-,11388,307.78
Kagawa,8087,172.06,1057,37.75,613,21.89,2982,106.5,6165,220.18,102,3.64,3738,133.5,19,0.68,321,11.46,638,22.79,39,1.39,-,-,29,5.8,9,1.8,1,0.2,152,30.4,1,0.2,2,0.4,12674,269.66
Ehime,14979,249.65,2358,65.5,869,24.14,6590,183.06,9113,253.14,178,4.94,5477,152.14,9,0.25,523,14.53,1151,31.97,40,1.11,2,0.25,373,46.63,4,0.67,1,0.17,21,3.5,-,-,5,0.83,17280,288
Kochi,9630,218.86,1321,52.84,403,16.12,2939,117.56,2683,107.32,111,4.44,2306,92.24,14,0.56,220,8.8,611,24.44,20,0.8,-,-,12,4,10,1.25,2,0.25,115,14.38,1,0.13,12,1.5,13632,309.82
Fukuoka,66689,336.81,6783,56.53,3055,25.46,27745,231.21,20252,168.77,1064,8.87,15945,132.88,147,1.23,1620,13.5,2794,23.28,200,1.67,10,0.38,285,10.96,18,1.2,18,1.2,242,16.13,1,0.07,13,0.87,52656,265.94
Saga,10561,277.92,1475,67.05,697,31.68,3002,136.45,2084,94.73,133,6.05,2570,116.82,7,0.32,435,19.77,806,36.64,16,0.73,1,0.25,29,7.25,13,2.17,13,2.17,208,34.67,-,-,5,0.83,15771,415.03
Nagasaki,18852,273.22,2230,51.86,1626,37.81,5706,132.7,4182,97.26,210,4.88,5683,132.16,12,0.28,443,10.3,433,10.07,44,1.02,22,3.14,191,27.29,4,0.33,14,1.17,168,14,-,-,3,0.25,22956,332.7
Kumamoto,22040,278.99,1495,29.9,1272,25.44,6249,124.98,11140,222.8,372,7.44,6147,122.94,33,0.66,881,17.62,1287,25.74,72,1.44,2,0.25,359,44.88,4,0.27,18,1.2,58,3.87,1,0.07,-,-,27758,351.37
Oita,17065,294.22,1658,46.06,1348,37.44,5169,143.58,12967,360.19,178,4.94,4423,122.86,15,0.42,629,17.47,955,26.53,96,2.67,1,0.2,113,22.6,1,0.09,7,0.64,224,20.36,-,-,4,0.36,18316,315.79
Miyazaki,17421,305.63,2380,68,1573,44.94,6706,191.6,7935,226.71,193,5.51,3109,88.83,30,0.86,535,15.29,1656,47.31,57,1.63,2,0.33,175,29.17,-,-,1,0.14,36,5.14,-,-,3,0.43,20292,356
Kagoshima,20720,235.45,3177,63.54,4140,82.8,6123,122.46,11040,220.8,270,5.4,8523,170.46,32,0.64,612,12.24,1485,29.7,81,1.62,1,0.14,271,38.71,4,0.33,2,0.17,159,13.25,-,-,1,0.08,30627,348.03
Okinawa,23018,434.3,1409,46.97,862,28.73,3705,123.5,2289,76.3,262,8.73,1385,46.17,14,0.47,214,7.13,434,14.47,67,2.23,4,0.5,419,52.38,11,1.57,12,1.71,346,49.43,-,-,2,0.29,21708,409.58
