"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2026",,,,,,"Data collected as of April 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,10303,234.16,194,7.46,43,1.65,514,19.77,3847,147.96,55,2.12,11,0.42,52,2,75,2.88,4,0.15,9,0.35,-,-,15,1.36,5,1,3,0.6,46,9.2,3,0.6,14,2.8,1092,24.82
Shizuoka,36685,271.74,427,4.97,171,1.99,1725,20.06,6189,71.97,249,2.9,84,0.98,238,2.77,242,2.81,11,0.13,32,0.37,1,0.05,35,1.59,2,0.2,4,0.4,31,3.1,-,-,1,0.1,2824,20.92
Aichi,49399,303.06,792,7.84,166,1.64,1810,17.92,8864,87.76,246,2.44,31,0.31,223,2.21,291,2.88,6,0.06,28,0.28,5,0.14,116,3.31,1,0.07,14,0.93,129,8.6,1,0.07,28,1.87,2954,18.12
Mie,18858,281.46,448,10.67,131,3.12,960,22.86,3562,84.81,120,2.86,16,0.38,56,1.33,105,2.5,2,0.05,6,0.14,1,0.09,25,2.27,1,0.13,-,-,50,6.25,-,-,4,0.5,946,14.12
Shiga,12561,228.38,316,9.58,48,1.45,862,26.12,2822,85.52,231,7,7,0.21,34,1.03,59,1.79,1,0.03,10,0.3,-,-,1,0.11,1,0.14,6,0.86,5,0.71,-,-,-,-,771,14.02
Kyoto,17652,271.57,277,7.1,383,9.82,2099,53.82,3443,88.28,315,8.08,10,0.26,45,1.15,97,2.49,-,-,20,0.51,1,0.06,22,1.29,3,0.43,2,0.29,82,11.71,10,1.43,11,1.57,1206,18.55
Osaka,55640,192.53,2367,12.86,791,4.3,4686,25.47,14629,79.51,834,4.53,90,0.49,218,1.18,483,2.63,39,0.21,66,0.36,9,0.18,201,3.94,6,0.33,8,0.44,35,1.94,9,0.5,13,0.72,2587,8.95
Hyogo,45236,280.97,1229,11.93,470,4.56,3221,31.27,9201,89.33,488,4.74,45,0.44,220,2.14,284,2.76,18,0.17,36,0.35,3,0.09,79,2.39,6,0.43,14,1,38,2.71,4,0.29,17,1.21,2249,13.97
Nara,11275,281.88,338,15.36,98,4.45,683,31.05,2135,97.05,105,4.77,14,0.64,28,1.27,104,4.73,4,0.18,7,0.32,2,0.25,45,5.63,3,0.5,11,1.83,19,3.17,-,-,4,0.67,471,11.78
Wakayama,10514,238.95,371,14.27,76,2.92,480,18.46,1755,67.5,52,2,5,0.19,42,1.62,100,3.85,4,0.15,14,0.54,3,1,14,4.67,2,0.18,1,0.09,26,2.36,-,-,1,0.09,724,16.45
Tottori,5581,192.45,163,8.58,52,2.74,1562,82.21,1400,73.68,60,3.16,10,0.53,37,1.95,38,2,1,0.05,2,0.11,-,-,6,1.2,4,0.8,5,1,38,7.6,-,-,1,0.2,569,19.62
Shimane,5277,263.85,163,14.82,150,13.64,385,35,1417,128.82,103,9.36,3,0.27,18,1.64,96,8.73,7,0.64,4,0.36,-,-,30,10,-,-,4,0.5,45,5.63,-,-,-,-,602,30.1
Okayama,11395,227.9,378,13.5,48,1.71,649,23.18,2716,97,75,2.68,176,6.29,150,5.36,99,3.54,22,0.79,14,0.5,-,-,20,1.67,1,0.2,5,1,34,6.8,-,-,9,1.8,697,13.94
Hiroshima,18621,204.63,400,7.41,260,4.81,1811,33.54,5239,97.02,185,3.43,23,0.43,95,1.76,104,1.93,15,0.28,20,0.37,1,0.06,165,9.17,1,0.05,1,0.05,140,7,-,-,19,0.95,1109,12.19
Yamaguchi,18742,302.29,662,16.97,106,2.72,1919,49.21,3526,90.41,69,1.77,9,0.23,319,8.18,161,4.13,4,0.1,11,0.28,-,-,36,4,1,0.11,-,-,45,5,1,0.11,4,0.44,806,13
Tokushima,7074,214.36,159,7.57,52,2.48,272,12.95,1348,64.19,29,1.38,7,0.33,93,4.43,72,3.43,2,0.1,3,0.14,-,-,4,1,-,-,1,0.14,28,4,-,-,5,0.71,687,20.82
Kagawa,3439,149.52,146,11.23,37,2.85,202,15.54,1157,89,18,1.38,5,0.38,66,5.08,27,2.08,10,0.77,2,0.15,4,1,24,6,9,1.8,3,0.6,22,4.4,-,-,9,1.8,425,18.48
Ehime,13852,384.78,339,17.84,131,6.89,1680,88.42,2409,126.79,113,5.95,2,0.11,189,9.95,88,4.63,3,0.16,6,0.32,-,-,173,24.71,1,0.17,-,-,23,3.83,-,-,-,-,837,23.25
Kochi,7682,202.16,202,10.1,30,1.5,497,24.85,863,43.15,36,1.8,1,0.05,123,6.15,37,1.85,2,0.1,4,0.2,-,-,3,1,5,0.63,2,0.25,22,2.75,-,-,12,1.5,890,23.42
Fukuoka,39770,325.98,875,12.5,662,9.46,5555,79.36,8070,115.29,518,7.4,207,2.96,117,1.67,291,4.16,45,0.64,25,0.36,13,0.5,267,10.27,5,0.33,9,0.6,32,2.13,-,-,6,0.4,804,6.59
Saga,6602,287.04,108,9.82,80,7.27,693,63,1070,97.27,48,4.36,26,2.36,62,5.64,87,7.91,7,0.64,2,0.18,-,-,10,3.33,2,0.33,5,0.83,15,2.5,-,-,2,0.33,163,7.09
Nagasaki,17241,344.82,340,11.33,306,10.2,1207,40.23,2355,78.5,163,5.43,91,3.03,146,4.87,104,3.47,11,0.37,6,0.2,6,0.86,151,21.57,1,0.08,2,0.17,42,3.5,-,-,2,0.17,448,8.96
Kumamoto,21874,308.08,490,10.43,214,4.55,1636,34.81,4492,95.57,272,5.79,209,4.45,423,9,276,5.87,53,1.13,26,0.55,3,0.38,96,12,2,0.13,3,0.2,41,2.73,-,-,13,0.87,823,11.59
Oita,22257,383.74,233,6.47,258,7.17,1321,36.69,5504,152.89,257,7.14,18,0.5,128,3.56,194,5.39,8,0.22,20,0.56,1,0.2,36,7.2,-,-,3,0.27,22,2,-,-,-,-,513,8.84
Miyazaki,10575,391.67,142,10.14,308,22,665,47.5,2113,150.93,119,8.5,81,5.79,151,10.79,95,6.79,6,0.43,4,0.29,-,-,108,21.6,-,-,-,-,12,1.71,-,-,5,0.71,326,12.07
Kagoshima,22385,392.72,420,13.55,459,14.81,1158,37.35,3021,97.45,171,5.52,22,0.71,337,10.87,124,4,6,0.19,10,0.32,1,0.14,72,10.29,-,-,1,0.08,29,2.42,-,-,1,0.08,298,5.23
Okinawa,10741,244.11,45,1.88,90,3.75,612,25.5,1469,61.21,320,13.33,23,0.96,41,1.71,61,2.54,13,0.54,9,0.38,2,0.22,286,31.78,4,0.57,13,1.86,7,1,-,-,8,1.14,995,22.61
