"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"15th week, 2026",,,,,,"Data collected as of April 15, 2026"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,162008,43.47,,,,
Hokkaido,7151,43.34,,,,
Aomori,2318,44.58,,,,
Iwate,2879,68.55,,,,
Miyagi,3038,55.24,,,,
Akita,956,38.24,,,,
Yamagata,1924,50.63,,,,
Fukushima,2329,48.52,,,,
Ibaraki,3209,47.9,,,,
Tochigi,2971,63.21,,,,
Gunma,2887,64.16,,,,
Saitama,9654,54.85,,,,
Chiba,8611,47.57,,,,
Tokyo,18167,43.67,,,,
Kanagawa,11964,50.27,,,,
Niigata,2469,47.48,,,,
Toyama,2982,63.45,,,,
Ishikawa,2309,49.13,,,,
Fukui,1289,33.05,,,,
Yamanashi,937,26.77,,,,
Nagano,2524,50.48,,,,
Gifu,1589,36.11,,,,
Shizuoka,3726,33.27,,,,
Aichi,8398,51.52,,,,
Mie,2091,30.3,,,,
Shiga,1358,34.82,,,,
Kyoto,2350,38.52,,,,
Osaka,8277,28.94,,,,
Hyogo,6119,37.77,,,,
Nara,1329,31.64,,,,
Wakayama,1189,26.42,,,,
Tottori,1332,45.93,,,,
Shimane,1012,50.6,,,,
Okayama,2061,41.22,,,,
Hiroshima,3588,38.58,,,,
Yamaguchi,2916,47.8,,,,
Tokushima,904,27.39,,,,
Kagawa,732,31.83,,,,
Ehime,1957,52.89,,,,
Kochi,949,24.97,,,,
Fukuoka,4992,40.92,,,,
Saga,1009,42.04,,,,
Nagasaki,2718,53.29,,,,
Kumamoto,3351,47.2,,,,
Oita,2428,41.86,,,,
Miyazaki,949,33.89,,,,
Kagoshima,2384,41.82,,,,
Okinawa,1732,39.36,,,,
