disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D090,Babesiosis,Babesiosis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/. Babesiosis is absent from 2025 weekly tables (annual reporting remains); weekly series is historical only.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D090,exact,conditional,canonical,direct_only,source-current
D032,Brucellosis,Brucellosis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D032,exact,conditional,canonical,direct_only,source-current
D092,Campylobacteriosis,Campylobacteriosis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D092,exact,conditional,canonical,direct_only,source-current
D094,Chlamydia trachomatis infection,Chlamydia trachomatis infection,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/. From 2022 weekly tables publish confirmed only; before 2022 all classification statuses were published. Current definition includes LGV.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D094,exact,conditional,canonical,direct_only,source-current
D096,Cryptosporidiosis,Cryptosporidiosis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D096,exact,conditional,canonical,direct_only,source-current
D097,Cyclosporiasis,Cyclosporiasis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D097,exact,conditional,canonical,direct_only,source-current
D099,Giardiasis,Giardiasis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D099,exact,conditional,canonical,direct_only,source-current
D033,Gonorrhea,Gonorrhea,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/. From 2023 weekly tables publish confirmed and probable; earlier publication includes all statuses.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D033,exact,conditional,canonical,direct_only,source-current
D107,Legionellosis,Legionellosis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D107,exact,conditional,canonical,direct_only,source-current
D035,Leptospirosis,Leptospirosis,NNDSS weekly provisional report count,,"Disease identity manually checked against CDC/NNDSS current surveillance case definition; weekly table values are provisional aggregate reports, not individually adjudicated confirmed cases. Publication criteria and historical definitions may change; direct-source series only. CDC definitions: https://ndc.services.cdc.gov/case-definitions/; weekly data: https://www.cdc.gov/nndss/infectious-disease/.",US CDC,SRC_US_NNDSS,,source_category_dimension,concept,D035,exact,conditional,canonical,direct_only,source-current
