disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D041,Acute hemorrhagic conjunctivitis,label:745d56f966913c953f5b,Sentinel,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; sentinel counts are not population-wide totals. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D041,exact,conditional,canonical,direct_only,source-current
D023,Anthrax,label:96bc3efe34f172edcb35,All-case,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; category preserves all-case versus sentinel sampling. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D023,exact,conditional,canonical,direct_only,source-current
D134,Aseptic meningitis,label:f829ebb9a63dedfa1170,Sentinel,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; sentinel counts are not population-wide totals. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D134,exact,conditional,canonical,direct_only,source-current
D014,Avian influenza (H5N1),label:df575e146f81f9d1064a,All-case,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; category preserves all-case versus sentinel sampling. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D014,exact,conditional,canonical,direct_only,source-current
D015,Avian influenza (H7N9),label:e6cefe3232b3b7d2210d,All-case,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; category preserves all-case versus sentinel sampling. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D015,exact,conditional,canonical,direct_only,source-current
D135,Bacterial meningitis,label:6ea04c50dc4bc5829a8f,Sentinel,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; sentinel counts are not population-wide totals. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D135,exact,conditional,canonical,direct_only,source-current
D091,Botulism,label:0f1b2b562b7415519037,All-case,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; category preserves all-case versus sentinel sampling. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D091,exact,conditional,canonical,direct_only,source-current
D032,Brucellosis,label:cd4c4ad90200dac440ac,All-case,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; category preserves all-case versus sentinel sampling. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D032,exact,conditional,canonical,direct_only,source-current
D004,COVID-19,label:88529c3ac8ebd2dcb21a,Sentinel,,COVID-19 is exact disease identity; surveillance changed from all-case to sentinel on 2023-05-08. Current candidate data begins 2023-W19 and is sentinel only. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D004,exact,conditional,canonical,direct_only,source-current
D052,Chikungunya fever,label:8eda4ab33212dd9d981b,All-case,,Manually checked against MHLW disease definitions and JIHS IDWR 2025-W01 original tables; label and case scope matched. Values are provisional weekly reports; category preserves all-case versus sentinel sampling. MHLW: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/kekkaku-kansenshou11/01.html; JIHS all-case CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/zensu01.csv; sentinel CSV: https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2025/01/teiten01.csv.,JP NIID Weekly,SRC_JP_NIID,,source_category_dimension,concept,D052,exact,conditional,canonical,direct_only,source-current
