"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"11th week, 2026",,,,,,"Data collected as of March 18, 2026"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,224369,59.18,,,,
Hokkaido,11793,70.62,,,,
Aomori,3662,70.42,,,,
Iwate,4419,105.21,,,,
Miyagi,4110,74.73,,,,
Akita,1168,46.72,,,,
Yamagata,3025,79.61,,,,
Fukushima,3378,70.38,,,,
Ibaraki,4372,65.25,,,,
Tochigi,3673,79.85,,,,
Gunma,4117,91.49,,,,
Saitama,13510,76.76,,,,
Chiba,11044,60.68,,,,
Tokyo,22208,53.38,,,,
Kanagawa,15581,64.65,,,,
Niigata,3855,74.13,,,,
Toyama,4288,89.33,,,,
Ishikawa,3729,79.34,,,,
Fukui,1822,46.72,,,,
Yamanashi,1145,32.71,,,,
Nagano,4035,80.7,,,,
Gifu,1841,40.91,,,,
Shizuoka,6221,44.76,,,,
Aichi,11245,68.99,,,,
Mie,2985,43.26,,,,
Shiga,3230,55.69,,,,
Kyoto,3487,54.48,,,,
Osaka,10866,37.6,,,,
Hyogo,8735,53.26,,,,
Nara,1606,38.24,,,,
Wakayama,1919,42.64,,,,
Tottori,1994,68.76,,,,
Shimane,1184,62.32,,,,
Okayama,2762,55.24,,,,
Hiroshima,4923,52.94,,,,
Yamaguchi,4182,66.38,,,,
Tokushima,1281,38.82,,,,
Kagawa,989,43,,,,
Ehime,2432,65.73,,,,
Kochi,1274,33.53,,,,
Fukuoka,7101,58.2,,,,
Saga,1253,52.21,,,,
Nagasaki,3170,62.16,,,,
Kumamoto,4676,64.94,,,,
Oita,3608,62.21,,,,
Miyazaki,1218,43.5,,,,
Kagoshima,2891,50.72,,,,
Okinawa,2362,52.49,,,,
