"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"45th week, 2025",,,,,,"Data collected as of November 12, 2025"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,301188,78.35,,,,
Hokkaido,12948,77.53,,,,
Aomori,3386,65.12,,,,
Iwate,4580,109.05,,,,
Miyagi,6475,117.73,,,,
Akita,1823,72.92,,,,
Yamagata,3501,92.13,,,,
Fukushima,5110,106.46,,,,
Ibaraki,6160,90.59,,,,
Tochigi,5102,108.55,,,,
Gunma,4908,109.07,,,,
Saitama,22416,128.83,,,,
Chiba,16160,88.31,,,,
Tokyo,34655,82.91,,,,
Kanagawa,24967,104.46,,,,
Niigata,4028,77.46,,,,
Toyama,4239,88.31,,,,
Ishikawa,3563,75.81,,,,
Fukui,1769,45.36,,,,
Yamanashi,1800,51.43,,,,
Nagano,5442,68.03,,,,
Gifu,2275,50.56,,,,
Shizuoka,8577,61.71,,,,
Aichi,14801,90.8,,,,
Mie,4471,63.87,,,,
Shiga,3808,65.66,,,,
Kyoto,4791,74.86,,,,
Osaka,15647,53.77,,,,
Hyogo,12649,77.13,,,,
Nara,2441,58.12,,,,
Wakayama,2664,59.2,,,,
Tottori,1811,64.68,,,,
Shimane,1345,67.25,,,,
Okayama,3429,68.58,,,,
Hiroshima,5986,63.68,,,,
Yamaguchi,5070,80.48,,,,
Tokushima,1628,47.88,,,,
Kagawa,2153,53.83,,,,
Ehime,3771,101.92,,,,
Kochi,1628,42.84,,,,
Fukuoka,7750,63.52,,,,
Saga,1538,64.08,,,,
Nagasaki,3486,68.35,,,,
Kumamoto,3920,54.44,,,,
Oita,4950,85.34,,,,
Miyazaki,1537,54.89,,,,
Kagoshima,3630,63.68,,,,
Okinawa,2400,53.33,,,,
