"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2023",,,,,,"Data collected as of April 5, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,602752,121.97,13109,4.16,5933,1.88,17755,5.64,246662,78.36,2955,0.94,3424,1.09,340,0.11,8826,2.8,2118,0.67,1117,0.35,78,0.11,1816,2.62,96,0.2,109,0.23,120,0.25,4,0.01,60,0.13
Hokkaido,28900,126.75,2122,15.38,400,2.9,1341,9.72,4604,33.36,214,1.55,36,0.26,3,0.02,196,1.42,42,0.3,23,0.17,1,0.03,43,1.48,-,-,-,-,8,0.35,-,-,4,0.17
Aomori,9859,154.05,106,2.52,49,1.17,81,1.93,3245,77.26,30,0.71,9,0.21,6,0.14,115,2.74,4,0.1,19,0.45,-,-,4,0.4,1,0.17,2,0.33,33,5.5,-,-,-,-
Iwate,12194,196.68,321,8.03,41,1.03,492,12.3,3088,77.2,19,0.48,13,0.33,-,-,146,3.65,3,0.08,11,0.28,-,-,25,1.92,2,0.11,2,0.11,4,0.21,-,-,9,0.47
Miyagi,4711,49.59,317,5.47,93,1.6,214,3.69,5569,96.02,48,0.83,10,0.17,10,0.17,198,3.41,2,0.03,17,0.29,-,-,27,2.25,2,0.17,1,0.08,7,0.58,-,-,-,-
Akita,5372,105.33,45,1.36,37,1.12,177,5.36,1595,48.33,31,0.94,7,0.21,8,0.24,65,1.97,34,1.03,7,0.21,-,-,8,1.14,-,-,-,-,2,0.25,-,-,-,-
Yamagata,4718,107.23,159,5.48,53,1.83,158,5.45,2758,95.1,28,0.97,13,0.45,3,0.1,138,4.76,1,0.03,14,0.48,-,-,9,1.13,3,0.3,-,-,-,-,-,-,1,0.1
Fukushima,4954,59.69,791,15.82,115,2.3,272,5.44,3585,71.7,22,0.44,8,0.16,7,0.14,226,4.52,2,0.04,19,0.38,-,-,57,4.38,2,0.29,1,0.14,2,0.29,-,-,-,-
Ibaraki,9426,78.55,112,1.49,95,1.27,394,5.25,4383,58.44,43,0.57,26,0.35,6,0.08,120,1.6,8,0.11,22,0.29,1,0.06,117,6.88,-,-,-,-,9,0.75,-,-,1,0.08
Tochigi,7932,104.37,43,0.9,32,0.67,224,4.67,3211,66.9,39,0.81,23,0.48,1,0.02,162,3.38,4,0.08,6,0.13,-,-,34,2.83,2,0.29,1,0.14,-,-,-,-,1,0.14
Gunma,5611,65.24,74,1.4,114,2.15,158,2.98,4260,80.38,73,1.38,13,0.25,12,0.23,206,3.89,9,0.17,28,0.53,-,-,42,3,-,-,-,-,-,-,-,-,-,-
Saitama,27325,107.58,324,2.04,286,1.8,651,4.09,13852,87.12,207,1.3,85,0.53,26,0.16,448,2.82,16,0.1,90,0.57,11,0.28,106,2.65,3,0.27,8,0.73,2,0.18,-,-,3,0.27
Chiba,20112,96.23,119,0.92,86,0.66,602,4.63,10582,81.4,141,1.08,24,0.18,12,0.09,256,1.97,15,0.12,49,0.38,1,0.03,89,2.62,1,0.11,4,0.44,-,-,-,-,-,-
Tokyo,41146,100.11,301,1.16,339,1.31,1007,3.89,21814,84.22,267,1.03,123,0.47,31,0.12,723,2.79,40,0.15,108,0.42,5,0.13,48,1.26,8,0.33,10,0.42,4,0.17,2,0.08,3,0.13
Kanagawa,42653,119.14,201,0.89,177,0.78,805,3.55,16805,74.03,133,0.59,95,0.42,31,0.14,558,2.46,38,0.17,100,0.44,5,0.1,249,4.98,6,0.55,10,0.91,3,0.27,-,-,1,0.09
Niigata,10892,126.65,461,8.38,137,2.49,677,12.31,3758,68.33,52,0.95,32,0.58,7,0.13,161,2.93,7,0.13,25,0.45,-,-,15,1.5,1,0.08,3,0.25,1,0.08,-,-,1,0.08
Toyama,10551,219.81,287,9.9,116,4,293,10.1,3837,132.31,34,1.17,9,0.31,3,0.1,64,2.21,13,0.45,6,0.21,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
