"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2023",,,,,,"Data collected as of April 5, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Ishikawa,13878,289.13,223,7.69,75,2.59,111,3.83,3553,122.52,37,1.28,71,2.45,1,0.03,89,3.07,5,0.17,7,0.24,1,0.14,35,5,1,0.2,1,0.2,4,0.8,-,-,1,0.2
Fukui,9889,274.69,107,4.86,124,5.64,190,8.64,1574,71.55,61,2.77,116,5.27,3,0.14,58,2.64,17,0.77,8,0.36,-,-,2,0.67,3,0.5,2,0.33,1,0.17,-,-,-,-
Yamanashi,1545,37.68,65,2.71,6,0.25,15,0.63,2094,87.25,6,0.25,4,0.17,1,0.04,69,2.88,1,0.04,10,0.42,-,-,31,3.44,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,7840,90.11,194,3.66,44,0.83,132,2.49,5163,97.42,40,0.75,12,0.23,3,0.06,110,2.08,18,0.34,12,0.23,3,0.3,44,4.4,-,-,2,0.17,3,0.25,-,-,-,-
Gifu,4022,46.77,80,1.54,108,2.08,95,1.83,2537,48.79,13,0.25,22,0.42,2,0.04,107,2.06,4,0.08,7,0.13,-,-,25,2.27,-,-,5,1,-,-,-,-,1,0.2
Shizuoka,6906,49.68,329,3.7,205,2.3,226,2.54,6941,77.99,79,0.89,28,0.31,12,0.13,225,2.53,7,0.08,48,0.54,-,-,31,1.41,6,0.6,4,0.4,4,0.4,-,-,2,0.2
Aichi,20726,106.29,205,1.13,246,1.35,906,4.98,13132,72.15,142,0.78,54,0.3,16,0.09,355,1.95,17,0.09,39,0.21,1,0.03,34,0.97,7,0.47,4,0.27,-,-,-,-,1,0.07
Mie,6956,97.97,32,0.73,133,3.02,116,2.64,2999,68.16,51,1.16,14,0.32,4,0.09,123,2.8,3,0.07,12,0.27,-,-,5,0.42,4,0.44,5,0.56,3,0.33,-,-,-,-
Shiga,8092,134.87,38,1.06,68,1.89,140,3.89,2350,65.28,44,1.22,19,0.53,3,0.08,61,1.69,10,0.28,6,0.17,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,23415,188.83,264,3.52,134,1.79,688,9.17,4745,63.27,100,1.33,87,1.16,13,0.17,138,1.84,44,0.59,12,0.16,1,0.06,17,0.94,-,-,2,0.29,2,0.29,-,-,4,0.57
Osaka,57287,192.89,942,4.86,338,1.74,1078,5.56,14302,73.72,171,0.88,180,0.93,22,0.11,453,2.34,91,0.47,84,0.43,8,0.16,83,1.63,-,-,4,0.25,-,-,-,-,5,0.31
Hyogo,25782,129.56,442,3.43,256,1.98,440,3.41,12667,98.19,107,0.83,240,1.86,15,0.12,274,2.12,54,0.42,28,0.22,3,0.09,100,2.86,5,0.36,6,0.43,-,-,-,-,-,-
Nara,7817,142.13,125,3.68,68,2,115,3.38,2537,74.62,25,0.74,66,1.94,4,0.12,97,2.85,13,0.38,5,0.15,-,-,34,3.4,4,0.67,3,0.5,1,0.17,1,0.17,-,-
Wakayama,5012,102.29,93,3.1,30,1,132,4.4,1681,56.03,23,0.77,29,0.97,-,-,68,2.27,1,0.03,6,0.2,1,0.25,1,0.25,2,0.18,3,0.27,3,0.27,-,-,-,-
Tottori,1447,49.9,13,0.68,35,1.84,303,15.95,1855,97.63,12,0.63,9,0.47,3,0.16,62,3.26,6,0.32,2,0.11,1,0.2,2,0.4,1,0.2,-,-,-,-,-,-,4,0.8
Shimane,2632,69.26,9,0.39,54,2.35,56,2.43,1927,83.78,35,1.52,68,2.96,2,0.09,108,4.7,10,0.43,3,0.13,-,-,6,2,3,0.38,-,-,-,-,-,-,-,-
Okayama,8229,97.96,223,4.13,118,2.19,109,2.02,4087,75.69,41,0.76,69,1.28,6,0.11,131,2.43,24,0.44,22,0.41,3,0.25,32,2.67,2,0.4,6,1.2,1,0.2,-,-,3,0.6
Hiroshima,11998,105.25,205,2.89,191,2.69,336,4.73,6560,92.39,50,0.7,26,0.37,4,0.06,180,2.54,44,0.62,15,0.21,6,0.32,75,3.95,1,0.05,-,-,2,0.1,-,-,1,0.05
Yamaguchi,5145,79.15,165,3.67,64,1.42,241,5.36,4263,94.73,28,0.62,25,0.56,5,0.11,171,3.8,61,1.36,13,0.29,-,-,35,3.89,-,-,1,0.11,3,0.33,-,-,-,-
Tokushima,2793,75.49,72,3.13,26,1.13,16,0.7,1869,81.26,18,0.78,38,1.65,2,0.09,84,3.65,5,0.22,6,0.26,2,0.5,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,6651,141.51,96,3.43,70,2.5,21,0.75,3361,120.04,16,0.57,4,0.14,1,0.04,101,3.61,7,0.25,10,0.36,-,-,4,0.8,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,5857,97.62,171,4.75,58,1.61,225,6.25,5056,140.44,22,0.61,28,0.78,2,0.06,199,5.53,9,0.25,21,0.58,-,-,36,4.5,-,-,-,-,2,0.33,-,-,-,-
Kochi,4162,92.49,120,4.44,24,0.89,100,3.7,1937,71.74,17,0.63,80,2.96,5,0.19,81,3,27,1,3,0.11,-,-,2,0.67,1,0.13,-,-,4,0.5,-,-,6,0.75
Fukuoka,40977,206.95,800,6.67,350,2.92,2145,17.88,9253,77.11,152,1.27,310,2.58,9,0.08,536,4.47,438,3.65,44,0.37,-,-,45,1.73,7,0.47,3,0.2,1,0.07,-,-,2,0.13
Saga,6897,176.85,290,12.61,91,3.96,92,4,960,41.74,10,0.43,79,3.43,2,0.09,139,6.04,145,6.3,9,0.39,-,-,4,1,3,0.5,1,0.17,-,-,-,-,3,0.5
Nagasaki,10312,147.31,448,10.18,108,2.45,1089,24.75,2257,51.3,54,1.23,108,2.45,6,0.14,130,2.95,92,2.09,26,0.59,10,1.25,28,3.5,1,0.08,1,0.08,3,0.25,-,-,-,-
Kumamoto,8177,103.51,639,13.04,129,2.63,131,2.67,3726,76.04,45,0.92,84,1.71,-,-,260,5.31,404,8.24,22,0.45,-,-,36,4,3,0.2,5,0.33,1,0.07,-,-,-,-
Oita,9301,160.36,29,0.81,86,2.39,142,3.94,5196,144.33,48,1.33,18,0.5,8,0.22,178,4.94,71,1.97,24,0.67,-,-,24,4.8,1,0.09,1,0.09,4,0.36,-,-,-,-
Miyazaki,9843,172.68,193,5.51,176,5.03,198,5.66,4824,137.83,48,1.37,34,0.97,3,0.09,183,5.23,141,4.03,23,0.66,2,0.33,60,10,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,7188,78.99,622,11.74,266,5.02,222,4.19,5600,105.66,38,0.72,143,2.7,12,0.23,198,3.74,94,1.77,33,0.62,2,0.29,30,4.29,-,-,-,-,-,-,-,-,-,-
Okinawa,15620,284,92,2.88,82,2.56,399,12.47,710,22.19,41,1.28,833,26.03,5,0.16,76,2.38,17,0.53,13,0.41,10,1.11,72,8,7,1,4,0.57,1,0.14,1,0.14,-,-
