"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2023",,,,,,"Data collected as of April 5, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,20013,4.06,1514,0.48,578,0.18,1624,0.52,11712,3.73,259,0.08,277,0.09,24,0.01,755,0.24,312,0.1,97,0.03,3,0,152,0.22,6,0.01,7,0.01,9,0.02,-,-,5,0.01
Hokkaido,1153,5.17,231,1.66,32,0.23,105,0.76,224,1.61,12,0.09,-,-,-,-,28,0.2,3,0.02,3,0.02,-,-,3,0.1,-,-,-,-,-,-,-,-,1,0.04
Aomori,518,8.09,2,0.05,4,0.1,3,0.07,122,2.9,3,0.07,-,-,-,-,10,0.24,-,-,2,0.05,-,-,-,-,-,-,1,0.17,2,0.33,-,-,-,-
Iwate,267,4.24,29,0.73,6,0.15,24,0.6,137,3.43,2,0.05,3,0.08,-,-,18,0.45,1,0.03,-,-,-,-,-,-,-,-,1,0.05,-,-,-,-,-,-
Miyagi,585,6.03,14,0.24,8,0.14,11,0.19,287,4.95,2,0.03,-,-,-,-,18,0.31,2,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Akita,298,5.84,2,0.06,3,0.09,18,0.55,69,2.09,5,0.15,-,-,-,-,8,0.24,-,-,-,-,-,-,1,0.14,-,-,-,-,1,0.13,-,-,-,-
Yamagata,508,11.55,3,0.1,5,0.17,8,0.28,101,3.48,2,0.07,1,0.03,2,0.07,13,0.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukushima,306,3.69,38,0.76,14,0.28,16,0.32,122,2.44,1,0.02,2,0.04,2,0.04,21,0.42,-,-,2,0.04,-,-,6,0.46,-,-,-,-,-,-,-,-,-,-
Ibaraki,280,2.3,4,0.05,10,0.13,33,0.43,165,2.17,1,0.01,5,0.07,-,-,12,0.16,-,-,3,0.04,-,-,7,0.41,-,-,-,-,2,0.15,-,-,-,-
