"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2023",,,,,,"Data collected as of March 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,454354,91.88,7937,2.52,3791,1.2,11403,3.62,186174,59.1,2068,0.66,2475,0.79,224,0.07,6066,1.93,1292,0.41,749,0.24,59,0.09,1271,1.83,64,0.13,70,0.15,75,0.16,4,0.01,44,0.09
Hokkaido,20019,87.8,1097,7.95,277,2.01,843,6.11,3313,24.01,152,1.1,29,0.21,2,0.01,135,0.98,28,0.2,14,0.1,1,0.03,27,0.93,-,-,-,-,7,0.3,-,-,3,0.13
Aomori,6858,107.16,67,1.6,34,0.81,57,1.36,2552,60.76,19,0.45,7,0.17,3,0.07,84,2,2,0.05,13,0.31,-,-,4,0.4,1,0.17,-,-,17,2.83,-,-,-,-
Iwate,8499,137.08,235,5.88,23,0.58,366,9.15,2314,57.85,10,0.25,5,0.13,-,-,98,2.45,2,0.05,7,0.18,-,-,21,1.62,1,0.05,1,0.05,2,0.11,-,-,9,0.47
Miyagi,2864,30.15,265,4.57,69,1.19,155,2.67,3880,66.9,37,0.64,6,0.1,7,0.12,136,2.34,-,-,13,0.22,-,-,18,1.5,2,0.17,-,-,5,0.42,-,-,-,-
Akita,3337,65.43,35,1.06,28,0.85,106,3.21,1224,37.09,17,0.52,7,0.21,6,0.18,46,1.39,33,1,4,0.12,-,-,7,1,-,-,-,-,1,0.13,-,-,-,-
Yamagata,2028,46.09,141,4.86,34,1.17,112,3.86,2265,78.1,19,0.66,11,0.38,1,0.03,94,3.24,1,0.03,10,0.34,-,-,8,1,3,0.3,-,-,-,-,-,-,1,0.1
Fukushima,3026,36.46,626,12.52,72,1.44,175,3.5,2777,55.54,16,0.32,6,0.12,3,0.06,151,3.02,2,0.04,11,0.22,-,-,31,2.38,1,0.14,-,-,-,-,-,-,-,-
Ibaraki,6869,57.72,98,1.32,53,0.72,246,3.32,3412,46.11,28,0.38,10,0.14,2,0.03,78,1.05,6,0.08,14,0.19,1,0.06,93,5.47,-,-,-,-,6,0.5,-,-,1,0.08
Tochigi,4877,64.17,33,0.69,19,0.4,151,3.15,2565,53.44,29,0.6,22,0.46,1,0.02,112,2.33,4,0.08,6,0.13,-,-,28,2.33,1,0.14,1,0.14,-,-,-,-,1,0.14
Gunma,3122,36.3,69,1.3,68,1.28,100,1.89,3457,65.23,64,1.21,10,0.19,9,0.17,147,2.77,9,0.17,17,0.32,-,-,19,1.36,-,-,-,-,-,-,-,-,-,-
Saitama,18109,71.3,171,1.08,186,1.17,447,2.81,11067,69.6,135,0.85,66,0.42,16,0.1,317,1.99,7,0.04,60,0.38,8,0.2,70,1.75,3,0.27,7,0.64,1,0.09,-,-,2,0.18
Chiba,15805,75.26,89,0.68,43,0.33,392,2.99,8658,66.09,94,0.72,15,0.11,7,0.05,167,1.27,10,0.08,35,0.27,-,-,67,1.97,1,0.11,3,0.33,-,-,-,-,-,-
Tokyo,30071,73.17,155,0.6,202,0.78,623,2.41,17220,66.49,168,0.65,94,0.36,20,0.08,490,1.89,28,0.11,78,0.3,3,0.08,26,0.68,5,0.2,6,0.24,3,0.12,2,0.08,1,0.04
Kanagawa,32250,89.58,151,0.67,119,0.52,523,2.3,13577,59.81,125,0.55,60,0.26,18,0.08,377,1.66,28,0.12,65,0.29,3,0.06,175,3.5,2,0.18,5,0.45,3,0.27,-,-,1,0.09
Niigata,4568,53.12,321,5.73,92,1.64,444,7.93,2793,49.88,34,0.61,30,0.54,4,0.07,114,2.04,5,0.09,17,0.3,-,-,8,0.8,1,0.08,3,0.25,1,0.08,-,-,1,0.08
Toyama,7385,153.85,179,6.17,73,2.52,173,5.97,2651,91.41,25,0.86,8,0.28,2,0.07,43,1.48,10,0.34,5,0.17,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Ishikawa,11249,234.35,171,5.9,38,1.31,57,1.97,2578,88.9,25,0.86,53,1.83,1,0.03,59,2.03,5,0.17,3,0.1,-,-,28,4,-,-,1,0.2,4,0.8,-,-,-,-
Fukui,8597,232.35,54,2.35,100,4.35,116,5.04,1191,51.78,38,1.65,96,4.17,2,0.09,45,1.96,6,0.26,6,0.26,-,-,2,0.67,3,0.5,2,0.33,-,-,-,-,-,-
Yamanashi,944,23.02,59,2.46,3,0.13,13,0.54,1711,71.29,2,0.08,1,0.04,1,0.04,55,2.29,1,0.04,7,0.29,-,-,27,3,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,5486,63.06,147,2.77,29,0.55,104,1.96,4038,76.19,31,0.58,11,0.21,2,0.04,86,1.62,17,0.32,9,0.17,3,0.3,32,3.2,-,-,1,0.08,3,0.25,-,-,-,-
Gifu,2866,32.94,44,0.83,70,1.32,52,0.98,1689,31.87,5,0.09,10,0.19,2,0.04,73,1.38,1,0.02,1,0.02,-,-,10,0.91,-,-,3,0.6,-,-,-,-,1,0.2
Shizuoka,4637,33.36,214,2.4,137,1.54,130,1.46,5355,60.17,58,0.65,13,0.15,7,0.08,154,1.73,4,0.04,33,0.37,-,-,23,1.05,5,0.5,2,0.2,2,0.2,-,-,-,-
Aichi,13967,71.63,120,0.66,141,0.77,645,3.54,9239,50.76,95,0.52,38,0.21,10,0.05,239,1.31,5,0.03,22,0.12,-,-,26,0.74,4,0.27,4,0.27,-,-,-,-,-,-
Mie,4824,67.94,12,0.27,88,2,72,1.64,2084,47.36,33,0.75,9,0.2,4,0.09,94,2.14,2,0.05,9,0.2,-,-,3,0.25,2,0.22,1,0.11,1,0.11,-,-,-,-
Shiga,5702,95.03,16,0.44,58,1.61,89,2.47,1784,49.56,35,0.97,17,0.47,2,0.06,42,1.17,3,0.08,5,0.14,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,20006,161.34,74,0.99,110,1.47,458,6.11,3374,44.99,77,1.03,75,1,10,0.13,99,1.32,41,0.55,8,0.11,1,0.06,11,0.61,-,-,1,0.14,2,0.29,-,-,-,-
Osaka,51726,174.16,308,1.59,215,1.11,671,3.46,10248,52.82,130,0.67,144,0.74,13,0.07,317,1.63,61,0.31,50,0.26,7,0.14,55,1.08,-,-,4,0.25,-,-,-,-,4,0.25
Hyogo,21067,105.86,199,1.54,167,1.29,298,2.31,9307,72.15,82,0.64,209,1.62,11,0.09,196,1.52,38,0.29,24,0.19,3,0.09,76,2.17,3,0.21,4,0.29,-,-,-,-,-,-
Nara,6458,117.42,64,1.88,50,1.47,79,2.32,1698,49.94,16,0.47,60,1.76,4,0.12,65,1.91,8,0.24,4,0.12,-,-,25,2.5,4,0.67,3,0.5,1,0.17,1,0.17,-,-
Wakayama,4259,86.92,61,2.03,19,0.63,70,2.33,1210,40.33,18,0.6,26,0.87,-,-,41,1.37,1,0.03,5,0.17,1,0.25,-,-,2,0.18,2,0.18,2,0.18,-,-,-,-
Tottori,890,30.69,10,0.53,20,1.05,202,10.63,1170,61.58,8,0.42,9,0.47,2,0.11,46,2.42,5,0.26,1,0.05,-,-,2,0.4,-,-,-,-,-,-,-,-,3,0.6
Shimane,1939,51.03,7,0.3,31,1.35,36,1.57,1495,65,20,0.87,56,2.43,1,0.04,75,3.26,5,0.22,3,0.13,-,-,6,2,3,0.38,-,-,-,-,-,-,-,-
Okayama,5347,63.65,173,3.2,89,1.65,75,1.39,3247,60.13,30,0.56,50,0.93,4,0.07,93,1.72,15,0.28,15,0.28,3,0.25,20,1.67,2,0.4,5,1,-,-,-,-,3,0.6
Hiroshima,7647,67.08,122,1.72,111,1.56,204,2.87,5215,73.45,31,0.44,21,0.3,2,0.03,121,1.7,25,0.35,8,0.11,5,0.26,51,2.68,-,-,-,-,1,0.05,-,-,1,0.05
Yamaguchi,3167,48.72,107,2.38,40,0.89,137,3.04,3249,72.2,17,0.38,23,0.51,3,0.07,119,2.64,33,0.73,8,0.18,-,-,25,2.78,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,2017,54.51,58,2.52,18,0.78,7,0.3,1366,59.39,15,0.65,38,1.65,2,0.09,56,2.43,5,0.22,5,0.22,1,0.25,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,4913,104.53,81,2.89,42,1.5,16,0.57,2742,97.93,11,0.39,3,0.11,-,-,69,2.46,6,0.21,6,0.21,-,-,2,0.4,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,4381,71.82,121,3.27,29,0.78,153,4.14,3706,100.16,13,0.35,25,0.68,1,0.03,125,3.38,7,0.19,12,0.32,-,-,27,3.38,-,-,-,-,2,0.33,-,-,-,-
Kochi,3461,76.91,94,3.48,9,0.33,61,2.26,1546,57.26,11,0.41,53,1.96,5,0.19,57,2.11,-,-,1,0.04,-,-,2,0.67,1,0.13,-,-,3,0.38,-,-,5,0.63
Fukuoka,33234,167.85,458,3.82,208,1.73,1271,10.59,6548,54.57,109,0.91,250,2.08,8,0.07,368,3.07,278,2.32,26,0.22,-,-,31,1.19,2,0.13,1,0.07,-,-,-,-,1,0.07
Saga,5678,145.59,163,7.09,54,2.35,60,2.61,648,28.17,5,0.22,65,2.83,1,0.04,94,4.09,76,3.3,6,0.26,-,-,2,0.5,2,0.33,1,0.17,-,-,-,-,3,0.5
