"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2023",,,,,,"Data collected as of March 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,50235,10.17,1060,0.34,486,0.15,1509,0.48,18753,5.95,203,0.06,206,0.07,21,0.01,650,0.21,118,0.04,94,0.03,9,0.01,129,0.19,12,0.03,10,0.02,7,0.01,1,0,9,0.02
Hokkaido,2327,10.16,240,1.73,23,0.17,119,0.86,468,3.37,22,0.16,3,0.02,-,-,14,0.1,1,0.01,2,0.01,-,-,3,0.1,-,-,-,-,1,0.04,-,-,-,-
Aomori,972,15.19,-,-,3,0.07,4,0.1,311,7.4,4,0.1,2,0.05,-,-,12,0.29,-,-,-,-,-,-,1,0.1,-,-,-,-,1,0.17,-,-,-,-
Iwate,2102,33.37,31,0.78,3,0.08,62,1.55,240,6,1,0.03,-,-,-,-,8,0.2,-,-,1,0.03,-,-,2,0.14,-,-,-,-,-,-,-,-,-,-
Miyagi,379,3.99,38,0.66,6,0.1,20,0.34,519,8.95,2,0.03,-,-,-,-,22,0.38,-,-,4,0.07,-,-,2,0.17,-,-,-,-,1,0.08,-,-,-,-
Akita,637,12.49,2,0.06,4,0.12,12,0.36,139,4.21,2,0.06,1,0.03,-,-,2,0.06,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,490,11.14,14,0.48,7,0.24,12,0.41,199,6.86,4,0.14,3,0.1,-,-,13,0.45,-,-,3,0.1,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
Fukushima,520,6.27,44,0.88,7,0.14,28,0.56,296,5.92,2,0.04,-,-,-,-,17,0.34,1,0.02,1,0.02,-,-,7,0.54,-,-,-,-,-,-,-,-,-,-
Ibaraki,969,8.08,13,0.17,7,0.09,17,0.23,295,3.93,4,0.05,7,0.09,-,-,8,0.11,1,0.01,2,0.03,1,0.06,8,0.47,-,-,-,-,-,-,-,-,-,-
