,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
2668,Legionnaires' Disease,,2004,3,2004-03-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2669,Leprosy,,2004,3,2004-03-01,1,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2670,Malaria,,2004,3,2004-03-01,0,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2671,Measles,,2004,3,2004-03-01,0,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2672,Meningococcal Infections,,2004,3,2004-03-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2673,Mumps,,2004,3,2004-03-01,16,221,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2674,Paratyphoid Fever,,2004,3,2004-03-01,3,39,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2675,Plague,,2004,3,2004-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2676,Rabies,,2004,3,2004-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2677,Relapsing Fever,,2004,3,2004-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2678,Rubella,,2004,3,2004-03-01,2,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2679,Scarlet Fever,,2004,3,2004-03-01,9,125,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2680,Severe Acute Respiratory Syndrome,,2004,3,2004-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2681,Tetanus,,2004,3,2004-03-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2682,Tuberculosis,,2004,3,2004-03-01,585,6226,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2683,Typhoid Fever,,2004,3,2004-03-01,4,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2684,Typhus,,2004,3,2004-03-01,1,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2685,Viral Hepatitis - A,,2004,3,2004-03-01,42,121,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2686,Viral Hepatitis - B,,2004,3,2004-03-01,13,134,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2687,Viral Hepatitis - C,,2004,3,2004-03-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2688,Viral Hepatitis - E,,2004,3,2004-03-01,5,38,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2689,Viral Hepatitis - Unclassified,,2004,3,2004-03-01,2,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2690,Whooping Cough,,2004,3,2004-03-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2691,Yellow Fever,,2004,3,2004-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2692,Acute Poliomyelitis,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2693,Amoebic Dysentery,,2004,4,2004-04-01,1,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2694,Bacillary Dysentery,,2004,4,2004-04-01,11,140,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2695,Chickenpox,,2004,4,2004-04-01,704,11784,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2696,Cholera,,2004,4,2004-04-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2697,Dengue Fever,,2004,4,2004-04-01,1,31,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2698,Diphtheria,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2699,Food Poisoning - Outbreaks,,2004,4,2004-04-01,27,821,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2700,"Influenza A(H5), Influenza A(H7) or Influenza A(H9)",,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2701,Japanese Encephalitis,,2004,4,2004-04-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2702,Legionnaires' Disease,,2004,4,2004-04-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2703,Leprosy,,2004,4,2004-04-01,3,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2704,Malaria,,2004,4,2004-04-01,1,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2705,Measles,,2004,4,2004-04-01,4,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2706,Meningococcal Infections,,2004,4,2004-04-01,1,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2707,Mumps,,2004,4,2004-04-01,8,221,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2708,Paratyphoid Fever,,2004,4,2004-04-01,2,39,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2709,Plague,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2710,Rabies,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2711,Relapsing Fever,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2712,Rubella,,2004,4,2004-04-01,2,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2713,Scarlet Fever,,2004,4,2004-04-01,4,125,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2714,Severe Acute Respiratory Syndrome,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2715,Tetanus,,2004,4,2004-04-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2716,Tuberculosis,,2004,4,2004-04-01,388,6226,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2717,Typhoid Fever,,2004,4,2004-04-01,6,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2718,Typhus,,2004,4,2004-04-01,0,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2719,Viral Hepatitis - A,,2004,4,2004-04-01,15,121,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2720,Viral Hepatitis - B,,2004,4,2004-04-01,9,134,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2721,Viral Hepatitis - C,,2004,4,2004-04-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2722,Viral Hepatitis - E,,2004,4,2004-04-01,2,38,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2723,Viral Hepatitis - Unclassified,,2004,4,2004-04-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2724,Whooping Cough,,2004,4,2004-04-01,1,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2725,Yellow Fever,,2004,4,2004-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2726,Acute Poliomyelitis,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2727,Amoebic Dysentery,,2004,5,2004-05-01,1,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2728,Bacillary Dysentery,,2004,5,2004-05-01,5,140,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2729,Chickenpox,,2004,5,2004-05-01,818,11784,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2730,Cholera,,2004,5,2004-05-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2731,Dengue Fever,,2004,5,2004-05-01,2,31,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2732,Diphtheria,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2733,Food Poisoning - Outbreaks,,2004,5,2004-05-01,44,821,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2734,"Influenza A(H5), Influenza A(H7) or Influenza A(H9)",,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2735,Japanese Encephalitis,,2004,5,2004-05-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2736,Legionnaires' Disease,,2004,5,2004-05-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2737,Leprosy,,2004,5,2004-05-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2738,Malaria,,2004,5,2004-05-01,5,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2739,Measles,,2004,5,2004-05-01,12,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2740,Meningococcal Infections,,2004,5,2004-05-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2741,Mumps,,2004,5,2004-05-01,16,221,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2742,Paratyphoid Fever,,2004,5,2004-05-01,6,39,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2743,Plague,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2744,Rabies,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2745,Relapsing Fever,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2746,Rubella,,2004,5,2004-05-01,1,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2747,Scarlet Fever,,2004,5,2004-05-01,7,125,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2748,Severe Acute Respiratory Syndrome,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2749,Tetanus,,2004,5,2004-05-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2750,Tuberculosis,,2004,5,2004-05-01,542,6226,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2751,Typhoid Fever,,2004,5,2004-05-01,7,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2752,Typhus,,2004,5,2004-05-01,0,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2753,Viral Hepatitis - A,,2004,5,2004-05-01,10,121,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2754,Viral Hepatitis - B,,2004,5,2004-05-01,14,134,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2755,Viral Hepatitis - C,,2004,5,2004-05-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2756,Viral Hepatitis - E,,2004,5,2004-05-01,5,38,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2757,Viral Hepatitis - Unclassified,,2004,5,2004-05-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2758,Whooping Cough,,2004,5,2004-05-01,5,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2759,Yellow Fever,,2004,5,2004-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2760,Acute Poliomyelitis,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2761,Amoebic Dysentery,,2004,6,2004-06-01,2,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2762,Bacillary Dysentery,,2004,6,2004-06-01,6,140,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2763,Chickenpox,,2004,6,2004-06-01,1181,11784,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2764,Cholera,,2004,6,2004-06-01,2,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2765,Dengue Fever,,2004,6,2004-06-01,2,31,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2766,Diphtheria,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2767,Food Poisoning - Outbreaks,,2004,6,2004-06-01,38,821,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2768,"Influenza A(H5), Influenza A(H7) or Influenza A(H9)",,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2769,Japanese Encephalitis,,2004,6,2004-06-01,2,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2770,Legionnaires' Disease,,2004,6,2004-06-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2771,Leprosy,,2004,6,2004-06-01,1,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2772,Malaria,,2004,6,2004-06-01,2,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2773,Measles,,2004,6,2004-06-01,9,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2774,Meningococcal Infections,,2004,6,2004-06-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2775,Mumps,,2004,6,2004-06-01,17,221,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2776,Paratyphoid Fever,,2004,6,2004-06-01,4,39,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2777,Plague,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2778,Rabies,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2779,Relapsing Fever,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2780,Rubella,,2004,6,2004-06-01,3,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2781,Scarlet Fever,,2004,6,2004-06-01,17,125,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2782,Severe Acute Respiratory Syndrome,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2783,Tetanus,,2004,6,2004-06-01,1,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2784,Tuberculosis,,2004,6,2004-06-01,523,6226,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2785,Typhoid Fever,,2004,6,2004-06-01,3,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2786,Typhus,,2004,6,2004-06-01,4,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2787,Viral Hepatitis - A,,2004,6,2004-06-01,7,121,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2788,Viral Hepatitis - B,,2004,6,2004-06-01,15,134,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2789,Viral Hepatitis - C,,2004,6,2004-06-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2790,Viral Hepatitis - E,,2004,6,2004-06-01,3,38,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2791,Viral Hepatitis - Unclassified,,2004,6,2004-06-01,1,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2792,Whooping Cough,,2004,6,2004-06-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2793,Yellow Fever,,2004,6,2004-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2794,Acute Poliomyelitis,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2795,Amoebic Dysentery,,2004,7,2004-07-01,0,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2796,Bacillary Dysentery,,2004,7,2004-07-01,10,140,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2797,Chickenpox,,2004,7,2004-07-01,1105,11784,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2798,Cholera,,2004,7,2004-07-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2799,Dengue Fever,,2004,7,2004-07-01,3,31,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2800,Diphtheria,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2801,Food Poisoning - Outbreaks,,2004,7,2004-07-01,100,821,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2802,"Influenza A(H5), Influenza A(H7) or Influenza A(H9)",,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2803,Japanese Encephalitis,,2004,7,2004-07-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2804,Legionnaires' Disease,,2004,7,2004-07-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2805,Leprosy,,2004,7,2004-07-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2806,Malaria,,2004,7,2004-07-01,6,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2807,Measles,,2004,7,2004-07-01,5,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2808,Meningococcal Infections,,2004,7,2004-07-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2809,Mumps,,2004,7,2004-07-01,17,221,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2810,Paratyphoid Fever,,2004,7,2004-07-01,4,39,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2811,Plague,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2812,Rabies,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2813,Relapsing Fever,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2814,Rubella,,2004,7,2004-07-01,3,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2815,Scarlet Fever,,2004,7,2004-07-01,18,125,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2816,Severe Acute Respiratory Syndrome,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2817,Tetanus,,2004,7,2004-07-01,1,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2818,Tuberculosis,,2004,7,2004-07-01,586,6226,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2819,Typhoid Fever,,2004,7,2004-07-01,4,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2820,Typhus,,2004,7,2004-07-01,3,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2821,Viral Hepatitis - A,,2004,7,2004-07-01,9,121,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2822,Viral Hepatitis - B,,2004,7,2004-07-01,18,134,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2823,Viral Hepatitis - C,,2004,7,2004-07-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2824,Viral Hepatitis - E,,2004,7,2004-07-01,2,38,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2825,Viral Hepatitis - Unclassified,,2004,7,2004-07-01,0,6,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2826,Whooping Cough,,2004,7,2004-07-01,1,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2827,Yellow Fever,,2004,7,2004-07-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2828,Acute Poliomyelitis,,2004,8,2004-08-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
2829,Amoebic Dysentery,,2004,8,2004-08-01,0,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2004en.csv
