,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
33,Bacillary Dysentery,,1997,2,1997-02-01,32,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
34,Cholera,,1997,2,1997-02-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
35,Dengue Fever,,1997,2,1997-02-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
36,Diphtheria,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
37,Food Poisoning - Outbreaks,,1997,2,1997-02-01,32,364,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
38,Legionnaires' Disease,,1997,2,1997-02-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
39,Leprosy,,1997,2,1997-02-01,0,11,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
40,Malaria,,1997,2,1997-02-01,4,101,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
41,Measles,,1997,2,1997-02-01,20,316,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
42,Meningococcal Infections,,1997,2,1997-02-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
43,Mumps,,1997,2,1997-02-01,2,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
44,Paratyphoid Fever,,1997,2,1997-02-01,0,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
45,Plague,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
46,Rabies(Human),,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
47,Relapsing Fever,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
48,Rubella,,1997,2,1997-02-01,170,4958,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
49,Scarlet Fever,,1997,2,1997-02-01,7,77,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
50,Tetanus,,1997,2,1997-02-01,2,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
51,Tuberculosis,,1997,2,1997-02-01,384,7072,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
52,Typhoid Fever,,1997,2,1997-02-01,9,71,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
53,Typhus Fever,,1997,2,1997-02-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
54,Viral Hepatitis - A,,1997,2,1997-02-01,56,595,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
55,Viral Hepatitis - B,,1997,2,1997-02-01,7,100,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
56,Viral Hepatitis - C,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
57,Viral Hepatitis - E,,1997,2,1997-02-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
58,Viral Hepatitis - Unclassified,,1997,2,1997-02-01,2,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
59,Whooping Cough,,1997,2,1997-02-01,2,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
60,Yellow Fever,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
61,Acute Poliomyelitis,,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
62,Amoebic Dysentery,,1997,3,1997-03-01,2,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
63,Bacillary Dysentery,,1997,3,1997-03-01,22,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
64,Cholera,,1997,3,1997-03-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
65,Dengue Fever,,1997,3,1997-03-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
66,Diphtheria,,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
67,Food Poisoning - Outbreaks,,1997,3,1997-03-01,14,364,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
68,Legionnaires' Disease,,1997,3,1997-03-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
69,Leprosy,,1997,3,1997-03-01,2,11,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
70,Malaria,,1997,3,1997-03-01,1,101,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
