"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2023",,,,,,"Data collected as of January 18, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,36388,7.37,561,0.18,360,0.11,866,0.27,18155,5.76,266,0.08,282,0.09,21,0.01,728,0.23,138,0.04,68,0.02,14,0.02,169,0.24,3,0.01,4,0.01,9,0.02,-,-,3,0.01
Hokkaido,1722,7.52,45,0.32,34,0.24,47,0.34,291,2.09,20,0.14,1,0.01,-,-,13,0.09,3,0.02,2,0.01,1,0.03,1,0.03,-,-,-,-,-,-,-,-,1,0.04
Aomori,379,5.92,11,0.26,1,0.02,4,0.1,143,3.4,-,-,-,-,-,-,7,0.17,-,-,1,0.02,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
Iwate,144,2.29,5,0.13,1,0.03,10,0.25,176,4.4,3,0.08,2,0.05,-,-,11,0.28,-,-,1,0.03,-,-,4,0.31,-,-,-,-,1,0.05,-,-,1,0.05
Miyagi,158,1.66,9,0.16,8,0.14,4,0.07,280,4.83,7,0.12,-,-,2,0.03,15,0.26,-,-,-,-,-,-,4,0.33,1,0.08,-,-,-,-,-,-,-,-
Akita,128,2.51,5,0.15,2,0.06,6,0.18,53,1.61,3,0.09,-,-,-,-,4,0.12,2,0.06,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,66,1.5,7,0.24,3,0.1,4,0.14,171,5.9,2,0.07,-,-,-,-,11,0.38,1,0.03,2,0.07,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
Fukushima,283,3.41,38,0.76,8,0.16,6,0.12,188,3.76,2,0.04,-,-,2,0.04,17,0.34,1,0.02,1,0.02,-,-,2,0.15,-,-,-,-,-,-,-,-,-,-
Ibaraki,523,4.36,5,0.07,8,0.11,14,0.19,427,5.77,4,0.05,-,-,-,-,8,0.11,1,0.01,2,0.03,-,-,12,0.71,-,-,-,-,1,0.08,-,-,-,-
Tochigi,239,3.14,8,0.17,1,0.02,3,0.06,166,3.46,4,0.08,-,-,1,0.02,15,0.31,-,-,-,-,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
Gunma,306,3.56,7,0.13,11,0.21,5,0.09,309,5.83,4,0.08,3,0.06,2,0.04,16,0.3,1,0.02,-,-,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
Saitama,1277,5.01,9,0.06,10,0.06,36,0.23,1471,9.19,13,0.08,6,0.04,1,0.01,41,0.26,1,0.01,1,0.01,4,0.1,6,0.15,1,0.09,2,0.18,-,-,-,-,-,-
Chiba,1372,6.56,6,0.05,2,0.02,30,0.23,1152,8.93,10,0.08,4,0.03,1,0.01,25,0.19,1,0.01,5,0.04,-,-,3,0.09,-,-,-,-,-,-,-,-,-,-
Tokyo,2174,5.32,21,0.08,15,0.06,39,0.15,2167,8.3,18,0.07,9,0.03,4,0.02,68,0.26,1,0,7,0.03,-,-,6,0.16,-,-,-,-,1,0.04,-,-,-,-
Kanagawa,2021,5.63,13,0.06,10,0.04,45,0.2,1592,6.95,16,0.07,9,0.04,-,-,42,0.18,2,0.01,9,0.04,-,-,27,0.53,-,-,-,-,1,0.08,-,-,-,-
Niigata,394,4.53,20,0.36,13,0.23,27,0.48,208,3.71,2,0.04,2,0.04,-,-,10,0.18,-,-,3,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toyama,313,6.52,9,0.31,3,0.1,12,0.41,167,5.76,1,0.03,2,0.07,1,0.03,8,0.28,1,0.03,-,-,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
