"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2023",,,,,,"Data collected as of January 18, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,59906,12.14,1139,0.36,724,0.23,1539,0.49,29144,9.27,540,0.17,604,0.19,42,0.01,1292,0.41,221,0.07,131,0.04,18,0.03,319,0.46,8,0.02,6,0.01,17,0.04,-,-,4,0.01
Hokkaido,3020,13.25,89,0.64,70,0.51,100,0.72,448,3.25,43,0.31,8,0.06,-,-,24,0.17,4,0.03,2,0.01,1,0.03,2,0.07,-,-,-,-,3,0.13,-,-,1,0.04
Aomori,588,9.19,14,0.33,6,0.14,6,0.14,219,5.21,2,0.05,1,0.02,1,0.02,11,0.26,-,-,3,0.07,-,-,-,-,1,0.17,-,-,3,0.5,-,-,-,-
Iwate,251,3.98,22,0.55,5,0.13,23,0.58,288,7.2,4,0.1,4,0.1,-,-,22,0.55,1,0.03,1,0.03,-,-,6,0.46,-,-,-,-,1,0.05,-,-,1,0.05
Miyagi,329,3.46,33,0.57,14,0.24,14,0.24,408,7.03,10,0.17,2,0.03,4,0.07,26,0.45,-,-,2,0.03,-,-,7,0.58,1,0.08,-,-,-,-,-,-,-,-
Akita,189,3.71,7,0.21,6,0.18,12,0.36,90,2.73,5,0.15,-,-,-,-,10,0.3,7,0.21,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,100,2.27,15,0.52,7,0.24,9,0.31,267,9.21,8,0.28,-,-,-,-,18,0.62,1,0.03,3,0.1,-,-,2,0.25,1,0.1,-,-,-,-,-,-,-,-
Fukushima,504,6.07,92,1.84,24,0.48,10,0.2,293,5.86,6,0.12,-,-,3,0.06,27,0.54,1,0.02,2,0.04,-,-,5,0.38,-,-,-,-,-,-,-,-,-,-
Ibaraki,1099,9.16,9,0.12,12,0.16,33,0.45,711,9.61,7,0.09,1,0.01,-,-,15,0.2,2,0.03,9,0.12,-,-,29,1.71,-,-,-,-,1,0.08,-,-,-,-
Tochigi,418,5.5,17,0.35,3,0.06,10,0.21,281,5.85,7,0.15,-,-,1,0.02,32,0.67,-,-,-,-,-,-,4,0.33,-,-,-,-,-,-,-,-,-,-
Gunma,562,6.53,23,0.43,15,0.28,10,0.19,525,9.91,7,0.13,5,0.09,2,0.04,23,0.43,1,0.02,3,0.06,-,-,8,0.57,-,-,-,-,-,-,-,-,-,-
Saitama,2331,9.36,25,0.16,22,0.14,62,0.4,2330,14.94,30,0.19,10,0.06,3,0.02,67,0.43,1,0.01,6,0.04,4,0.1,13,0.33,1,0.09,2,0.18,-,-,-,-,-,-
Chiba,2335,11.23,16,0.12,9,0.07,52,0.4,1783,13.82,30,0.23,8,0.06,1,0.01,40,0.31,1,0.01,5,0.04,-,-,11,0.32,-,-,-,-,-,-,-,-,-,-
Tokyo,3649,8.92,33,0.13,32,0.12,67,0.26,3380,13.05,42,0.16,22,0.08,4,0.02,107,0.41,4,0.02,11,0.04,-,-,8,0.21,-,-,1,0.04,1,0.04,-,-,-,-
Kanagawa,3432,9.56,24,0.11,20,0.09,72,0.32,2455,10.81,32,0.14,18,0.08,1,0,80,0.35,6,0.03,16,0.07,1,0.02,48,0.98,-,-,-,-,1,0.09,-,-,-,-
Niigata,594,6.91,49,0.88,21,0.38,46,0.82,351,6.27,6,0.11,3,0.05,-,-,16,0.29,1,0.02,4,0.07,-,-,4,0.4,-,-,-,-,-,-,-,-,-,-
Toyama,484,10.08,14,0.48,6,0.21,21,0.72,246,8.48,2,0.07,4,0.14,1,0.03,15,0.52,2,0.07,1,0.03,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
Ishikawa,546,11.38,8,0.28,11,0.38,9,0.31,401,13.83,6,0.21,20,0.69,-,-,10,0.34,2,0.07,2,0.07,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-
Fukui,324,8.76,11,0.48,13,0.57,10,0.43,291,12.65,11,0.48,18,0.78,-,-,14,0.61,2,0.09,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,262,6.39,24,1,-,-,5,0.21,147,6.13,-,-,-,-,1,0.04,13,0.54,-,-,1,0.04,-,-,8,0.89,-,-,-,-,-,-,-,-,-,-
Nagano,640,7.27,45,0.83,3,0.06,30,0.56,518,9.59,11,0.2,4,0.07,1,0.02,25,0.46,5,0.09,-,-,3,0.27,12,1.09,-,-,-,-,1,0.08,-,-,-,-
Gifu,605,6.95,9,0.17,12,0.23,8,0.15,193,3.64,1,0.02,2,0.04,1,0.02,13,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
