"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2023",,,,,,"Data collected as of March 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,31760,6.44,1313,0.42,505,0.16,1515,0.48,13245,4.21,223,0.07,232,0.07,27,0.01,634,0.2,187,0.06,79,0.03,8,0.01,108,0.16,6,0.01,14,0.03,15,0.03,-,-,3,0.01
Hokkaido,2004,8.75,252,1.81,25,0.18,129,0.93,310,2.23,22,0.16,1,0.01,-,-,9,0.06,5,0.04,1,0.01,-,-,4,0.14,-,-,-,-,-,-,-,-,-,-
Aomori,845,13.2,2,0.05,4,0.1,6,0.14,148,3.52,-,-,-,-,-,-,11,0.26,1,0.02,1,0.02,-,-,-,-,-,-,1,0.17,8,1.33,-,-,-,-
Iwate,734,11.65,9,0.23,3,0.08,25,0.63,154,3.85,3,0.08,1,0.03,-,-,8,0.2,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Miyagi,499,5.25,9,0.16,7,0.12,6,0.1,308,5.31,3,0.05,-,-,-,-,17,0.29,-,-,2,0.03,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Akita,568,11.14,2,0.06,1,0.03,12,0.36,95,2.88,-,-,-,-,1,0.03,4,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamagata,737,16.75,4,0.14,3,0.1,8,0.28,85,2.93,3,0.1,1,0.03,-,-,5,0.17,-,-,3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukushima,490,5.9,41,0.82,10,0.2,23,0.46,153,3.06,2,0.04,-,-,-,-,14,0.28,-,-,2,0.04,-,-,3,0.23,-,-,1,0.14,1,0.14,-,-,-,-
Ibaraki,493,4.11,3,0.04,13,0.17,36,0.48,219,2.92,2,0.03,5,0.07,2,0.03,8,0.11,2,0.03,-,-,-,-,4,0.24,-,-,-,-,-,-,-,-,-,-
Tochigi,607,7.99,2,0.04,4,0.08,16,0.33,142,2.96,1,0.02,-,-,-,-,10,0.21,-,-,-,-,-,-,1,0.08,1,0.14,-,-,-,-,-,-,-,-
Gunma,642,7.47,2,0.04,9,0.17,22,0.42,168,3.17,1,0.02,-,-,1,0.02,24,0.45,-,-,1,0.02,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
Saitama,2011,7.86,37,0.23,23,0.14,46,0.29,602,3.74,21,0.13,7,0.04,1,0.01,26,0.16,1,0.01,6,0.04,2,0.05,11,0.27,-,-,-,-,-,-,-,-,-,-
Chiba,721,3.45,9,0.07,7,0.05,33,0.25,395,3.04,12,0.09,-,-,2,0.02,23,0.18,3,0.02,4,0.03,-,-,2,0.06,-,-,1,0.11,-,-,-,-,-,-
Tokyo,2139,5.18,37,0.14,29,0.11,93,0.36,1045,4.03,20,0.08,6,0.02,3,0.01,59,0.23,2,0.01,7,0.03,2,0.05,6,0.16,-,-,1,0.04,1,0.04,-,-,-,-
Kanagawa,1852,5.28,10,0.04,18,0.08,71,0.31,668,2.94,9,0.04,9,0.04,5,0.02,36,0.16,-,-,5,0.02,1,0.02,23,0.47,-,-,-,-,-,-,-,-,-,-
Niigata,1690,19.43,34,0.61,5,0.09,58,1.04,217,3.88,2,0.04,1,0.02,2,0.04,11,0.2,-,-,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toyama,665,13.85,33,1.14,10,0.34,26,0.9,210,7.24,2,0.07,-,-,-,-,5,0.17,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
