"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2023",,,,,,"Data collected as of March 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,582701,117.91,11594,3.68,5355,1.7,16143,5.13,234923,74.63,2695,0.86,3147,1,316,0.1,8071,2.56,1806,0.57,1020,0.32,75,0.11,1664,2.4,90,0.19,102,0.21,111,0.23,4,0.01,55,0.12
Hokkaido,27747,121.7,1891,13.7,368,2.67,1236,8.96,4380,31.74,202,1.46,36,0.26,3,0.02,168,1.22,39,0.28,20,0.14,1,0.03,40,1.38,-,-,-,-,8,0.35,-,-,3,0.13
Aomori,9341,145.95,104,2.48,45,1.07,78,1.86,3123,74.36,27,0.64,9,0.21,6,0.14,105,2.5,4,0.1,17,0.4,-,-,4,0.4,1,0.17,1,0.17,31,5.17,-,-,-,-
Iwate,11927,192.37,292,7.3,35,0.88,468,11.7,2951,73.78,17,0.43,10,0.25,-,-,128,3.2,2,0.05,11,0.28,-,-,25,1.92,2,0.11,1,0.05,4,0.21,-,-,9,0.47
Miyagi,4126,43.43,303,5.22,85,1.47,203,3.5,5282,91.07,46,0.79,10,0.17,10,0.17,180,3.1,-,-,17,0.29,-,-,27,2.25,2,0.17,1,0.08,7,0.58,-,-,-,-
Akita,5074,99.49,43,1.3,34,1.03,159,4.82,1526,46.24,26,0.79,7,0.21,8,0.24,57,1.73,34,1.03,7,0.21,-,-,7,1,-,-,-,-,1,0.13,-,-,-,-
Yamagata,4210,95.68,156,5.38,48,1.66,150,5.17,2657,91.62,26,0.9,12,0.41,1,0.03,125,4.31,1,0.03,14,0.48,-,-,9,1.13,3,0.3,-,-,-,-,-,-,1,0.1
Fukushima,4648,56,753,15.06,101,2.02,256,5.12,3463,69.26,21,0.42,6,0.12,5,0.1,205,4.1,2,0.04,17,0.34,-,-,51,3.92,2,0.29,1,0.14,2,0.29,-,-,-,-
Ibaraki,9146,76.86,108,1.46,85,1.15,361,4.88,4218,57,42,0.57,21,0.28,6,0.08,108,1.46,8,0.11,19,0.26,1,0.06,110,6.47,-,-,-,-,7,0.58,-,-,1,0.08
Tochigi,7628,100.37,39,0.81,28,0.58,201,4.19,3092,64.42,35,0.73,23,0.48,1,0.02,144,3,4,0.08,6,0.13,-,-,32,2.67,2,0.29,1,0.14,-,-,-,-,1,0.14
