"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2023",,,,,,"Data collected as of May 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,650272,131.77,24415,7.76,8904,2.83,26233,8.34,302633,96.23,4074,1.3,5356,1.7,486,0.15,12450,3.96,4911,1.56,1543,0.49,111,0.16,2543,3.67,117,0.24,155,0.32,172,0.36,8,0.02,74,0.15
Hokkaido,31740,139.82,3382,24.51,563,4.08,1971,14.28,6012,43.57,262,1.9,44,0.32,8,0.06,273,1.98,56,0.41,35,0.25,1,0.03,53,1.83,-,-,-,-,16,0.7,-,-,4,0.17
Aomori,11256,178.67,225,5.49,67,1.63,114,2.78,3646,88.93,35,0.85,12,0.29,6,0.15,146,3.56,5,0.12,22,0.54,-,-,6,0.67,2,0.33,3,0.5,34,5.67,-,-,-,-
Iwate,12810,206.61,431,11.05,53,1.36,667,17.1,3675,94.23,27,0.69,17,0.44,-,-,211,5.41,3,0.08,12,0.31,-,-,32,2.46,4,0.21,3,0.16,5,0.26,-,-,9,0.47
Miyagi,6619,70.41,437,7.67,147,2.58,318,5.58,6405,112.37,62,1.09,12,0.21,14,0.25,267,4.68,6,0.11,23,0.4,-,-,48,4,2,0.18,1,0.09,11,1,-,-,-,-
Akita,6197,121.51,59,1.79,44,1.33,228,6.91,1900,57.58,36,1.09,7,0.21,8,0.24,88,2.67,35,1.06,8,0.24,-,-,12,1.71,-,-,-,-,2,0.25,-,-,-,-
Yamagata,6225,144.77,169,6.04,80,2.86,199,7.11,3054,109.07,38,1.36,14,0.5,3,0.11,164,5.86,1,0.04,17,0.61,-,-,11,1.38,3,0.3,-,-,1,0.1,-,-,1,0.1
Fukushima,5650,68.07,957,19.14,156,3.12,383,7.66,4183,83.66,35,0.7,13,0.26,13,0.26,320,6.4,4,0.08,26,0.52,-,-,66,5.08,2,0.29,1,0.14,5,0.71,-,-,-,-
Ibaraki,10001,83.34,136,1.81,152,2.03,565,7.53,5129,68.39,82,1.09,76,1.01,7,0.09,159,2.12,30,0.4,31,0.41,2,0.12,169,9.94,-,-,1,0.08,11,0.92,-,-,1,0.08
Tochigi,8406,110.61,110,2.29,48,1,313,6.52,3665,76.35,60,1.25,28,0.58,2,0.04,222,4.63,5,0.1,17,0.35,-,-,41,3.42,3,0.43,1,0.14,-,-,-,-,1,0.14
Gunma,6606,76.81,94,1.77,177,3.34,224,4.23,5020,94.72,89,1.68,24,0.45,18,0.34,281,5.3,14,0.26,35,0.66,-,-,73,5.21,2,0.22,-,-,1,0.11,-,-,-,-
Saitama,29475,116.04,754,4.71,464,2.9,995,6.22,16858,105.36,283,1.77,156,0.98,36,0.23,711,4.44,45,0.28,117,0.73,18,0.45,127,3.18,4,0.36,8,0.73,3,0.27,-,-,5,0.45
Chiba,21707,103.86,209,1.61,191,1.47,849,6.53,12351,95.01,189,1.45,83,0.64,19,0.15,394,3.03,37,0.28,76,0.58,3,0.09,135,3.97,3,0.33,5,0.56,-,-,-,-,-,-
Tokyo,44296,107.51,646,2.49,561,2.17,1633,6.31,26596,102.69,377,1.46,256,0.99,64,0.25,1064,4.11,148,0.57,146,0.56,5,0.14,71,1.92,9,0.38,16,0.67,6,0.25,6,0.25,3,0.13
Kanagawa,44714,125.25,306,1.35,291,1.29,1208,5.35,19637,86.89,212,0.94,126,0.56,40,0.18,819,3.62,84,0.37,134,0.59,7,0.14,376,7.52,6,0.55,13,1.18,4,0.36,-,-,1,0.09
Niigata,16349,190.1,709,12.89,197,3.58,941,17.11,4768,86.69,69,1.25,36,0.65,7,0.13,215,3.91,10,0.18,30,0.55,1,0.1,21,2.1,2,0.17,4,0.33,5,0.42,-,-,1,0.08
Toyama,11131,231.9,500,17.24,199,6.86,431,14.86,4956,170.9,47,1.62,12,0.41,3,0.1,90,3.1,22,0.76,9,0.31,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,14217,296.19,316,10.9,99,3.41,169,5.83,4885,168.45,40,1.38,109,3.76,1,0.03,118,4.07,45,1.55,10,0.34,1,0.14,41,5.86,1,0.2,2,0.4,7,1.4,-,-,1,0.2
Fukui,10000,270.27,391,17,177,7.7,301,13.09,2029,88.22,66,2.87,171,7.43,3,0.13,90,3.91,90,3.91,11,0.48,-,-,3,1,3,0.5,3,0.5,1,0.17,-,-,-,-
Yamanashi,1854,45.22,70,2.92,8,0.33,21,0.88,2355,98.13,12,0.5,8,0.33,1,0.04,94,3.92,2,0.08,14,0.58,-,-,38,4.22,1,0.1,-,-,1,0.1,-,-,3,0.3
Nagano,8449,97.11,232,4.38,79,1.49,171,3.23,6214,117.25,53,1,16,0.3,5,0.09,148,2.79,22,0.42,16,0.3,5,0.5,59,5.9,-,-,5,0.42,4,0.33,-,-,1,0.08
Gifu,4454,51.79,222,4.27,163,3.13,184,3.54,3402,65.42,22,0.42,38,0.73,2,0.04,144,2.77,8,0.15,11,0.21,-,-,30,2.73,-,-,5,1,-,-,-,-,1,0.2
Shizuoka,8035,57.81,493,5.54,293,3.29,345,3.88,8289,93.13,102,1.15,65,0.73,17,0.19,308,3.46,14,0.16,57,0.64,1,0.05,39,1.77,7,0.7,7,0.7,6,0.6,-,-,2,0.2
