"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2023",,,,,,"Data collected as of May 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,10945,2.24,3384,1.08,987,0.32,2570,0.82,15503,4.96,283,0.09,582,0.19,34,0.01,1042,0.33,1020,0.33,107,0.03,10,0.01,170,0.25,5,0.01,12,0.03,22,0.05,-,-,6,0.01
Hokkaido,924,4.11,334,2.39,50,0.36,208,1.49,394,2.81,16,0.11,3,0.02,1,0.01,26,0.19,4,0.03,4,0.03,-,-,1,0.03,-,-,-,-,5,0.22,-,-,-,-
Aomori,423,6.93,34,0.85,8,0.2,9,0.23,106,2.65,1,0.03,2,0.05,-,-,6,0.15,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iwate,171,2.8,29,0.74,2,0.05,56,1.44,178,4.56,5,0.13,-,-,-,-,18,0.46,-,-,-,-,-,-,-,-,1,0.05,-,-,1,0.05,-,-,-,-
Miyagi,536,5.89,32,0.58,22,0.4,18,0.33,240,4.36,6,0.11,1,0.02,2,0.04,22,0.4,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Akita,197,3.79,8,0.24,5,0.15,15,0.44,68,2,-,-,-,-,-,-,8,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamagata,389,9.05,2,0.07,10,0.36,12,0.43,80,2.86,4,0.14,-,-,-,-,8,0.29,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukushima,166,2,38,0.76,12,0.24,26,0.52,158,3.16,6,0.12,-,-,-,-,22,0.44,-,-,1,0.02,-,-,3,0.23,-,-,-,-,3,0.43,-,-,-,-
Ibaraki,99,0.81,8,0.1,15,0.19,54,0.7,235,3.05,15,0.19,24,0.31,-,-,14,0.18,8,0.1,1,0.01,-,-,9,0.53,-,-,-,-,-,-,-,-,-,-
Tochigi,66,0.87,35,0.73,6,0.13,19,0.4,123,2.56,1,0.02,3,0.06,-,-,19,0.4,-,-,4,0.08,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Gunma,313,3.6,8,0.15,13,0.24,16,0.3,240,4.44,3,0.06,7,0.13,3,0.06,24,0.44,1,0.02,2,0.04,-,-,5,0.36,1,0.11,-,-,-,-,-,-,-,-
Saitama,432,1.68,116,0.72,78,0.48,118,0.73,849,5.27,8,0.05,21,0.13,3,0.02,77,0.48,13,0.08,7,0.04,3,0.08,4,0.11,1,0.09,-,-,-,-,-,-,1,0.09
Chiba,364,1.79,31,0.24,36,0.28,78,0.61,469,3.66,15,0.12,20,0.16,1,0.01,41,0.32,7,0.05,8,0.06,2,0.06,12,0.35,-,-,-,-,-,-,-,-,-,-
Tokyo,630,1.53,87,0.33,82,0.32,198,0.76,1341,5.16,29,0.11,35,0.13,6,0.02,99,0.38,34,0.13,6,0.02,-,-,6,0.16,-,-,2,0.08,1,0.04,-,-,-,-
Kanagawa,394,1.14,39,0.17,28,0.13,105,0.47,787,3.51,10,0.04,10,0.04,4,0.02,80,0.36,20,0.09,8,0.04,-,-,30,0.61,-,-,-,-,1,0.08,-,-,-,-
Niigata,1358,16.17,72,1.33,12,0.22,77,1.43,276,5.11,3,0.06,2,0.04,-,-,11,0.2,-,-,1,0.02,1,0.1,1,0.1,1,0.08,1,0.08,2,0.15,-,-,-,-
Toyama,87,1.81,58,2,29,1,39,1.34,352,12.14,6,0.21,-,-,-,-,4,0.14,2,0.07,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ishikawa,23,0.48,27,0.93,4,0.14,17,0.59,300,10.34,-,-,21,0.72,-,-,6,0.21,12,0.41,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Fukui,4,0.11,68,2.96,17,0.74,32,1.39,146,6.35,5,0.22,18,0.78,-,-,6,0.26,31,1.35,2,0.09,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Yamanashi,66,1.61,-,-,1,0.04,1,0.04,85,3.54,-,-,-,-,-,-,6,0.25,1,0.04,2,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nagano,117,1.34,11,0.21,10,0.19,18,0.34,297,5.6,3,0.06,-,-,1,0.02,11,0.21,3,0.06,2,0.04,-,-,8,0.8,-,-,2,0.17,-,-,-,-,-,-
Gifu,59,0.68,44,0.83,26,0.49,19,0.36,252,4.75,2,0.04,4,0.08,-,-,10,0.19,1,0.02,1,0.02,-,-,3,0.27,-,-,-,-,-,-,-,-,-,-
Shizuoka,295,2.12,50,0.57,22,0.25,37,0.42,397,4.51,5,0.06,8,0.09,-,-,31,0.35,2,0.02,1,0.01,-,-,5,0.23,-,-,-,-,1,0.1,-,-,-,-
Aichi,490,2.51,86,0.47,57,0.31,89,0.49,986,5.42,14,0.08,18,0.1,-,-,38,0.21,16,0.09,5,0.03,-,-,3,0.09,-,-,-,-,-,-,-,-,-,-
Mie,399,5.54,28,0.62,15,0.33,15,0.33,246,5.47,5,0.11,-,-,-,-,16,0.36,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
