"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2025",,,,,,"Data collected as of April 23, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,595902,125.9,44350,14.83,12925,4.32,98951,33.08,363071,121.39,12718,4.25,3553,1.19,36122,12.08,9471,3.17,468,0.16,1657,0.55,534,0.78,8506,12.36,150,0.31,174,0.36,3597,7.49,28,0.06,952,1.98,339544,71.74
Hokkaido,25267,119.18,2473,19.17,760,5.89,7236,56.09,6445,49.96,893,6.92,320,2.48,2317,17.96,271,2.1,21,0.16,68,0.53,5,0.18,110,3.93,2,0.09,5,0.22,178,7.74,2,0.09,40,1.74,18890,89.1
Aomori,6312,112.71,299,8.31,197,5.47,620,17.22,2710,75.28,244,6.78,104,2.89,1273,35.36,121,3.36,4,0.11,14,0.39,-,-,14,1.56,1,0.17,10,1.67,121,20.17,-,-,3,0.5,4686,83.68
Iwate,9561,162.05,371,10.03,211,5.7,1954,52.81,4663,126.03,134,3.62,92,2.49,653,17.65,154,4.16,5,0.14,18,0.49,-,-,117,8.36,9,0.47,3,0.16,132,6.95,-,-,14,0.74,5615,95.17
Miyagi,12319,143.24,544,10.67,354,6.94,1861,36.49,4681,91.78,215,4.22,73,1.43,1201,23.55,172,3.37,1,0.02,40,0.78,2,0.17,99,8.25,2,0.2,2,0.2,51,5.1,1,0.1,7,0.7,7958,92.53
Akita,4047,87.98,130,4.33,117,3.9,789,26.3,1854,61.8,84,2.8,60,2,106,3.53,54,1.8,7,0.23,5,0.17,9,1.5,33,5.5,1,0.13,-,-,65,8.13,-,-,9,1.13,3054,66.39
Yamagata,6304,161.64,288,11.52,163,6.52,1114,44.56,2204,88.16,141,5.64,170,6.8,542,21.68,112,4.48,6,0.24,15,0.6,-,-,97,13.86,2,0.2,-,-,91,9.1,-,-,18,1.8,2684,68.82
Fukushima,11578,150.36,660,14.67,318,7.07,1437,31.93,3445,76.56,256,5.69,44,0.98,1536,34.13,167,3.71,-,-,26,0.58,4,0.31,491,37.77,1,0.14,1,0.14,49,7,-,-,12,1.71,8517,110.61
Ibaraki,17103,152.71,632,9.16,294,4.26,5084,73.68,7791,112.91,270,3.91,54,0.78,860,12.46,143,2.07,12,0.17,30,0.43,6,0.38,791,49.44,3,0.23,2,0.15,94,7.23,-,-,7,0.54,12571,112.24
Tochigi,10177,145.39,608,13.82,187,4.25,1605,36.48,4433,100.75,126,2.86,73,1.66,1304,29.64,182,4.14,4,0.09,24,0.55,3,0.27,182,16.55,5,0.71,1,0.14,31,4.43,-,-,10,1.43,6949,99.27
Gunma,11336,147.22,696,14.5,221,4.6,802,16.71,6805,141.77,250,5.21,59,1.23,686,14.29,199,4.15,12,0.25,42,0.88,1,0.08,131,10.08,4,0.44,4,0.44,80,8.89,1,0.11,23,2.56,6530,84.81
Saitama,30782,129.88,1964,13.18,634,4.26,5955,39.97,20698,138.91,1168,7.84,195,1.31,4118,27.64,505,3.39,29,0.19,139,0.93,158,3.95,359,8.98,4,0.33,8,0.67,133,11.08,4,0.33,43,3.58,20743,87.52
Chiba,25931,130.31,904,7.29,352,2.84,5833,47.04,17363,140.02,452,3.65,106,0.85,3273,26.4,333,2.69,19,0.15,112,0.9,11,0.32,487,14.32,7,0.78,2,0.22,39,4.33,-,-,6,0.67,17078,85.82
Tokyo,29996,72.81,2101,8.11,579,2.24,9280,35.83,37227,143.73,1639,6.33,230,0.89,4863,18.78,820,3.17,33,0.13,176,0.68,6,0.16,320,8.42,11,0.44,6,0.24,135,5.4,8,0.32,77,3.08,17089,41.48
Kanagawa,28461,85.21,1856,8.88,389,1.86,5019,24.01,24655,117.97,1374,6.57,164,0.78,3380,16.17,593,2.84,21,0.1,163,0.78,20,0.41,761,15.53,9,0.82,15,1.36,45,4.09,-,-,26,2.36,19080,57.13
Niigata,14320,174.63,700,13.73,305,5.98,3061,60.02,3746,73.45,435,8.53,86,1.69,760,14.9,160,3.14,5,0.1,46,0.9,26,2.6,80,8,2,0.15,2,0.15,131,10.08,-,-,3,0.23,7117,86.79
Toyama,6087,129.51,288,10.29,219,7.82,1980,70.71,4431,158.25,109,3.89,12,0.43,513,18.32,80,2.86,18,0.64,14,0.5,59,9.83,16,2.67,1,0.2,-,-,49,9.8,-,-,3,0.6,3165,67.34
Ishikawa,7552,157.33,368,12.69,126,4.34,1140,39.31,4721,162.79,215,7.41,9,0.31,395,13.62,89,3.07,9,0.31,9,0.31,21,3,185,26.43,-,-,1,0.2,39,7.8,-,-,3,0.6,3486,72.63
Fukui,5009,128.44,648,25.92,179,7.16,665,26.6,3723,148.92,150,6,44,1.76,122,4.88,73,2.92,7,0.28,19,0.76,-,-,6,2,1,0.17,6,1,127,21.17,2,0.33,9,1.5,2006,51.44
Yamanashi,4028,100.7,139,6.04,58,2.52,192,8.35,3016,131.13,38,1.65,19,0.83,136,5.91,43,1.87,-,-,10,0.43,-,-,316,35.11,2,0.2,-,-,32,3.2,1,0.1,6,0.6,3165,79.13
Nagano,14136,166.31,651,12.52,138,2.65,1314,25.27,4821,92.71,160,3.08,99,1.9,877,16.87,129,2.48,16,0.31,14,0.27,-,-,416,46.22,3,0.25,3,0.25,97,8.08,-,-,6,0.5,9134,107.46
Gifu,12917,159.47,909,18.55,138,2.82,887,18.1,3911,79.82,56,1.14,17,0.35,112,2.29,150,3.06,2,0.04,17,0.35,1,0.09,11,1,2,0.4,7,1.4,70,14,-,-,20,4,7989,98.63
Shizuoka,20867,150.12,920,10.34,300,3.37,1345,15.11,9058,101.78,138,1.55,24,0.27,866,9.73,243,2.73,10,0.11,39,0.44,1,0.05,119,5.67,8,0.8,2,0.2,52,5.2,-,-,-,-,12059,86.76
Aichi,30614,161.13,1819,10.64,510,2.98,2709,15.84,14397,84.19,231,1.35,42,0.25,394,2.3,340,1.99,15,0.09,53,0.31,25,0.71,142,4.06,7,0.47,9,0.6,157,10.47,-,-,33,2.2,18875,99.34
Mie,7910,113,1128,25.64,176,4,1394,31.68,4886,111.05,120,2.73,29,0.66,275,6.25,135,3.07,6,0.14,14,0.32,3,0.27,14,1.27,4,0.44,-,-,71,7.89,-,-,2,0.22,5211,74.44
Shiga,6933,119.53,452,12.91,77,2.2,725,20.71,2714,77.54,136,3.89,13,0.37,196,5.6,84,2.4,3,0.09,24,0.69,1,0.11,7,0.78,-,-,1,0.14,20,2.86,-,-,2,0.29,3749,64.64
Kyoto,13343,115.03,728,10.4,567,8.1,1665,23.79,6761,96.59,157,2.24,51,0.73,699,9.99,145,2.07,4,0.06,28,0.4,2,0.12,79,4.65,-,-,-,-,63,10.5,2,0.33,-,-,6439,55.51
Osaka,27470,93.44,4028,21.43,698,3.71,3501,18.62,23774,126.46,553,2.94,200,1.06,759,4.04,549,2.92,38,0.2,100,0.53,31,0.62,171,3.42,5,0.29,12,0.71,93,5.47,7,0.41,125,7.35,13041,44.36
Hyogo,20493,107.29,2962,24.08,582,4.73,2370,19.27,16866,137.12,288,2.34,136,1.11,619,5.03,365,2.97,13,0.11,68,0.55,30,0.88,342,10.06,4,0.29,15,1.07,197,14.07,-,-,25,1.79,10042,52.58
Nara,5742,112.59,857,27.65,121,3.9,556,17.94,4099,132.23,71,2.29,89,2.87,122,3.94,107,3.45,5,0.16,6,0.19,-,-,46,5.11,5,0.83,2,0.33,42,7,-,-,18,3,3611,70.8
Wakayama,6383,135.81,589,21.04,77,2.75,440,15.71,3008,107.43,116,4.14,18,0.64,136,4.86,107,3.82,-,-,12,0.43,8,2.67,12,4,4,0.36,1,0.09,42,3.82,-,-,14,1.27,3013,64.11
Tottori,3604,124.28,159,8.37,81,4.26,1031,54.26,1785,93.95,73,3.84,16,0.84,185,9.74,47,2.47,2,0.11,1,0.05,1,0.2,18,3.6,2,0.4,7,1.4,41,8.2,-,-,5,1,2365,81.55
Shimane,4383,125.23,211,10.05,122,5.81,495,23.57,2697,128.43,68,3.24,23,1.1,223,10.62,112,5.33,8,0.38,3,0.14,-,-,1,0.33,3,0.38,-,-,53,6.63,-,-,3,0.38,2637,75.34
Okayama,9918,125.54,487,9.74,163,3.26,815,16.3,6073,121.46,70,1.4,38,0.76,49,0.98,145,2.9,11,0.22,49,0.98,6,0.5,104,8.67,3,0.6,2,0.4,43,8.6,-,-,10,2,5654,71.57
