"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2025",,,,,,"Data collected as of April 23, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,4627,1.2,2012,0.85,755,0.32,6250,2.64,20169,8.54,868,0.37,171,0.07,2963,1.25,709,0.3,48,0.02,143,0.06,45,0.06,661,0.95,7,0.01,9,0.02,144,0.3,3,0.01,114,0.24,6852,1.77
Hokkaido,195,1.17,109,1.07,40,0.39,432,4.24,619,6.07,29,0.28,22,0.22,320,3.14,24,0.24,1,0.01,8,0.08,1,0.04,5,0.18,-,-,-,-,6,0.26,-,-,4,0.17,301,1.8
Aomori,81,1.56,14,0.41,13,0.38,42,1.24,171,5.03,12,0.35,5,0.15,49,1.44,9,0.26,-,-,1,0.03,-,-,-,-,-,-,-,-,5,0.83,-,-,-,-,61,1.17
Iwate,125,2.84,20,0.71,27,0.96,80,2.86,270,9.64,14,0.5,2,0.07,40,1.43,13,0.46,1,0.04,-,-,-,-,1,0.07,-,-,1,0.05,2,0.11,-,-,1,0.05,104,2.36
Miyagi,89,1.65,24,0.8,16,0.53,105,3.5,156,5.2,10,0.33,2,0.07,55,1.83,9,0.3,-,-,4,0.13,1,0.08,8,0.67,-,-,-,-,2,0.2,-,-,1,0.1,88,1.63
Akita,119,4.76,6,0.46,3,0.23,33,2.54,44,3.38,4,0.31,2,0.15,2,0.15,3,0.23,1,0.08,-,-,3,0.43,4,0.57,-,-,-,-,4,0.5,-,-,-,-,43,1.72
Yamagata,28,0.72,30,1.15,5,0.19,71,2.73,209,8.04,10,0.38,3,0.12,81,3.12,10,0.38,1,0.04,3,0.12,-,-,4,0.5,-,-,-,-,5,0.5,-,-,2,0.2,117,3
Fukushima,123,2.56,32,1.14,17,0.61,88,3.14,206,7.36,32,1.14,3,0.11,119,4.25,6,0.21,-,-,2,0.07,-,-,57,4.38,-,-,-,-,1,0.14,-,-,3,0.43,119,2.48
Ibaraki,99,1.46,28,0.74,11,0.29,203,5.34,351,9.24,13,0.34,3,0.08,98,2.58,6,0.16,2,0.05,3,0.08,1,0.06,66,3.88,1,0.08,-,-,4,0.31,-,-,1,0.08,193,2.84
Tochigi,72,1.53,21,0.78,5,0.19,116,4.3,211,7.81,5,0.19,1,0.04,150,5.56,16,0.59,-,-,5,0.19,-,-,25,2.08,-,-,-,-,2,0.29,-,-,3,0.43,71,1.51
Gunma,49,1.09,16,0.64,7,0.28,50,2,242,9.68,13,0.52,2,0.08,66,2.64,16,0.64,-,-,7,0.28,-,-,10,0.71,-,-,-,-,2,0.22,-,-,6,0.67,83,1.84
Saitama,227,1.3,74,0.67,32,0.29,390,3.55,973,8.85,95,0.86,11,0.1,216,1.96,51,0.46,2,0.02,10,0.09,9,0.21,34,0.79,1,0.08,-,-,4,0.33,1,0.08,-,-,422,2.41
Chiba,189,1.03,56,0.48,24,0.21,373,3.19,710,6.07,37,0.32,6,0.05,200,1.71,28,0.24,-,-,12,0.1,1,0.03,52,1.49,-,-,-,-,3,0.33,-,-,-,-,351,1.92
Tokyo,394,0.94,105,0.4,63,0.24,914,3.46,2007,7.6,134,0.51,15,0.06,228,0.86,65,0.25,-,-,9,0.03,-,-,21,0.54,-,-,-,-,3,0.12,1,0.04,6,0.24,430,1.03
Kanagawa,272,1.12,59,0.41,20,0.14,335,2.34,1025,7.17,94,0.66,4,0.03,212,1.48,48,0.34,3,0.02,10,0.07,2,0.04,67,1.29,-,-,1,0.09,1,0.09,-,-,4,0.36,285,1.18
