報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2026年07週(02月09日～02月15日),2026年02月18日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,616693,165.78,33240,10.34,40124,10.55,43040,11.32,63355,16.65,114307,30.03,164914,43.35,157713,41.44
北海道,11760,71.71,1095,7.55,725,4.34,748,4.45,989,5.89,1736,10.33,2803,16.68,3664,21.81
青森県,5194,101.84,402,8.93,369,7.1,313,6.02,524,10.08,916,17.62,1245,23.94,1425,27.4
岩手県,5257,125.17,209,4.98,240,5.71,242,5.76,330,7.86,879,20.93,1554,37,1803,42.93
宮城県,11616,211.2,292,5.31,532,9.67,663,12.05,1367,24.85,2696,49.02,3345,60.82,2721,49.47
秋田県,2441,101.71,298,13.55,139,5.56,123,4.92,233,9.32,429,17.16,644,25.76,575,23
山形県,4381,118.41,265,9.46,268,6.87,240,6.32,453,11.62,789,20.23,1142,29.28,1224,31.38
福島県,8552,178.17,466,9.71,353,7.35,380,7.92,744,15.5,1585,33.02,2555,53.23,2469,51.44
茨城県,13231,203.55,970,17.64,764,11.4,841,12.55,1294,19.31,2509,37.45,3687,55.03,3166,47.25
栃木県,8580,195,269,9.28,370,7.87,411,8.74,660,14.04,1789,38.06,2745,58.4,2336,49.7
群馬県,5221,124.31,230,9.58,380,8.44,372,8.27,452,10.04,826,18.36,1401,31.13,1560,34.67
埼玉県,38269,231.93,1580,14.91,1927,10.95,2153,12.23,3903,22.18,7159,40.68,10529,60.17,11018,62.6
千葉県,39952,224.45,1129,7.33,2029,11.15,2544,13.9,4354,23.79,8433,46.08,11473,62.69,9990,54.89
東京都,56675,142.4,1389,4.93,2882,6.88,3032,7.25,5779,13.83,11149,26.67,16393,39.31,16051,38.4
神奈川県,44356,193.69,696,4.8,2197,9.08,2357,9.78,4432,18.24,8921,36.56,13613,55.79,12140,49.55
新潟県,5868,106.69,476,8.65,420,7.64,323,5.87,423,7.69,1075,19.55,1452,26.4,1699,30.89
富山県,4613,102.51,259,6.64,368,7.83,307,6.53,418,8.89,698,14.85,1158,24.64,1405,29.89
石川県,4354,92.64,283,6.02,390,8.3,417,8.87,461,9.81,605,12.87,873,18.57,1325,28.19
福井県,3664,93.95,321,8.23,292,7.49,335,8.59,427,10.95,582,14.92,792,20.31,915,23.46
山梨県,6814,194.69,176,5.03,351,10.03,292,8.34,778,22.23,1644,46.97,2108,60.23,1465,41.86
長野県,7268,151.42,544,13.6,505,10.1,498,9.96,599,11.98,1128,22.56,1788,35.76,2206,44.12
岐阜県,6969,158.39,847,19.7,375,8.33,532,11.82,741,16.47,1371,30.47,1614,35.87,1489,33.09
静岡県,27248,196.03,965,6.94,1605,11.55,1671,12.02,3160,22.73,6017,43.29,7784,56,6046,43.5
愛知県,33141,203.32,1935,11.87,2225,13.65,2256,13.84,3505,21.5,6316,38.75,9011,55.28,7893,48.42
三重県,13246,203.78,532,12.37,808,11.71,894,12.96,1645,23.84,2836,41.1,3630,53.38,2901,42.04
