"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2025",,,,,,"Data collected as of January 9, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,141998,33.82,446,0.17,310,0.12,1608,0.61,2881,1.09,365,0.14,233,0.09,428,0.16,138,0.05,10,0,38,0.01,9,0.02,124,0.22,8,0.02,7,0.01,368,0.77,-,-,11,0.02,22357,5.32
Hokkaido,6490,34.71,62,0.59,15,0.14,116,1.1,51,0.49,33,0.31,25,0.24,6,0.06,2,0.02,-,-,3,0.03,1,0.04,3,0.13,-,-,-,-,11,0.5,-,-,-,-,2178,11.65
Aomori,1721,36.62,7,0.22,11,0.34,12,0.38,19,0.59,1,0.03,1,0.03,12,0.38,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,5,0.83,-,-,-,-,443,9.43
Iwate,2200,35.48,8,0.21,7,0.18,24,0.62,62,1.59,8,0.21,11,0.28,10,0.26,2,0.05,-,-,2,0.05,-,-,-,-,-,-,-,-,26,1.37,-,-,-,-,747,12.05
Miyagi,1519,16.69,5,0.09,24,0.44,31,0.56,48,0.87,11,0.2,2,0.04,19,0.35,5,0.09,-,-,1,0.02,-,-,-,-,-,-,-,-,5,0.5,-,-,-,-,401,4.41
Akita,261,12.43,5,0.33,-,-,1,0.07,11,0.73,3,0.2,5,0.33,-,-,-,-,-,-,-,-,1,0.33,3,1,-,-,-,-,4,0.5,-,-,-,-,106,5.05
Yamagata,674,25.92,4,0.22,7,0.39,17,0.94,15,0.83,4,0.22,7,0.39,7,0.39,3,0.17,-,-,-,-,-,-,-,-,-,-,-,-,10,1,-,-,-,-,119,4.58
Fukushima,3841,46.84,8,0.16,17,0.35,39,0.8,50,1.02,8,0.16,6,0.12,11,0.22,3,0.06,-,-,-,-,-,-,13,1,-,-,-,-,6,0.86,-,-,-,-,1091,13.3
Ibaraki,6018,60.18,15,0.25,10,0.16,179,2.93,79,1.3,1,0.02,13,0.21,6,0.1,4,0.07,2,0.03,3,0.05,-,-,12,1,-,-,-,-,13,1,-,-,-,-,1221,12.21
