"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2023",,,,,,"Data collected as of February 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,285464,57.73,4903,1.56,2282,0.72,6775,2.15,124663,39.59,1395,0.44,1818,0.58,127,0.04,4115,1.31,863,0.27,478,0.15,40,0.06,864,1.25,36,0.08,42,0.09,53,0.11,3,0.01,18,0.04
Hokkaido,12245,53.71,484,3.51,192,1.39,445,3.22,1983,14.37,99,0.72,23,0.17,1,0.01,95,0.69,19,0.14,11,0.08,1,0.03,18,0.62,-,-,-,-,6,0.26,-,-,2,0.09
Aomori,3856,60.25,46,1.1,20,0.48,35,0.83,1534,36.52,9,0.21,3,0.07,1,0.02,51,1.21,1,0.02,6,0.14,-,-,2,0.2,1,0.17,-,-,12,2,-,-,-,-
Iwate,1691,26.84,129,3.23,17,0.43,203,5.08,1551,38.78,7,0.18,5,0.13,-,-,63,1.58,2,0.05,5,0.13,-,-,16,1.23,1,0.05,1,0.05,2,0.11,-,-,4,0.21
Miyagi,1654,17.41,159,2.74,46,0.79,97,1.67,2458,42.38,26,0.45,5,0.09,6,0.1,88,1.52,-,-,6,0.1,-,-,13,1.08,1,0.08,-,-,3,0.25,-,-,-,-
Akita,1312,25.73,27,0.82,19,0.58,65,1.97,721,21.85,9,0.27,3,0.09,3,0.09,36,1.09,29,0.88,4,0.12,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
Yamagata,919,20.89,85,2.93,19,0.66,68,2.34,1470,50.69,12,0.41,5,0.17,1,0.03,55,1.9,1,0.03,7,0.24,-,-,6,0.75,3,0.3,-,-,-,-,-,-,-,-
Fukushima,1822,21.95,481,9.62,50,1,98,1.96,1744,34.88,11,0.22,5,0.1,3,0.06,101,2.02,1,0.02,8,0.16,-,-,18,1.38,-,-,-,-,-,-,-,-,-,-
Ibaraki,4118,34.61,76,1.03,30,0.41,148,2,2385,32.23,18,0.24,2,0.03,1,0.01,61,0.82,3,0.04,10,0.14,-,-,69,4.06,-,-,-,-,4,0.33,-,-,1,0.08
Tochigi,2409,31.7,29,0.6,8,0.17,78,1.63,1721,35.85,19,0.4,20,0.42,1,0.02,73,1.52,4,0.08,2,0.04,-,-,16,1.33,-,-,-,-,-,-,-,-,-,-
Gunma,1923,22.36,52,0.98,47,0.89,44,0.83,2381,44.92,35,0.66,7,0.13,5,0.09,92,1.74,4,0.08,12,0.23,-,-,17,1.21,-,-,-,-,-,-,-,-,-,-
Saitama,10196,40.3,99,0.62,95,0.6,293,1.84,8037,50.55,84,0.53,43,0.27,9,0.06,212,1.33,6,0.04,36,0.23,6,0.15,44,1.1,2,0.18,7,0.64,1,0.09,-,-,1,0.09
Chiba,9931,47.29,83,0.64,33,0.25,204,1.57,6422,49.4,69,0.53,11,0.08,3,0.02,125,0.96,4,0.03,21,0.16,-,-,43,1.26,1,0.11,2,0.22,-,-,-,-,-,-
Tokyo,18998,46.11,120,0.46,115,0.44,333,1.28,12530,48.19,121,0.47,65,0.25,9,0.03,347,1.33,21,0.08,48,0.18,1,0.03,18,0.49,2,0.08,2,0.08,2,0.08,1,0.04,-,-
Kanagawa,18709,51.97,89,0.39,72,0.32,313,1.38,10092,44.46,70,0.31,52,0.23,11,0.05,253,1.11,23,0.1,51,0.22,1,0.02,121,2.42,1,0.09,2,0.18,3,0.27,-,-,-,-
Niigata,2553,29.69,212,3.79,50,0.89,262,4.68,1766,31.54,20,0.36,24,0.43,2,0.04,77,1.38,3,0.05,11,0.2,-,-,7,0.7,-,-,3,0.25,-,-,-,-,-,-
Toyama,3349,69.77,81,2.79,47,1.62,102,3.52,1604,55.31,14,0.48,7,0.24,2,0.07,30,1.03,5,0.17,1,0.03,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Ishikawa,5087,105.98,107,3.69,26,0.9,34,1.17,1759,60.66,13,0.45,40,1.38,1,0.03,42,1.45,3,0.1,3,0.1,-,-,22,3.14,-,-,-,-,2,0.4,-,-,-,-
Fukui,4690,126.76,37,1.61,50,2.17,75,3.26,886,38.52,33,1.43,64,2.78,2,0.09,35,1.52,5,0.22,4,0.17,-,-,1,0.33,3,0.5,2,0.33,-,-,-,-,-,-
Yamanashi,607,14.8,48,2,2,0.08,10,0.42,1047,43.63,1,0.04,-,-,1,0.04,37,1.54,1,0.04,4,0.17,-,-,21,2.33,-,-,-,-,-,-,-,-,2,0.2
Nagano,2777,31.92,119,2.25,9,0.17,82,1.55,2671,50.4,23,0.43,11,0.21,1,0.02,61,1.15,16,0.3,3,0.06,3,0.3,18,1.8,-,-,1,0.08,3,0.25,-,-,-,-
Gifu,2035,23.39,19,0.36,42,0.79,28,0.53,1005,18.96,3,0.06,5,0.09,1,0.02,47,0.89,1,0.02,1,0.02,-,-,5,0.45,-,-,-,-,-,-,-,-,1,0.2
Shizuoka,3192,22.96,135,1.52,72,0.81,76,0.85,3362,37.78,42,0.47,10,0.11,6,0.07,102,1.15,3,0.03,22,0.25,-,-,11,0.5,1,0.1,-,-,2,0.2,-,-,-,-
Aichi,9058,46.45,90,0.49,78,0.43,409,2.25,5709,31.37,56,0.31,29,0.16,5,0.03,157,0.86,2,0.01,13,0.07,-,-,13,0.37,2,0.13,2,0.13,-,-,-,-,-,-
Mie,3171,44.66,10,0.23,44,1,58,1.32,1414,32.14,24,0.55,3,0.07,3,0.07,64,1.45,2,0.05,4,0.09,-,-,2,0.17,2,0.22,1,0.11,-,-,-,-,-,-
Shiga,3085,51.42,11,0.31,33,0.92,46,1.28,1206,33.5,20,0.56,15,0.42,-,-,29,0.81,2,0.06,3,0.08,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,12885,103.91,44,0.59,69,0.92,280,3.73,2349,31.32,61,0.81,63,0.84,7,0.09,68,0.91,35,0.47,6,0.08,1,0.06,11,0.61,-,-,1,0.14,1,0.14,-,-,-,-
Osaka,37184,124.78,153,0.79,149,0.77,430,2.22,6671,34.39,104,0.54,115,0.59,7,0.04,213,1.1,46,0.24,30,0.15,5,0.1,42,0.81,-,-,2,0.13,-,-,-,-,1,0.06
Hyogo,14157,71.14,101,0.78,100,0.78,180,1.4,5905,45.78,58,0.45,161,1.25,6,0.05,143,1.11,27,0.21,18,0.14,2,0.06,48,1.37,2,0.14,2,0.14,-,-,-,-,-,-
Nara,4189,76.16,27,0.79,39,1.15,57,1.68,966,28.41,12,0.35,53,1.56,3,0.09,50,1.47,6,0.18,2,0.06,-,-,16,1.6,3,0.5,3,0.5,-,-,1,0.17,-,-
Wakayama,2793,57,47,1.57,13,0.43,35,1.17,785,26.17,10,0.33,24,0.8,-,-,27,0.9,1,0.03,4,0.13,1,0.25,-,-,1,0.09,-,-,1,0.09,-,-,-,-
Tottori,597,20.59,5,0.26,14,0.74,116,6.11,678,35.68,4,0.21,7,0.37,2,0.11,29,1.53,1,0.05,1,0.05,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Shimane,1050,27.63,2,0.09,12,0.52,22,0.96,900,39.13,15,0.65,50,2.17,-,-,52,2.26,3,0.13,1,0.04,-,-,1,0.33,1,0.13,-,-,-,-,-,-,-,-
Okayama,3081,36.68,122,2.26,59,1.09,56,1.04,2361,43.72,24,0.44,32,0.59,2,0.04,74,1.37,10,0.19,8,0.15,2,0.17,12,1,2,0.4,3,0.6,-,-,-,-,-,-
Hiroshima,4769,41.83,90,1.27,60,0.85,128,1.8,3695,52.04,24,0.34,19,0.27,1,0.01,81,1.14,11,0.15,5,0.07,2,0.11,35,1.84,-,-,-,-,1,0.05,-,-,1,0.05
Yamaguchi,1743,26.82,70,1.56,23,0.51,97,2.16,1959,43.53,12,0.27,18,0.4,1,0.02,77,1.71,18,0.4,6,0.13,-,-,21,2.33,-,-,-,-,1,0.11,-,-,-,-
Tokushima,1242,33.57,46,2,9,0.39,5,0.22,881,38.3,12,0.52,37,1.61,-,-,40,1.74,4,0.17,4,0.17,1,0.25,2,0.5,1,0.14,1,0.14,-,-,-,-,-,-
Kagawa,2918,62.09,47,1.68,23,0.82,12,0.43,2028,72.43,3,0.11,3,0.11,-,-,41,1.46,2,0.07,3,0.11,-,-,1,0.2,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,3107,50.93,64,1.73,16,0.43,103,2.78,2034,54.97,9,0.24,24,0.65,-,-,86,2.32,5,0.14,8,0.22,-,-,17,2.13,-,-,-,-,2,0.33,-,-,-,-
Kochi,2303,51.18,76,2.81,6,0.22,36,1.33,1037,38.41,8,0.3,38,1.41,4,0.15,43,1.59,-,-,1,0.04,-,-,2,0.67,1,0.13,-,-,2,0.25,-,-,3,0.38
Fukuoka,23365,118.01,288,2.4,134,1.12,704,5.87,4187,34.89,70,0.58,196,1.63,2,0.02,233,1.94,178,1.48,16,0.13,-,-,20,0.77,2,0.13,-,-,-,-,-,-,1,0.07
Saga,3593,92.13,86,3.74,31,1.35,32,1.39,366,15.91,3,0.13,47,2.04,1,0.04,54,2.35,45,1.96,4,0.17,-,-,2,0.5,-,-,1,0.17,-,-,-,-,1,0.17
Nagasaki,5687,81.24,182,4.14,25,0.57,525,11.93,1239,28.16,29,0.66,81,1.84,3,0.07,57,1.3,24,0.55,14,0.32,6,0.75,17,2.13,-,-,-,-,1,0.08,-,-,-,-
Kumamoto,4297,53.71,317,6.34,41,0.82,41,0.82,1891,37.82,24,0.48,67,1.34,-,-,124,2.48,133,2.66,10,0.2,-,-,23,2.56,2,0.13,2,0.13,-,-,-,-,-,-
Oita,4210,72.59,11,0.31,31,0.86,52,1.44,2255,62.64,14,0.39,10,0.28,2,0.06,82,2.28,41,1.14,11,0.31,-,-,15,3,-,-,1,0.09,2,0.18,-,-,-,-
Miyazaki,6200,108.77,56,1.6,69,1.97,59,1.69,2303,65.8,17,0.49,26,0.74,-,-,84,2.4,52,1.49,15,0.43,-,-,16,2.67,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,5028,55.25,191,3.54,110,2.04,75,1.39,2411,44.65,23,0.43,106,1.96,6,0.11,91,1.69,51,0.94,12,0.22,2,0.29,9,1.29,-,-,-,-,-,-,-,-,-,-
Okinawa,11679,212.35,50,1.56,33,1.03,124,3.88,304,9.5,21,0.66,184,5.75,2,0.06,33,1.03,9,0.28,3,0.09,6,0.67,44,4.89,1,0.14,1,0.14,-,-,1,0.14,-,-
