"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2023",,,,,,"Data collected as of February 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,63786,12.91,952,0.3,389,0.12,1313,0.42,22843,7.26,185,0.06,264,0.08,22,0.01,676,0.21,126,0.04,91,0.03,7,0.01,125,0.18,7,0.01,9,0.02,7,0.01,-,-,4,0.01
Hokkaido,2728,11.91,152,1.09,20,0.14,110,0.79,383,2.76,12,0.09,6,0.04,-,-,16,0.12,5,0.04,3,0.02,-,-,3,0.1,-,-,-,-,-,-,-,-,1,0.04
Aomori,1088,17,3,0.07,3,0.07,10,0.24,374,8.9,-,-,1,0.02,-,-,9,0.21,-,-,-,-,-,-,-,-,-,-,-,-,4,0.67,-,-,-,-
Iwate,914,14.51,24,0.6,3,0.08,60,1.5,278,6.95,-,-,-,-,-,-,6,0.15,-,-,2,0.05,-,-,2,0.14,-,-,-,-,-,-,-,-,1,0.05
Miyagi,401,4.22,24,0.41,9,0.16,25,0.43,629,10.84,2,0.03,-,-,1,0.02,14,0.24,-,-,1,0.02,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-
Akita,458,8.98,3,0.09,3,0.09,11,0.33,164,4.97,1,0.03,1,0.03,1,0.03,7,0.21,1,0.03,1,0.03,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,279,6.34,10,0.34,2,0.07,11,0.38,320,11.03,-,-,2,0.07,-,-,8,0.28,-,-,2,0.07,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
Fukushima,333,4.01,68,1.36,6,0.12,25,0.5,413,8.26,2,0.04,2,0.04,-,-,20,0.4,-,-,3,0.06,-,-,6,0.46,-,-,-,-,-,-,-,-,-,-
Ibaraki,927,7.79,25,0.33,6,0.08,15,0.2,395,5.27,-,-,-,-,1,0.01,13,0.17,1,0.01,-,-,-,-,8,0.47,-,-,-,-,-,-,-,-,-,-
Tochigi,575,7.57,2,0.04,1,0.02,16,0.33,333,6.94,4,0.08,2,0.04,-,-,8,0.17,1,0.02,-,-,-,-,7,0.58,-,-,-,-,-,-,-,-,-,-
Gunma,288,3.35,3,0.06,5,0.09,7,0.13,438,8.26,10,0.19,-,-,1,0.02,16,0.3,2,0.04,4,0.08,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
Saitama,2113,8.25,23,0.14,27,0.17,65,0.4,1181,7.34,20,0.12,13,0.08,1,0.01,35,0.22,1,0.01,6,0.04,-,-,5,0.13,1,0.09,2,0.18,-,-,-,-,-,-
Chiba,1995,9.5,11,0.08,6,0.05,43,0.33,970,7.46,11,0.08,-,-,1,0.01,16,0.12,1,0.01,4,0.03,-,-,6,0.18,-,-,-,-,-,-,-,-,-,-
Tokyo,4008,9.7,10,0.04,19,0.07,81,0.31,1749,6.73,12,0.05,17,0.07,1,0,56,0.22,4,0.02,9,0.03,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-
Kanagawa,4002,11.31,18,0.08,10,0.04,60,0.27,1569,6.97,10,0.04,7,0.03,1,0,36,0.16,3,0.01,11,0.05,-,-,20,0.41,-,-,-,-,-,-,-,-,-,-
Niigata,519,5.97,42,0.75,11,0.2,66,1.18,359,6.41,2,0.04,5,0.09,-,-,13,0.23,-,-,3,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toyama,1193,24.85,24,0.83,6,0.21,18,0.62,407,14.03,4,0.14,2,0.07,1,0.03,4,0.14,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ishikawa,1943,40.48,46,1.59,3,0.1,6,0.21,292,10.07,1,0.03,3,0.1,-,-,6,0.21,-,-,-,-,-,-,4,0.57,-,-,-,-,1,0.2,-,-,-,-
