Reporting Area,Current MMWR Year,MMWR WEEK,Disease,Current week,"Current week, flag"
総数,2026,11,AIDS,15,
総数,2026,11,Acute encephalitis,2,
総数,2026,11,Acute flaccid paralysis,0,
総数,2026,11,Acute hemorrhagic conjunctivitis,5,
総数,2026,11,Acute poliomyelitis,0,
総数,2026,11,Amoebic dysentery,10,
総数,2026,11,Anthrax,0,
総数,2026,11,Aseptic meningitis,17,
総数,2026,11,Avian influenza (H5N1),0,
総数,2026,11,Avian influenza (H7N9),0,
総数,2026,11,Avian influenza (excluding H5N1),0,
総数,2026,11,Bacterial dysentery,2,
総数,2026,11,Bacterial meningitis,15,
総数,2026,11,Botulism,0,
総数,2026,11,Brucellosis,0,
総数,2026,11,COVID-19,4498,
総数,2026,11,Carbapenem-resistant Enterobacterales infection,16,
総数,2026,11,Casanul forest disease,0,
総数,2026,11,Chickenpox,701,
総数,2026,11,Chickenpox (hospitalized cases),10,
総数,2026,11,Chikungunya fever,0,
総数,2026,11,Chlamydial pneumonia,7,
総数,2026,11,Cholera,0,
総数,2026,11,Coccidioidomycosis,0,
総数,2026,11,Congenital rubella syndrome,0,
総数,2026,11,Creutzfeldt-Jakob disease,4,
総数,2026,11,Crimean-Congo hemorrhagic fever,0,
総数,2026,11,Cryptosporidiosis,0,
総数,2026,11,Dengue fever,2,
総数,2026,11,Diphtheria,0,
総数,2026,11,Disseminated cryptococcosis,2,
総数,2026,11,Drug-resistant Acinetobacter infection,0,
総数,2026,11,Eastern equine encephalitis,0,
総数,2026,11,Ebola hemorrhagic fever,0,
総数,2026,11,Echinococcosis,0,
総数,2026,11,Enterohemorrhagic E. coli infection (EHEC),34,
総数,2026,11,Epidemic keratoconjunctivitis,234,
総数,2026,11,Erythema infectiosum (Fifth disease),282,
総数,2026,11,Giardiasis,0,
総数,2026,11,Group A streptococcal pharyngitis,6792,
総数,2026,11,Hand-foot-and-mouth disease,146,
総数,2026,11,Hantavirus pulmonary syndrome,0,
総数,2026,11,Hemorrhagic fever with renal syndrome,0,
総数,2026,11,Hendra virus infection,0,
総数,2026,11,Hepatitis A,3,
総数,2026,11,Hepatitis E,6,
総数,2026,11,Herpangina,33,
総数,2026,11,Herpes B (Macacine herpesvirus 1) infection,0,
総数,2026,11,Infectious gastroenteritis,14545,
総数,2026,11,Infectious gastroenteritis (Rotavirus),34,
総数,2026,11,Influenza,44322,
総数,2026,11,Invasive Haemophilus influenzae infection,13,
総数,2026,11,Invasive meningococcal disease,1,
総数,2026,11,Invasive pneumococcal disease,44,
総数,2026,11,Japanese encephalitis,0,
総数,2026,11,Japanese spotted fever,0,
総数,2026,11,Lassa fever,0,
総数,2026,11,Legionellosis,33,
総数,2026,11,Leptospirosis,0,
総数,2026,11,Lissavirus infection,0,
総数,2026,11,Lyme disease,0,
総数,2026,11,MERS (Middle East respiratory syndrome),0,
総数,2026,11,Malaria,1,
総数,2026,11,Marburg hemorrhagic fever,0,
総数,2026,11,Measles,32,
総数,2026,11,Melioidosis,0,
総数,2026,11,Mpox,2,
総数,2026,11,Mumps,74,
総数,2026,11,Mycoplasma pneumonia,94,
総数,2026,11,Nipah virus infection,0,
総数,2026,11,Omsk hemorrhagic fever,0,
総数,2026,11,Paratyphoid fever,0,
総数,2026,11,Pertussis (Whooping cough),88,
総数,2026,11,Pharyngoconjunctival fever,570,
総数,2026,11,Plague,0,
総数,2026,11,Pseudoglanders,0,
総数,2026,11,Psittacosis (Ornithosis),0,
総数,2026,11,Q fever,0,
総数,2026,11,Rabies,0,
総数,2026,11,Relapsing fever,0,
総数,2026,11,Respiratory syncytial virus infection (RSV),1354,
総数,2026,11,Rift Valley fever,0,
総数,2026,11,Rocky Mountain spotted fever,0,
総数,2026,11,Roseola (Exanthem subitum),454,
総数,2026,11,Rubella,0,
総数,2026,11,SARS (Severe Acute Respiratory Syndrome),0,
総数,2026,11,Scrub typhus (Tsutsugamushi disease),0,
総数,2026,11,Severe fever with thrombocytopenia syndrome (SFTS),1,
総数,2026,11,Severe invasive group A streptococcal infection,19,
総数,2026,11,Smallpox,0,
総数,2026,11,South American hemorrhagic fever,0,
総数,2026,11,Syphilis,168,
総数,2026,11,Tetanus,0,
総数,2026,11,Ticks-borne encephalitis,0,
総数,2026,11,Tuberculosis,257,
総数,2026,11,Tularemia,0,
総数,2026,11,Typhoid fever,0,
総数,2026,11,Typhus (Rickettsial),0,
総数,2026,11,Vancomycin-resistant Enterococcus infection,2,
総数,2026,11,Vancomycin-resistant Staphylococcus aureus infection,0,
総数,2026,11,Venezuelan equine encephalitis,0,
総数,2026,11,Viral hepatitis,4,
総数,2026,11,West Nile fever,0,
総数,2026,11,Western equine encephalitis,0,
総数,2026,11,Yellow fever,0,
総数,2026,11,Zika virus infection,0,
総数,2026,12,AIDS,10,
総数,2026,12,Acute encephalitis,5,
総数,2026,12,Acute flaccid paralysis,0,
総数,2026,12,Acute hemorrhagic conjunctivitis,9,
総数,2026,12,Acute poliomyelitis,0,
総数,2026,12,Amoebic dysentery,7,
総数,2026,12,Anthrax,0,
総数,2026,12,Aseptic meningitis,13,
総数,2026,12,Avian influenza (H5N1),0,
総数,2026,12,Avian influenza (H7N9),0,
総数,2026,12,Avian influenza (excluding H5N1),0,
総数,2026,12,Bacterial dysentery,5,
総数,2026,12,Bacterial meningitis,9,
総数,2026,12,Botulism,0,
総数,2026,12,Brucellosis,0,
総数,2026,12,COVID-19,4079,
総数,2026,12,Carbapenem-resistant Enterobacterales infection,23,
総数,2026,12,Casanul forest disease,0,
総数,2026,12,Chickenpox,781,
総数,2026,12,Chickenpox (hospitalized cases),10,
総数,2026,12,Chikungunya fever,0,
総数,2026,12,Chlamydial pneumonia,4,
総数,2026,12,Cholera,0,
総数,2026,12,Coccidioidomycosis,0,
総数,2026,12,Congenital rubella syndrome,0,
総数,2026,12,Creutzfeldt-Jakob disease,2,
総数,2026,12,Crimean-Congo hemorrhagic fever,0,
総数,2026,12,Cryptosporidiosis,0,
総数,2026,12,Dengue fever,0,
総数,2026,12,Diphtheria,0,
総数,2026,12,Disseminated cryptococcosis,2,
総数,2026,12,Drug-resistant Acinetobacter infection,0,
総数,2026,12,Eastern equine encephalitis,0,
総数,2026,12,Ebola hemorrhagic fever,0,
総数,2026,12,Echinococcosis,1,
総数,2026,12,Enterohemorrhagic E. coli infection (EHEC),26,
総数,2026,12,Epidemic keratoconjunctivitis,210,
総数,2026,12,Erythema infectiosum (Fifth disease),225,
総数,2026,12,Giardiasis,1,
総数,2026,12,Group A streptococcal pharyngitis,6049,
総数,2026,12,Hand-foot-and-mouth disease,139,
総数,2026,12,Hantavirus pulmonary syndrome,0,
総数,2026,12,Hemorrhagic fever with renal syndrome,0,
総数,2026,12,Hendra virus infection,0,
総数,2026,12,Hepatitis A,2,
総数,2026,12,Hepatitis E,11,
総数,2026,12,Herpangina,33,
総数,2026,12,Herpes B (Macacine herpesvirus 1) infection,0,
総数,2026,12,Infectious gastroenteritis,12759,
総数,2026,12,Infectious gastroenteritis (Rotavirus),36,
総数,2026,12,Influenza,37043,
総数,2026,12,Invasive Haemophilus influenzae infection,8,
総数,2026,12,Invasive meningococcal disease,1,
総数,2026,12,Invasive pneumococcal disease,47,
総数,2026,12,Japanese encephalitis,0,
総数,2026,12,Japanese spotted fever,0,
総数,2026,12,Lassa fever,0,
総数,2026,12,Legionellosis,19,
総数,2026,12,Leptospirosis,0,
総数,2026,12,Lissavirus infection,0,
総数,2026,12,Lyme disease,0,
総数,2026,12,MERS (Middle East respiratory syndrome),0,
総数,2026,12,Malaria,0,
総数,2026,12,Marburg hemorrhagic fever,0,
総数,2026,12,Measles,13,
総数,2026,12,Melioidosis,0,
総数,2026,12,Mpox,3,
総数,2026,12,Mumps,55,
総数,2026,12,Mycoplasma pneumonia,101,
総数,2026,12,Nipah virus infection,0,
総数,2026,12,Omsk hemorrhagic fever,0,
総数,2026,12,Paratyphoid fever,0,
総数,2026,12,Pertussis (Whooping cough),70,
総数,2026,12,Pharyngoconjunctival fever,537,
総数,2026,12,Plague,0,
総数,2026,12,Pseudoglanders,0,
総数,2026,12,Psittacosis (Ornithosis),0,
総数,2026,12,Q fever,0,
総数,2026,12,Rabies,0,
総数,2026,12,Relapsing fever,0,
総数,2026,12,Respiratory syncytial virus infection (RSV),1240,
総数,2026,12,Rift Valley fever,0,
総数,2026,12,Rocky Mountain spotted fever,0,
総数,2026,12,Roseola (Exanthem subitum),427,
総数,2026,12,Rubella,0,
総数,2026,12,SARS (Severe Acute Respiratory Syndrome),0,
総数,2026,12,Scrub typhus (Tsutsugamushi disease),1,
総数,2026,12,Severe fever with thrombocytopenia syndrome (SFTS),0,
総数,2026,12,Severe invasive group A streptococcal infection,17,
総数,2026,12,Smallpox,0,
総数,2026,12,South American hemorrhagic fever,0,
総数,2026,12,Syphilis,126,
総数,2026,12,Tetanus,1,
総数,2026,12,Ticks-borne encephalitis,0,
総数,2026,12,Tuberculosis,181,
総数,2026,12,Tularemia,0,
総数,2026,12,Typhoid fever,0,
総数,2026,12,Typhus (Rickettsial),0,
総数,2026,12,Vancomycin-resistant Enterococcus infection,2,
総数,2026,12,Vancomycin-resistant Staphylococcus aureus infection,0,
総数,2026,12,Venezuelan equine encephalitis,0,
総数,2026,12,Viral hepatitis,0,
総数,2026,12,West Nile fever,0,
総数,2026,12,Western equine encephalitis,0,
総数,2026,12,Yellow fever,0,
総数,2026,12,Zika virus infection,0,
総数,2026,16,AIDS,11,
総数,2026,16,Acute encephalitis,2,
総数,2026,16,Acute flaccid paralysis,0,
総数,2026,16,Acute hemorrhagic conjunctivitis,8,
総数,2026,16,Acute poliomyelitis,0,
総数,2026,16,Amoebic dysentery,6,
総数,2026,16,Anthrax,0,
総数,2026,16,Aseptic meningitis,23,
総数,2026,16,Avian influenza (H5N1),0,
総数,2026,16,Avian influenza (H7N9),0,
総数,2026,16,Avian influenza (excluding H5N1),0,
総数,2026,16,Bacterial dysentery,1,
総数,2026,16,Bacterial meningitis,8,
総数,2026,16,Botulism,0,
総数,2026,16,Brucellosis,0,
総数,2026,16,COVID-19,2556,
総数,2026,16,Carbapenem-resistant Enterobacterales infection,7,
総数,2026,16,Casanul forest disease,0,
総数,2026,16,Chickenpox,726,
総数,2026,16,Chickenpox (hospitalized cases),12,
総数,2026,16,Chikungunya fever,0,
総数,2026,16,Chlamydial pneumonia,8,
総数,2026,16,Cholera,0,
総数,2026,16,Coccidioidomycosis,0,
総数,2026,16,Congenital rubella syndrome,0,
総数,2026,16,Creutzfeldt-Jakob disease,7,
総数,2026,16,Crimean-Congo hemorrhagic fever,0,
総数,2026,16,Cryptosporidiosis,1,
総数,2026,16,Dengue fever,0,
総数,2026,16,Diphtheria,0,
総数,2026,16,Disseminated cryptococcosis,5,
総数,2026,16,Drug-resistant Acinetobacter infection,0,
総数,2026,16,Eastern equine encephalitis,0,
総数,2026,16,Ebola hemorrhagic fever,0,
総数,2026,16,Echinococcosis,0,
総数,2026,16,Enterohemorrhagic E. coli infection (EHEC),70,
総数,2026,16,Epidemic keratoconjunctivitis,258,
総数,2026,16,Erythema infectiosum (Fifth disease),190,
総数,2026,16,Giardiasis,0,
総数,2026,16,Group A streptococcal pharyngitis,6673,
総数,2026,16,Hand-foot-and-mouth disease,411,
総数,2026,16,Hantavirus pulmonary syndrome,0,
総数,2026,16,Hemorrhagic fever with renal syndrome,0,
総数,2026,16,Hendra virus infection,0,
総数,2026,16,Hepatitis A,3,
総数,2026,16,Hepatitis E,14,
総数,2026,16,Herpangina,105,
総数,2026,16,Herpes B (Macacine herpesvirus 1) infection,0,
総数,2026,16,Infectious gastroenteritis,11424,
総数,2026,16,Infectious gastroenteritis (Rotavirus),32,
総数,2026,16,Influenza,3457,
総数,2026,16,Invasive Haemophilus influenzae infection,6,
総数,2026,16,Invasive meningococcal disease,2,
総数,2026,16,Invasive pneumococcal disease,52,
総数,2026,16,Japanese encephalitis,0,
総数,2026,16,Japanese spotted fever,2,
総数,2026,16,Lassa fever,0,
総数,2026,16,Legionellosis,32,
総数,2026,16,Leptospirosis,0,
総数,2026,16,Lissavirus infection,0,
総数,2026,16,Lyme disease,0,
総数,2026,16,MERS (Middle East respiratory syndrome),0,
総数,2026,16,Malaria,0,
総数,2026,16,Marburg hemorrhagic fever,0,
総数,2026,16,Measles,57,
総数,2026,16,Melioidosis,0,
総数,2026,16,Mpox,2,
総数,2026,16,Multi-drug-resistant Pseudomonas aeruginosa infection,8,
総数,2026,16,Mumps,78,
総数,2026,16,Mycoplasma pneumonia,81,
総数,2026,16,Nipah virus infection,0,
総数,2026,16,Omsk hemorrhagic fever,0,
総数,2026,16,Paratyphoid fever,0,
総数,2026,16,Pertussis (Whooping cough),90,
総数,2026,16,Pharyngoconjunctival fever,581,
総数,2026,16,Plague,0,
総数,2026,16,Pseudoglanders,0,
総数,2026,16,Psittacosis (Ornithosis),0,
総数,2026,16,Q fever,0,
総数,2026,16,Rabies,0,
総数,2026,16,Relapsing fever,0,
総数,2026,16,Respiratory syncytial virus infection (RSV),1337,
総数,2026,16,Rift Valley fever,0,
総数,2026,16,Rocky Mountain spotted fever,0,
総数,2026,16,Roseola (Exanthem subitum),619,
総数,2026,16,Rubella,0,
総数,2026,16,SARS (Severe Acute Respiratory Syndrome),0,
総数,2026,16,Scrub typhus (Tsutsugamushi disease),1,
総数,2026,16,Severe fever with thrombocytopenia syndrome (SFTS),5,
総数,2026,16,Severe invasive group A streptococcal infection,20,
総数,2026,16,Smallpox,0,
総数,2026,16,South American hemorrhagic fever,0,
総数,2026,16,Syphilis,198,
総数,2026,16,Tetanus,3,
総数,2026,16,Ticks-borne encephalitis,0,
総数,2026,16,Tuberculosis,249,
総数,2026,16,Tularemia,0,
総数,2026,16,Typhoid fever,0,
総数,2026,16,Typhus (Rickettsial),0,
総数,2026,16,Vancomycin-resistant Enterococcus infection,2,
総数,2026,16,Vancomycin-resistant Staphylococcus aureus infection,0,
総数,2026,16,Venezuelan equine encephalitis,0,
総数,2026,16,Viral hepatitis,3,
総数,2026,16,West Nile fever,0,
総数,2026,16,Western equine encephalitis,0,
総数,2026,16,Yellow fever,0,
総数,2026,16,Zika virus infection,0,
総数,2026,17,AIDS,13,
総数,2026,17,Acute encephalitis,6,
総数,2026,17,Acute flaccid paralysis,2,
総数,2026,17,Acute hemorrhagic conjunctivitis,3,
総数,2026,17,Acute poliomyelitis,0,
総数,2026,17,Amoebic dysentery,2,
総数,2026,17,Anthrax,0,
総数,2026,17,Aseptic meningitis,22,
総数,2026,17,Avian influenza (H5N1),0,
総数,2026,17,Avian influenza (H7N9),0,
総数,2026,17,Avian influenza (excluding H5N1),0,
総数,2026,17,Bacterial dysentery,2,
総数,2026,17,Bacterial meningitis,7,
総数,2026,17,Botulism,0,
総数,2026,17,Brucellosis,0,
総数,2026,17,COVID-19,2528,
総数,2026,17,Carbapenem-resistant Enterobacterales infection,15,
総数,2026,17,Casanul forest disease,0,
総数,2026,17,Chickenpox,861,
総数,2026,17,Chickenpox (hospitalized cases),5,
総数,2026,17,Chikungunya fever,0,
総数,2026,17,Chlamydial pneumonia,3,
総数,2026,17,Cholera,0,
総数,2026,17,Coccidioidomycosis,1,
総数,2026,17,Congenital rubella syndrome,0,
総数,2026,17,Creutzfeldt-Jakob disease,3,
総数,2026,17,Crimean-Congo hemorrhagic fever,0,
総数,2026,17,Cryptosporidiosis,0,
総数,2026,17,Dengue fever,1,
総数,2026,17,Diphtheria,0,
総数,2026,17,Disseminated cryptococcosis,2,
総数,2026,17,Drug-resistant Acinetobacter infection,0,
総数,2026,17,Eastern equine encephalitis,0,
総数,2026,17,Ebola hemorrhagic fever,0,
総数,2026,17,Echinococcosis,1,
総数,2026,17,Enterohemorrhagic E. coli infection (EHEC),50,
総数,2026,17,Epidemic keratoconjunctivitis,295,
総数,2026,17,Erythema infectiosum (Fifth disease),189,
総数,2026,17,Giardiasis,0,
総数,2026,17,Group A streptococcal pharyngitis,7282,
総数,2026,17,Hand-foot-and-mouth disease,588,
総数,2026,17,Hantavirus pulmonary syndrome,0,
総数,2026,17,Hemorrhagic fever with renal syndrome,0,
総数,2026,17,Hendra virus infection,0,
総数,2026,17,Hepatitis A,6,
総数,2026,17,Hepatitis E,18,
総数,2026,17,Herpangina,131,
総数,2026,17,Herpes B (Macacine herpesvirus 1) infection,0,
総数,2026,17,Infectious gastroenteritis,12073,
総数,2026,17,Infectious gastroenteritis (Rotavirus),41,
総数,2026,17,Influenza,2295,
総数,2026,17,Invasive Haemophilus influenzae infection,10,
総数,2026,17,Invasive meningococcal disease,2,
総数,2026,17,Invasive pneumococcal disease,40,
総数,2026,17,Japanese encephalitis,0,
総数,2026,17,Japanese spotted fever,14,
総数,2026,17,Lassa fever,0,
総数,2026,17,Legionellosis,29,
総数,2026,17,Leptospirosis,0,
総数,2026,17,Lissavirus infection,0,
総数,2026,17,Lyme disease,0,
総数,2026,17,MERS (Middle East respiratory syndrome),0,
総数,2026,17,Malaria,0,
総数,2026,17,Marburg hemorrhagic fever,0,
総数,2026,17,Measles,68,
総数,2026,17,Melioidosis,0,
総数,2026,17,Mpox,6,
総数,2026,17,Multi-drug-resistant Pseudomonas aeruginosa infection,4,
総数,2026,17,Mumps,86,
総数,2026,17,Mycoplasma pneumonia,76,
総数,2026,17,Nipah virus infection,0,
総数,2026,17,Omsk hemorrhagic fever,0,
総数,2026,17,Paratyphoid fever,0,
総数,2026,17,Pertussis (Whooping cough),105,
総数,2026,17,Pharyngoconjunctival fever,692,
総数,2026,17,Plague,0,
総数,2026,17,Pseudoglanders,0,
総数,2026,17,Psittacosis (Ornithosis),0,
総数,2026,17,Q fever,0,
総数,2026,17,Rabies,0,
総数,2026,17,Relapsing fever,0,
総数,2026,17,Respiratory syncytial virus infection (RSV),1201,
総数,2026,17,Rift Valley fever,0,
総数,2026,17,Rocky Mountain spotted fever,0,
総数,2026,17,Roseola (Exanthem subitum),719,
総数,2026,17,Rubella,0,
総数,2026,17,SARS (Severe Acute Respiratory Syndrome),0,
総数,2026,17,Scrub typhus (Tsutsugamushi disease),3,
総数,2026,17,Severe fever with thrombocytopenia syndrome (SFTS),2,
総数,2026,17,Severe invasive group A streptococcal infection,18,
総数,2026,17,Smallpox,0,
総数,2026,17,South American hemorrhagic fever,0,
総数,2026,17,Syphilis,187,
総数,2026,17,Tetanus,3,
総数,2026,17,Ticks-borne encephalitis,0,
総数,2026,17,Tuberculosis,252,
総数,2026,17,Tularemia,0,
総数,2026,17,Typhoid fever,0,
総数,2026,17,Typhus (Rickettsial),0,
総数,2026,17,Vancomycin-resistant Enterococcus infection,2,
総数,2026,17,Vancomycin-resistant Staphylococcus aureus infection,0,
総数,2026,17,Venezuelan equine encephalitis,0,
総数,2026,17,Viral hepatitis,4,
総数,2026,17,West Nile fever,0,
総数,2026,17,Western equine encephalitis,0,
総数,2026,17,Yellow fever,0,
総数,2026,17,Zika virus infection,0,
総数,2026,18,AIDS,12,
総数,2026,18,Acute encephalitis,3,
総数,2026,18,Acute flaccid paralysis,0,
総数,2026,18,Acute hemorrhagic conjunctivitis,6,
総数,2026,18,Acute poliomyelitis,0,
総数,2026,18,Amoebic dysentery,6,
総数,2026,18,Anthrax,0,
総数,2026,18,Aseptic meningitis,22,
総数,2026,18,Avian influenza (H5N1),0,
総数,2026,18,Avian influenza (H7N9),0,
総数,2026,18,Avian influenza (excluding H5N1),0,
総数,2026,18,Bacterial dysentery,0,
総数,2026,18,Bacterial meningitis,9,
総数,2026,18,Botulism,0,
総数,2026,18,Brucellosis,0,
総数,2026,18,COVID-19,2170,
総数,2026,18,Carbapenem-resistant Enterobacterales infection,15,
総数,2026,18,Casanul forest disease,0,
総数,2026,18,Chickenpox,849,
総数,2026,18,Chickenpox (hospitalized cases),14,
総数,2026,18,Chikungunya fever,0,
総数,2026,18,Chlamydial pneumonia,11,
総数,2026,18,Cholera,0,
総数,2026,18,Coccidioidomycosis,0,
総数,2026,18,Congenital rubella syndrome,0,
総数,2026,18,Creutzfeldt-Jakob disease,3,
総数,2026,18,Crimean-Congo hemorrhagic fever,0,
総数,2026,18,Cryptosporidiosis,0,
総数,2026,18,Dengue fever,0,
総数,2026,18,Diphtheria,0,
総数,2026,18,Disseminated cryptococcosis,4,
総数,2026,18,Drug-resistant Acinetobacter infection,0,
総数,2026,18,Eastern equine encephalitis,0,
総数,2026,18,Ebola hemorrhagic fever,0,
総数,2026,18,Echinococcosis,0,
総数,2026,18,Enterohemorrhagic E. coli infection (EHEC),32,
総数,2026,18,Epidemic keratoconjunctivitis,258,
総数,2026,18,Erythema infectiosum (Fifth disease),157,
総数,2026,18,Giardiasis,0,
総数,2026,18,Group A streptococcal pharyngitis,7214,
総数,2026,18,Hand-foot-and-mouth disease,858,
総数,2026,18,Hantavirus pulmonary syndrome,0,
総数,2026,18,Hemorrhagic fever with renal syndrome,0,
総数,2026,18,Hendra virus infection,0,
総数,2026,18,Hepatitis A,3,
総数,2026,18,Hepatitis E,14,
総数,2026,18,Herpangina,207,
総数,2026,18,Herpes B (Macacine herpesvirus 1) infection,0,
総数,2026,18,Infectious gastroenteritis,11088,
総数,2026,18,Infectious gastroenteritis (Rotavirus),37,
総数,2026,18,Influenza,1500,
総数,2026,18,Invasive Haemophilus influenzae infection,10,
総数,2026,18,Invasive meningococcal disease,0,
総数,2026,18,Invasive pneumococcal disease,64,
総数,2026,18,Japanese encephalitis,1,
総数,2026,18,Japanese spotted fever,11,
総数,2026,18,Lassa fever,0,
総数,2026,18,Legionellosis,28,
総数,2026,18,Leptospirosis,0,
総数,2026,18,Lissavirus infection,0,
総数,2026,18,Lyme disease,0,
総数,2026,18,MERS (Middle East respiratory syndrome),0,
総数,2026,18,Malaria,3,
総数,2026,18,Marburg hemorrhagic fever,0,
総数,2026,18,Measles,23,
総数,2026,18,Melioidosis,0,
総数,2026,18,Mpox,4,
総数,2026,18,Multi-drug-resistant Pseudomonas aeruginosa infection,6,
総数,2026,18,Mumps,95,
総数,2026,18,Mycoplasma pneumonia,85,
総数,2026,18,Nipah virus infection,0,
総数,2026,18,Omsk hemorrhagic fever,0,
総数,2026,18,Paratyphoid fever,0,
総数,2026,18,Pertussis (Whooping cough),85,
総数,2026,18,Pharyngoconjunctival fever,745,
総数,2026,18,Plague,0,
総数,2026,18,Pseudoglanders,0,
総数,2026,18,Psittacosis (Ornithosis),0,
総数,2026,18,Q fever,0,
総数,2026,18,Rabies,0,
総数,2026,18,Relapsing fever,0,
総数,2026,18,Respiratory syncytial virus infection (RSV),982,
総数,2026,18,Rift Valley fever,0,
総数,2026,18,Rocky Mountain spotted fever,0,
総数,2026,18,Roseola (Exanthem subitum),742,
総数,2026,18,Rubella,0,
総数,2026,18,SARS (Severe Acute Respiratory Syndrome),0,
総数,2026,18,Scrub typhus (Tsutsugamushi disease),2,
総数,2026,18,Severe fever with thrombocytopenia syndrome (SFTS),11,
総数,2026,18,Severe invasive group A streptococcal infection,21,
総数,2026,18,Smallpox,0,
総数,2026,18,South American hemorrhagic fever,0,
総数,2026,18,Syphilis,139,
総数,2026,18,Tetanus,1,
総数,2026,18,Ticks-borne encephalitis,0,
総数,2026,18,Tuberculosis,246,
総数,2026,18,Tularemia,0,
総数,2026,18,Typhoid fever,1,
総数,2026,18,Typhus (Rickettsial),0,
総数,2026,18,Vancomycin-resistant Enterococcus infection,1,
総数,2026,18,Vancomycin-resistant Staphylococcus aureus infection,0,
総数,2026,18,Venezuelan equine encephalitis,0,
総数,2026,18,Viral hepatitis,1,
総数,2026,18,West Nile fever,0,
総数,2026,18,Western equine encephalitis,0,
総数,2026,18,Yellow fever,0,
総数,2026,18,Zika virus infection,0,
総数,2026,20,AIDS,15,
