"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5th week, 2023",,,,,,"Data collected as of February 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,62583,12.66,1020,0.32,406,0.13,1384,0.44,24866,7.89,213,0.07,293,0.09,20,0.01,697,0.22,156,0.05,96,0.03,3,0,144,0.21,3,0.01,12,0.03,9,0.02,-,-,4,0.01
Hokkaido,2624,11.46,94,0.68,39,0.28,74,0.53,362,2.6,9,0.06,4,0.03,-,-,18,0.13,2,0.01,1,0.01,-,-,7,0.24,-,-,-,-,1,0.04,-,-,-,-
Aomori,997,15.58,5,0.12,5,0.12,3,0.07,394,9.38,7,0.17,-,-,-,-,12,0.29,-,-,2,0.05,-,-,-,-,-,-,-,-,3,0.5,-,-,-,-
Iwate,355,5.63,41,1.03,3,0.08,58,1.45,397,9.93,1,0.03,-,-,-,-,14,0.35,-,-,2,0.05,-,-,4,0.29,1,0.05,-,-,-,-,-,-,1,0.05
Miyagi,352,3.71,21,0.36,2,0.03,19,0.33,584,10.07,2,0.03,1,0.02,-,-,12,0.21,-,-,2,0.03,-,-,2,0.17,-,-,-,-,1,0.08,-,-,-,-
Akita,313,6.14,6,0.18,3,0.09,12,0.36,211,6.39,1,0.03,1,0.03,-,-,2,0.06,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamagata,284,6.45,18,0.62,4,0.14,16,0.55,341,11.76,3,0.1,2,0.07,1,0.03,12,0.41,-,-,-,-,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
Fukushima,279,3.36,104,2.08,4,0.08,25,0.5,381,7.62,1,0.02,1,0.02,-,-,15,0.3,-,-,3,0.06,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
Ibaraki,827,6.89,22,0.29,7,0.09,22,0.29,458,6.11,3,0.04,1,0.01,-,-,7,0.09,-,-,-,-,-,-,9,0.53,-,-,-,-,1,0.08,-,-,1,0.08
Tochigi,531,6.99,1,0.02,2,0.04,16,0.33,398,8.29,2,0.04,6,0.13,-,-,10,0.21,1,0.02,-,-,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-
Gunma,317,3.69,7,0.13,10,0.19,7,0.13,472,8.91,5,0.09,-,-,2,0.04,18,0.34,1,0.02,1,0.02,-,-,2,0.14,-,-,-,-,-,-,-,-,-,-
Saitama,2125,8.3,13,0.08,23,0.14,55,0.34,1386,8.61,13,0.08,9,0.06,-,-,32,0.2,1,0.01,8,0.05,1,0.02,7,0.17,-,-,2,0.18,-,-,-,-,-,-
Chiba,2216,10.45,22,0.17,6,0.05,48,0.36,1145,8.67,17,0.13,-,-,-,-,24,0.18,2,0.02,4,0.03,-,-,10,0.29,-,-,1,0.11,-,-,-,-,-,-
Tokyo,4033,9.81,46,0.18,22,0.08,62,0.24,2269,8.73,22,0.08,12,0.05,2,0.01,62,0.24,3,0.01,11,0.04,-,-,5,0.13,-,-,1,0.04,1,0.04,-,-,-,-
Kanagawa,4524,12.74,13,0.06,9,0.04,56,0.25,1959,8.71,6,0.03,8,0.04,3,0.01,40,0.18,3,0.01,5,0.02,-,-,15,0.3,-,-,-,-,1,0.09,-,-,-,-
Niigata,437,5.02,25,0.45,10,0.18,62,1.11,357,6.38,7,0.13,9,0.16,-,-,15,0.27,2,0.04,4,0.07,-,-,-,-,-,-,2,0.17,-,-,-,-,-,-
Toyama,729,15.19,18,0.62,15,0.52,18,0.62,356,12.28,2,0.07,-,-,-,-,5,0.17,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,1100,22.92,30,1.03,2,0.07,5,0.17,340,11.72,3,0.1,4,0.14,-,-,6,0.21,1,0.03,1,0.03,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-
Fukui,1312,35.46,8,0.35,8,0.35,24,1.04,145,6.3,4,0.17,19,0.83,-,-,4,0.17,2,0.09,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Yamanashi,103,2.51,8,0.33,1,0.04,1,0.04,250,10.42,-,-,-,-,-,-,8,0.33,-,-,1,0.04,-,-,3,0.33,-,-,-,-,-,-,-,-,-,-
