"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5th week, 2023",,,,,,"Data collected as of February 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,221585,44.82,4025,1.28,1893,0.6,5459,1.73,101702,32.3,1217,0.39,1554,0.49,104,0.03,3438,1.09,737,0.23,387,0.12,33,0.05,740,1.07,29,0.06,33,0.07,46,0.1,3,0.01,14,0.03
Hokkaido,9539,41.84,328,2.38,172,1.25,333,2.41,1597,11.57,87,0.63,17,0.12,1,0.01,79,0.57,14,0.1,8,0.06,1,0.03,15,0.52,-,-,-,-,6,0.26,-,-,1,0.04
Aomori,2768,43.25,43,1.02,17,0.4,25,0.6,1160,27.62,9,0.21,2,0.05,1,0.02,42,1,1,0.02,6,0.14,-,-,2,0.2,1,0.17,-,-,8,1.33,-,-,-,-
Iwate,777,12.33,105,2.63,14,0.35,143,3.58,1273,31.83,7,0.18,5,0.13,-,-,57,1.43,2,0.05,3,0.08,-,-,14,1.08,1,0.05,1,0.05,2,0.11,-,-,3,0.16
Miyagi,1253,13.19,135,2.33,37,0.64,72,1.24,1829,31.53,24,0.41,5,0.09,5,0.09,74,1.28,-,-,5,0.09,-,-,10,0.83,1,0.08,-,-,3,0.25,-,-,-,-
Akita,852,16.71,24,0.73,16,0.48,53,1.61,554,16.79,8,0.24,2,0.06,2,0.06,29,0.88,28,0.85,3,0.09,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Yamagata,640,14.55,75,2.59,17,0.59,57,1.97,1150,39.66,12,0.41,3,0.1,1,0.03,47,1.62,1,0.03,5,0.17,-,-,5,0.63,3,0.3,-,-,-,-,-,-,-,-
Fukushima,1489,17.94,413,8.26,44,0.88,73,1.46,1331,26.62,9,0.18,3,0.06,3,0.06,81,1.62,1,0.02,5,0.1,-,-,12,0.92,-,-,-,-,-,-,-,-,-,-
Ibaraki,3189,26.58,51,0.69,24,0.32,133,1.8,1990,26.89,18,0.24,2,0.03,-,-,48,0.65,2,0.03,10,0.14,-,-,61,3.59,-,-,-,-,4,0.33,-,-,1,0.08
