disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D005,Acquired immunodeficiency syndrome (AIDS),,Ontario monthly preliminary,AIDS|Acquired immunodeficiency syndrome,Exact Ontario IDTO mapping based on the first confirmed AIDS diagnosis and Diagnosis Status Date; not mutually exclusive with HIV.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_AIDS_MONTHLY
D165,Amebiasis,,Ontario monthly preliminary,Amoebiasis|Amoebic dysentery,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series under the July 2026 technical notes.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_AMEBIASIS_MONTHLY
D092,Campylobacter Enteritis,,Ontario monthly preliminary,Campylobacteriosis|Campylobacter infection,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CAMPYLOBACTERIOSIS_MONTHLY
D054,Chickenpox (Varicella),,Ontario monthly preliminary,Varicella|Chickenpox,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_VARICELLA_MONTHLY
D094,Chlamydial Infections,,Ontario monthly preliminary,Chlamydia|Chlamydia trachomatis infection,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CHLAMYDIA_MONTHLY
D099,Giardiasis,,Ontario monthly preliminary,Giardia infection,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_GIARDIASIS_MONTHLY
D033,Gonorrhoea (All Types),,Ontario monthly preliminary,Gonorrhea|Gonococcal infection,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_GONORRHOEA_MONTHLY
D007,Hepatitis A,,Ontario monthly preliminary,Hepatitis A virus infection,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_HEPATITIS_A_MONTHLY
D068,"Hepatitis B, acute",,Ontario monthly preliminary,Acute hepatitis B,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_ACUTE_HEPATITIS_B_MONTHLY
D208,"Hepatitis B, chronic",,Ontario monthly preliminary,Chronic hepatitis B,Exact Ontario IDTO mapping using the iPHIS carrier classification; not mutually exclusive with acute hepatitis B after progression.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CHRONIC_HEPATITIS_B_MONTHLY
D009,Hepatitis C,,Ontario monthly preliminary,HCV|Hepatitis C virus infection,Exact course-unspecified Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_HEPATITIS_C_UNSPECIFIED_COURSE_MONTHLY
D162,HIV,,Ontario monthly preliminary,HIV infection|Human immunodeficiency virus infection,Exact Ontario IDTO mapping of eligible carrier/carrier and case/confirmed encounters by Encounter Date; includes AIDS-stage patients and is not additive with AIDS.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_HIV_MONTHLY
D235,Meningitis,,Ontario monthly preliminary,,Exact all-reported-etiologies Ontario IDTO mapping; must not be narrowed to bacterial meningitis.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_MENINGITIS_ALL_ETIOLOGIES_MONTHLY
D110,"Meningococcal Disease, Invasive",,Ontario monthly preliminary,Invasive meningococcal disease|IMD,Exact Ontario IDTO preliminary monthly mapping; source combines confirmed and probable cases.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_INVASIVE_MENINGOCOCCAL_DISEASE_MONTHLY
D234,Paratyphoid Fever,,Ontario monthly preliminary,Paratyphoid fever|Salmonella Paratyphi infection,Exact paratyphoid-only Ontario IDTO mapping; distinct from typhoid and combined enteric fever.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_PARATYPHOID_MONTHLY
D028,Pertussis (Whooping Cough),,Ontario monthly preliminary,Pertussis|Whooping cough,Exact Ontario IDTO preliminary monthly mapping; source combines confirmed and probable cases.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_PERTUSSIS_MONTHLY
D019,Rabies,,Ontario monthly preliminary,Human rabies,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_RABIES_MONTHLY
D114,Salmonellosis,,Ontario monthly preliminary,Salmonella infection,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_SALMONELLOSIS_MONTHLY
D105,Shigellosis,,Ontario monthly preliminary,Shigella infection|Bacillary dysentery,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_SHIGELLOSIS_MONTHLY
