disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D023,Anthrax,,National,,AU NINDSS mapping,AU NINDSS Monthly
D214,Australian bat lyssavirus infection,,National,,AU NINDSS mapping; excludes rabies by source definition,AU NINDSS Monthly,SRC_AU_NINDSS,SER_AU_ABLV_MONTHLY
D016,Avian influenza in humans (AIH),,National,,AU NINDSS mapping,AU NINDSS Monthly
D147,Barmah Forest virus infection,,National,,AU NINDSS mapping,AU NINDSS Monthly
D091,Botulism,,National,,AU NINDSS mapping,AU NINDSS Monthly
D032,Brucellosis,,National,,AU NINDSS mapping,AU NINDSS Monthly
D144,CJD,,National,,AU NINDSS mapping,AU NINDSS Monthly
D004,COVID-19,,National,,AU NINDSS mapping,AU NINDSS Monthly
D092,Campylobacteriosis,,National,,AU NINDSS mapping,AU NINDSS Monthly
D093,Chancroid,,National,,AU NINDSS mapping,AU NINDSS Monthly
D052,Chikungunya virus infection,,National,,AU NINDSS mapping,AU NINDSS Monthly
D094,Chlamydial infection,,National,,AU NINDSS mapping,AU NINDSS Monthly
D002,Cholera,,National,,AU NINDSS mapping,AU NINDSS Monthly
D096,Cryptosporidiosis,,National,,AU NINDSS mapping,AU NINDSS Monthly
D021,Dengue virus infection,,National,,AU NINDSS mapping,AU NINDSS Monthly
D029,Diphtheria,,National,,AU NINDSS mapping,AU NINDSS Monthly
D148,Donovanosis,,National,,AU NINDSS mapping,AU NINDSS Monthly
D149,Flavivirus infection (unspecified),,National,,AU NINDSS mapping,AU NINDSS Monthly
D150,Gonococcal infection,,National,,AU NINDSS mapping,AU NINDSS Monthly
D151,Haemolytic uraemic syndrome (HUS),,National,,AU NINDSS mapping,AU NINDSS Monthly
D100,Haemophilus influenzae type b,,National,,AU NINDSS mapping,AU NINDSS Monthly
D006,Hepatitis (NEC),,National,,Legacy flat-target compatibility only; ontology treats this as a non-additive residual series targeting G_VIRAL_HEPATITIS,AU NINDSS Monthly
D007,Hepatitis A,,National,,AU NINDSS mapping,AU NINDSS Monthly
D068,Hepatitis B (newly acquired),,National,,AU NINDSS mapping,AU NINDSS Monthly
