disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D013,Acute poliomyelitis,,Notifiable,Acute Poliomyelitis,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D165,Amoebic dysentery,,Notifiable,Amoebic Dysentery|Amebiasis,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D023,Anthrax,,Notifiable,,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D105,Bacillary dysentery,,Notifiable,Bacillary Dysentery|Shigellosis,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D091,Botulism,,Notifiable,,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D054,Chickenpox,,Notifiable,Varicella,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D052,Chikungunya fever,,Notifiable,Chikungunya,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D002,Cholera,,Notifiable,,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D206,Community-associated methicillin-resistant Staphylococcus aureus infection,,Notifiable,CA-MRSA|Community-associated MRSA infection,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D004,Coronavirus disease 2019 (COVID-19),,Notifiable,COVID-19|Coronavirus disease 2019,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D144,Creutzfeldt-Jakob disease,,Notifiable,CJD,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D021,Dengue fever,,Notifiable,Dengue Fever|Dengue,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D029,Diphtheria,,Notifiable,,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D207,Enterovirus 71 infection,,Notifiable,EV71,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D115,Escherichia coli O157:H7 infection,,Notifiable,Shiga toxin-producing Escherichia coli infection|STEC|E. coli O157:H7,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D196,Food poisoning - Outbreaks,,Notifiable,Food Poisoning - Outbreaks|Food poisoning- Outbreaks|Food Poisoning- Outbreaks,"Hong Kong, China CHP mapping; count is outbreaks not persons affected","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D100,Haemophilus influenzae type b infection (invasive),,Notifiable,Haemophilus influenzae type b|Hib,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D102,Hantavirus infection,,Notifiable,,"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,
D016,Influenza A(H2) Influenza A(H5) Influenza A(H7) Influenza A(H9),,Notifiable,"Influenza A(H2), Influenza A(H5), Influenza A(H7), Influenza A(H9)","Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,SER_HK_NOVEL_INFLUENZA_COMBINED_H2_H5_H7_H9
D016,"Influenza A(H5), Influenza A(H7) or Influenza A(H9)",,Notifiable,"Influenza A(H5) , Influenza A(H7) or Influenza A(H9)","Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,SER_HK_NOVEL_INFLUENZA_COMBINED_H5_H7_H9
D016,Influenza A - Influenza A (H2),,Notifiable,Novel influenza A infection - Influenza A (H2),"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,SER_HK_NOVEL_INFLUENZA_H2
D016,Influenza A - Influenza A (H5),,Notifiable,Novel influenza A infection - Influenza A (H5),"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,SER_HK_NOVEL_INFLUENZA_H5
D016,Influenza A - Influenza A (H7),,Notifiable,Novel influenza A infection - Influenza A (H7),"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,SER_HK_NOVEL_INFLUENZA_H7
D016,Influenza A - Influenza A (H9),,Notifiable,Novel influenza A infection - Influenza A (H9),"Hong Kong, China CHP mapping","Hong Kong, China CHP Notifiable Infectious Diseases",SRC_HK_CHP,SER_HK_NOVEL_INFLUENZA_H9
