disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D157,Betahemolytiska grupp A-streptokocker (invasiv),betahemolytiska-grupp-a-streptokocker-gas-invasiv,National monthly,Invasive group A streptococcal disease|iGAS,Invasive GAS source category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_IGAS
D091,Botulism,botulism,National monthly,Botulism,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_BOTULISM
D032,Brucellos,brucellos,National monthly,Brucellosis,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_BRUCELLOSIS
D092,Campylobacterinfektion,campylobacterinfektion,National monthly,Campylobacteriosis|Campylobacter infection,FHM source-defined Campylobacter category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_CAMPYLOBACTER
D096,Cryptosporidiuminfektion,cryptosporidiuminfektion,National monthly,Cryptosporidiosis|Cryptosporidium infection,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_CRYPTOSPORIDIUM
D021,Denguefeber,denguefeber,National monthly,Dengue|Dengue fever,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_DENGUE
D029,Difteri,difteri,National monthly,Diphtheria,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_DIPHTHERIA
D045,Echinokockinfektion,echinokockinfektion,National monthly,Echinococcosis|Echinococcus infection,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_ECHINOCOCCOSIS
D165,Entamoeba histolytica,entamoeba-histolytica,National monthly,Amebiasis|Amoebiasis|Amoebic dysentery,FHM Entamoeba histolytica source category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_ENTAMOEBA
D115,Enterohemorragisk E. coli-infektion,enterohemorragisk-e-coli-infektion,National monthly,EHEC|STEC|Shiga toxin-producing Escherichia coli infection,FHM enterohemorrhagic E. coli category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_EHEC
D099,Giardiainfektion,giardiainfektion,National monthly,Giardiasis|Giardia infection,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_GIARDIA
D033,Gonorré,gonorre,National monthly,Gonorrhea|Gonorrhoea,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_GONORRHEA
D123,Harpest,harpest,National monthly,Tularemia|Tularaemia|Rabbit fever,FHM tularemia category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_TULAREMIA
D007,Hepatit A,hepatit-a,National monthly,Hepatitis A,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_HEPATITIS_A
D008,Hepatit B,hepatit-b,National monthly,Hepatitis B,Source does not qualify acute or chronic course,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_HEPATITIS_B
D009,Hepatit C,hepatit-c,National monthly,Hepatitis C,Source does not qualify acute or chronic course,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_HEPATITIS_C
D010,Hepatit D,hepatit-d,National monthly,Hepatitis D,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_HEPATITIS_D
D011,Hepatit E,hepatit-e,National monthly,Hepatitis E,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_HEPATITIS_E
D100,Invasiv infektion med Haemophilus influenzae,invasiv-infektion-med-haemophilus-influenzae,National monthly,Invasive Haemophilus influenzae disease|Hib,Source is invasive disease and is not assumed to be type b only,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_HAEMOPHILUS_INVASIVE
D110,Invasiv meningokockinfektion,invasiv-meningokockinfektion,National monthly,Invasive meningococcal disease|Meningococcal disease,FHM invasive category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_MENINGOCOCCAL_INVASIVE
D106,Invasiv pneumokockinfektion,invasiv-pneumokockinfektion,National monthly,Invasive pneumococcal disease|IPD,FHM invasive category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_PNEUMOCOCCAL_INVASIVE
D028,Kikhosta,kikhosta,National monthly,Pertussis|Whooping cough,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_PERTUSSIS
D094,Klamydiainfektion,klamydiainfektion,National monthly,Chlamydia trachomatis infection|Chlamydia,FHM source-defined chlamydia category,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_CHLAMYDIA
D107,Legionellainfektion,legionellainfektion,National monthly,Legionellosis|Legionnaires' disease,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_LEGIONELLOSIS
D035,Leptospirainfektion,leptospirainfektion,National monthly,Leptospirosis|Leptospira infection,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_LEPTOSPIROSIS
D108,Listeriainfektion,listeriainfektion,National monthly,Listeriosis|Listeria infection,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_LISTERIOSIS
D037,Malaria,malaria,National monthly,Malaria,FHM SmiNet monthly national total,Sweden Public Health Agency SmiNet,SRC_SE_FOHM_SMINET,SER_SE_FOHM_SMINET_MALARIA
