disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D023,Anthrax,anth,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_ANTH_ANNUAL,source_category_dimension,concept,D023,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
,Arenavirus infection,arena,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved; legacy flat-target compatibility is intentionally disabled,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_ARENA_ANNUAL,source_category_dimension,group,G_UNMAPPED_SOURCE_CATEGORIES,unmapped,not_comparable,no_projection,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D091,Botulism,botu,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_BOTU_ANNUAL,source_category_dimension,concept,D091,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D032,Brucellosis,bruc,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_BRUC_ANNUAL,source_category_dimension,concept,D032,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D092,Campylobacteriosis,camp,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_CAMP_ANNUAL,source_category_dimension,concept,D092,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D203,Crimean-Congo haemorrhagic fever,cchf,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_CCHF_ANNUAL,source_category_dimension,concept,D203,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D052,Chikungunya virus disease,chik,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_CHIK_ANNUAL,source_category_dimension,concept,D052,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D094,Chlamydia infection,chlam,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_CHLAM_ANNUAL,source_category_dimension,concept,D094,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D002,Cholera,chol,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_CHOL_ANNUAL,source_category_dimension,concept,D002,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
D167,"Syphilis, congenital",consyph,National annual,,Reviewed ECDC annual country aggregate; absent cells are unknown and explicit zeroes are preserved,ECDC Surveillance Atlas of Infectious Diseases,SRC_SK_ECDC_ATLAS,SER_SK_ECDC_CONSYPH_ANNUAL,source_category_dimension,concept,D167,exact,conditional,canonical,non_additive,ECDC_CURRENT_GENERAL_ANNUAL_2026_08
