disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D041,Acute hemorrhagic conjunctivitis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D134,Aseptic meningitis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D135,Bacterial meningitis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D004,COVID-19,,Sentinel,SARS-CoV-2|Coronavirus Disease 2019,JP weekly mapping (TOTAL),JP NIID Weekly
D054,Chickenpox,,Sentinel,Varicella,JP weekly mapping (sentinel reports),JP NIID Weekly,SRC_JP_NIID,SER_JP_VARICELLA_SENTINEL_WEEKLY
D136,Chlamydial pneumonia,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D137,Epidemic keratoconjunctivitis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D138,Erythema infectiosum (Fifth disease),,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D224,Group A streptococcal pharyngitis,,Sentinel,,JP weekly mapping (sentinel reports),JP NIID Weekly,SRC_JP_NIID,SER_JP_GAS_PHARYNGITIS_SENTINEL_WEEKLY
D048,Hand-foot-and-mouth disease,,Sentinel,Hand-Foot-Mouth Disease|HFMD,JP weekly mapping (TOTAL),JP NIID Weekly
D139,Herpangina,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D047,Infectious gastroenteritis,,Sentinel,,JP weekly mapping (sentinel reports),JP NIID Weekly,SRC_JP_NIID,SER_JP_INFECTIOUS_GASTROENTERITIS_SENTINEL_WEEKLY
D199,Infectious gastroenteritis (Rotavirus),,Sentinel,Rotavirus gastroenteritis,JP weekly mapping (sentinel reports),JP NIID Weekly,SRC_JP_NIID,SER_JP_ROTAVIRUS_GASTROENTERITIS_SENTINEL_WEEKLY
D038,Influenza,,Sentinel,Flu,JP weekly mapping (TOTAL),JP NIID Weekly
D039,Mumps,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D140,Mycoplasma pneumonia,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D028,Pertussis (Whooping cough),,Sentinel,Pertussis|Whooping cough,JP weekly mapping (TOTAL),JP NIID Weekly
D141,Pharyngoconjunctival fever,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D142,Respiratory syncytial virus infection (RSV),,Sentinel,RSV infection,JP weekly mapping (TOTAL),JP NIID Weekly
D143,Roseola (Exanthem subitum),,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D013,Acute poliomyelitis,,Notifiable,Poliomyelitis,JP weekly mapping (all cases),JP NIID Weekly,SRC_JP_NIID,SER_JP_POLIOMYELITIS_WEEKLY
D165,Amoebic dysentery,,Notifiable,Amebiasis,JP weekly mapping (all cases),JP NIID Weekly,SRC_JP_NIID,SER_JP_AMEBIASIS_WEEKLY
D023,Anthrax,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D105,Bacterial dysentery,,Notifiable,Shigellosis,JP weekly mapping (all cases),JP NIID Weekly,SRC_JP_NIID,SER_JP_SHIGELLOSIS_WEEKLY
D091,Botulism,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D032,Brucellosis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D052,Chikungunya fever,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D002,Cholera,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D095,Coccidioidomycosis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D096,Cryptosporidiosis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D021,Dengue fever,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D029,Diphtheria,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D050,Ebola hemorrhagic fever,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D045,Echinococcosis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D115,Enterohemorrhagic E. coli infection (EHEC),,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D099,Giardiasis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D007,Hepatitis A,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D011,Hepatitis E,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D020,Japanese encephalitis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D053,Lassa fever,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D107,Legionellosis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D035,Leptospirosis,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D109,Lyme disease,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D037,Malaria,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D017,Measles,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D116,Melioidosis,,Notifiable,,JP weekly mapping (all cases),JP NIID Weekly,SRC_JP_NIID,SER_JP_MELIOIDOSIS_WEEKLY
D234,Paratyphoid fever,,Sentinel,,JP weekly mapping (TOTAL); paratyphoid-only source category,JP NIID Weekly,SRC_JP_NIID,SER_JP_PARATYPHOID_WEEKLY
D001,Plague,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D112,Psittacosis (Ornithosis),,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
D113,Q fever,,Sentinel,,JP weekly mapping (TOTAL),JP NIID Weekly
