disease_id,local_name,local_code,category,aliases,notes,data_source
D064,天花,050,First category,Smallpox|050,TW NIDSS mapping,Taiwan
D003,嚴重急性呼吸道症候群,SARS,First category,SARS|Severe Acute Respiratory Syndrome,TW NIDSS mapping,Taiwan
D001,鼠疫,020,First category,Plague|020,TW NIDSS mapping,Taiwan
D019,狂犬病,071,First category,Rabies|071,TW NIDSS mapping,Taiwan
D040,德國麻疹,056,Second category,Rubella|German measles|056,TW NIDSS mapping,Taiwan
D002,霍亂,001,Second category,Cholera|001,TW NIDSS mapping,Taiwan
D023,炭疽病,022,Second category,Anthrax|022,TW NIDSS mapping,Taiwan
D183,流行性斑疹傷寒,080,Second category,Epidemic typhus fever|080,TW NIDSS mapping,Taiwan
D029,白喉,032,Second category,Diphtheria|032,TW NIDSS mapping,Taiwan
D110,流行性腦脊髓膜炎,0360,Second category,Meningococcal meningitis|Meningococcal disease|0360,TW NIDSS mapping,Taiwan
D128,西尼羅熱,0663b,Second category,West Nile fever|West Nile virus|0663b,TW NIDSS mapping,Taiwan
D124,傷寒,002,Second category,Typhoid fever|002,TW NIDSS mapping,Taiwan
D026,副傷寒,002a,Second category,Paratyphoid fever|002a,TW NIDSS mapping,Taiwan
D013,小兒麻痺症,045,Second category,Poliomyelitis|Polio|045,TW NIDSS mapping,Taiwan
D178,急性無力肢體麻痺,045a,Second category,Acute flaccid paralysis|045a,TW NIDSS mapping,Taiwan
D024,桿菌性痢疾,004,Second category,Bacillary dysentery|Shigellosis|004,TW NIDSS mapping,Taiwan
D165,阿米巴性痢疾,006,Second category,Amebiasis|Amoebic dysentery|006,TW NIDSS mapping,Taiwan
D021,登革熱,061,Second category,Dengue|Dengue fever|061,TW NIDSS mapping,Taiwan
D037,瘧疾,084,Second category,Malaria|084,TW NIDSS mapping,Taiwan
D017,麻疹,055,Second category,Measles|055,TW NIDSS mapping,Taiwan
D051,茲卡病毒感染症,ZIKAV,Second category,Zika virus infection|Zika virus disease|ZIKAV,TW NIDSS mapping,Taiwan
D007,急性病毒性Ａ型肝炎,0701,Second category,Acute Hepatitis A|Hepatitis A|0701,TW NIDSS mapping,Taiwan
