disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D005,Acquired Immune Deficiency Syndrome,86,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D86_ANNUAL,source_category_dimension,concept,D005,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D178,Acute Flaccid Paralysis,177,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D177_ANNUAL,source_category_dimension,concept,D178,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D165,Amoebiasis,2,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D2_ANNUAL,source_category_dimension,concept,D165,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D023,Anthrax,6,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D6_ANNUAL,source_category_dimension,concept,D023,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D091,Botulism,13,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D13_ANNUAL,source_category_dimension,concept,D091,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D032,Brucellosis,15,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D15_ANNUAL,source_category_dimension,concept,D032,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D092,Campylobacteriosis,16,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D16_ANNUAL,source_category_dimension,concept,D092,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D054,Chickenpox,20,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D20_ANNUAL,source_category_dimension,concept,D054,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D094,Chlamydia,138,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D138_ANNUAL,source_category_dimension,concept,D094,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
D002,Cholera,21,National annual,,Reviewed PHAC CNDSS national annual reported count; null cells are unknown and explicit zeroes are preserved,Canadian Notifiable Disease Surveillance System (CNDSS),SRC_CA_PHAC_CNDSS,SER_CA_PHAC_CNDSS_D21_ANNUAL,source_category_dimension,concept,D002,exact,conditional,canonical,non_additive,CNDSS_NATIONAL_ANNUAL_2026_08
