disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D025,"Tuberculosis, total",700,National monthly,Tuberculosis|TB,Use the THL reported total only; pulmonary and other-organ child rows remain independent unprojected series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_700
D162,"HIV, total",150,National monthly,HIV infection,Use the THL all-stage total; HIV not AIDS is an overlapping child and is not projected,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_150
D005,AIDS,151,National monthly,Acquired immunodeficiency syndrome,Independent AIDS series; never add to HIV total,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_151
D115,EHEC,535,National monthly,STEC|Shiga toxin-producing Escherichia coli infection,THL reporting group code 535,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_535
D124,Salmonella Typhi,1180,National monthly,Typhoid fever,Typhi-only series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_1180
D234,Salmonella Paratyphi,1190,National monthly,Paratyphoid fever,Paratyphi-only series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_1190
D114,"Salmonella, other",1200,National monthly,Non-typhoidal salmonellosis,Residual Salmonella category excluding Typhi and Paratyphi; retain as its own non-additive series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_1200
D068,"Hepatitis B, acute",140,National monthly,Acute hepatitis B,Course-qualified source series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_140
D208,"Hepatitis B, chronic",141,National monthly,Chronic hepatitis B,Course-qualified source series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_141
D038,Influenza,1135,National monthly,Seasonal influenza,Use reported influenza total; Influenza A and B child rows remain independent unprojected series,Finland THL Infectious Diseases Register,SRC_FI_THL_TTR,SER_FI_THL_TTR_1135
