disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
,Acinetobacter-Infektion oder –Kolonisation,acinetobacter-infektion-oder-kolonisation,National weekly,,Mixed infection and colonization category does not match the infection-only concept,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,group,G_UNMAPPED_SOURCE_CATEGORIES,unmapped,not_comparable,no_projection,non_additive,*
D165,Amoebiasis,amoebiasis,National weekly,,Reviewed official source category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D165,exact,conditional,canonical,direct_only,*
D089,Arbovirus-Erkrankung,arbovirus-erkrankung,National weekly,,Reviewed aggregate arboviral disease category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D089,exact,conditional,canonical,direct_only,*
,Bornavirus,bornavirus,National weekly,,No reviewed canonical bornavirus disease concept,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,group,G_UNMAPPED_SOURCE_CATEGORIES,unmapped,not_comparable,no_projection,non_additive,*
D109,Borreliose,borreliose,National weekly,,Reviewed official source category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D109,exact,conditional,canonical,direct_only,*
D091,Botulismus,botulismus,National weekly,,Reviewed official source category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D091,exact,conditional,canonical,direct_only,*
D032,Brucellose,brucellose,National weekly,,Reviewed official source category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D032,exact,conditional,canonical,direct_only,*
D092,Campylobacter-Enteritis,campylobacter-enteritis,National weekly,,Reviewed official source category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D092,exact,conditional,canonical,direct_only,*
D101,"Candida auris, invasive Infektion",candida-auris-invasive-infektion,National weekly,,Invasive subset of the canonical Candida auris concept,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D101,narrower,conditional,canonical,direct_only,*
D052,Chikungunya-Fieber,chikungunya-fieber,National weekly,,Reviewed official source category,Germany RKI SurvStat 2.0,SRC_DE_RKI_SURVSTAT,,source_category_dimension,concept,D052,exact,conditional,canonical,direct_only,*
