disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D185,Work accident with biological material,ACBI,Other,ACBI|Acidente de trabalho com material biologico,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D186,Serious work accident,ACGR,Other,ACGR|Acidente de trabalho grave,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D005,AIDS in adults,AIDA,Viral,AIDA|Aids adulto|AIDS adulto,Brazil SINAN prefix mapping,Brazil DATASUS SINAN,SRC_BR_SINAN,SER_BR_AIDS_ADULT_AIDA
D005,AIDS in children,AIDC,Viral,AIDC|Aids crianca|AIDS crianca,Brazil SINAN prefix mapping,Brazil DATASUS SINAN,SRC_BR_SINAN,SER_BR_AIDS_CHILD_AIDC
D184,Accident caused by venomous animals,ANIM,Other,ANIM|Acidente por animais peconhentos,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D187,Rabies post-exposure prophylaxis,ANTR,Other,ANTR|Atendimento antirrabico,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D091,Botulism,BOTU,Bacterial,BOTU|Botulismo,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D188,Work-related cancer,CANC,Other,CANC|Cancer relacionado ao trabalho,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D084,Acute Chagas disease,CHAG,Parasitic,CHAG|Doenca de Chagas aguda,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D052,Chikungunya fever,CHIK,Viral,CHIK|Febre de Chikungunya|Chikungunya,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D002,Cholera,COLE,Bacterial,COLE|Colera,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D028,Pertussis,COQU,Bacterial,COQU|Coqueluche,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D144,Creutzfeldt-Jakob disease,DCRJ,Prion,DCRJ|Doenca de Creutzfeldt-Jakob,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D021,Dengue,DENG,Viral,DENG|Dengue,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D189,Work-related dermatosis,DERM,Other,DERM|Dermatose ocupacional|Dermatoses ocupacionais,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D029,Diphtheria,DIFT,Bacterial,DIFT|Difteria,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D190,Sporotrichosis,ESPO,Fungal,ESPO|Esporotricose,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D036,Schistosomiasis,ESQU,Parasitic,ESQU|Esquistossomose,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D201,Exanthematous diseases,EXAN,Viral,EXAN|Doencas exantematicas,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D118,Spotted fever,FMAC,Bacterial,FMAC|Febre maculosa|Spotted fever rickettsiosis,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D124,Typhoid fever,FTIF,Bacterial,FTIF|Febre tifoide,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
D042,Leprosy,HANS,Bacterial,HANS|Hanseniase,Brazil SINAN prefix mapping,Brazil DATASUS SINAN
