disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D092,Campylobacteriosis,SER_NZ_CAMPYLOBACTERIOSIS_MONTHLY,Bacterial,,Reviewed NZ PHF Science monthly source category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_CAMPYLOBACTERIOSIS_MONTHLY,source_category_dimension,concept,D092,exact,conditional,canonical,non_additive,NZ_PHS_current
D004,COVID-19,SER_NZ_COVID19_MONTHLY,Viral,COVID-1,Reviewed NZ PHF Science monthly source category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_COVID19_MONTHLY,source_category_dimension,concept,D004,exact,conditional,canonical,non_additive,NZ_PHS_current
D096,Cryptosporidiosis,SER_NZ_CRYPTOSPORIDIOSIS_MONTHLY,Parasitic,,Reviewed NZ PHF Science monthly source category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_CRYPTOSPORIDIOSIS_MONTHLY,source_category_dimension,concept,D096,exact,conditional,canonical,non_additive,NZ_PHS_current
D021,Dengue fever,SER_NZ_DENGUE_MONTHLY,Viral,Dengue,Reviewed NZ PHF Science monthly source category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_DENGUE_MONTHLY,source_category_dimension,concept,D021,exact,conditional,canonical,non_additive,NZ_PHS_current
D156,Gastroenteritis,SER_NZ_GASTROENTERITIS_MONTHLY,Bacterial,Gastroenteritis³,Reviewed source-defined gastroenteritis category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_GASTROENTERITIS_MONTHLY,source_category_dimension,concept,D156,exact,conditional,canonical,non_additive,NZ_PHS_current
D099,Giardiasis,SER_NZ_GIARDIASIS_MONTHLY,Parasitic,,Reviewed NZ PHF Science monthly source category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_GIARDIASIS_MONTHLY,source_category_dimension,concept,D099,exact,conditional,canonical,non_additive,NZ_PHS_current
D100,Haemophilus influenzae type b,SER_NZ_HAEMOPHILUS_INFLUENZAE_TYPE_B_MONTHLY,Bacterial,Haemophilus influenzae,Serotype-qualified source series is narrower than unqualified D100,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_HAEMOPHILUS_INFLUENZAE_TYPE_B_MONTHLY,source_category_dimension,concept,D100,narrower,conditional,canonical,non_additive,NZ_PHS_current
D007,Hepatitis A,SER_NZ_HEPATITIS_A_MONTHLY,Viral,,Reviewed NZ PHF Science monthly source category,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_HEPATITIS_A_MONTHLY,source_category_dimension,concept,D007,exact,conditional,canonical,non_additive,NZ_PHS_current
D008,Hepatitis B,SER_NZ_HEPATITIS_B_MONTHLY,Viral,Hepatitis B⁴,Source does not report a clinical-course split,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_HEPATITIS_B_MONTHLY,source_category_dimension,concept,D008,exact,conditional,canonical,non_additive,NZ_PHS_current
D009,Hepatitis C,SER_NZ_HEPATITIS_C_MONTHLY,Viral,Hepatitis C⁴,Source does not report a clinical-course split,NZ Monthly Notifiable,SRC_NZ_PHS,SER_NZ_HEPATITIS_C_MONTHLY,source_category_dimension,concept,D009,exact,conditional,canonical,non_additive,NZ_PHS_current
