disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D135,Bacterial meningitis (not otherwise specified),bacterial_meningitis_not_otherwise_specified,National weekly,Bacterial meningitis NOS,Source category excludes specified aetiologies,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_BACTERIAL_MENINGITIS_NOS_WEEKLY,source_category_dimension,concept,D135,narrower,conditional,canonical,non_additive,IE_HPSC_NDH_current
D091,Botulism,botulism,National weekly,,HPSC national weekly notifications,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_BOTULISM_WEEKLY,source_category_dimension,concept,D091,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
D032,Brucellosis,brucellosis,National weekly,,HPSC national weekly notifications,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_BRUCELLOSIS_WEEKLY,source_category_dimension,concept,D032,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
D092,Campylobacter infection,campylobacter_infection,National weekly,Campylobacteriosis,HPSC source label retained,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_CAMPYLOBACTER_WEEKLY,source_category_dimension,concept,D092,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
D227,Carbapenem-resistant Enterobacteriaceae infection (invasive),carbapenem_resistant_enterobacteriaceae_infection_invasive,National weekly,Invasive CRE infection,Invasive source category; do not merge with carriage or broader CPO series,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_INVASIVE_CRE_WEEKLY,source_category_dimension,concept,D227,narrower,conditional,canonical,non_additive,IE_HPSC_NDH_current
D054,Chickenpox - hospitalised cases,chickenpox_hospitalised_cases,National weekly,Hospitalised varicella,Hospitalised-case subset and not comparable with all chickenpox notifications,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_CHICKENPOX_HOSPITALISED_WEEKLY,source_category_dimension,concept,D054,narrower,not_comparable,discovery_only,non_additive,IE_HPSC_NDH_current
D052,Chikungunya disease,chikungunya_disease,National weekly,Chikungunya,HPSC national weekly notifications,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_CHIKUNGUNYA_WEEKLY,source_category_dimension,concept,D052,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
D094,Chlamydia trachomatis infection,chlamydia_trachomatis_infection,National weekly,Chlamydia,HPSC national weekly notifications,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_CHLAMYDIA_WEEKLY,source_category_dimension,concept,D094,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
D002,Cholera,cholera,National weekly,,HPSC national weekly notifications,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_CHOLERA_WEEKLY,source_category_dimension,concept,D002,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
D004,COVID-19,covid_19,National weekly,SARS-CoV-2 infection,HPSC national weekly notification series,Ireland HPSC Notifiable Diseases Hub,SRC_IE_HPSC_NDH,SER_IE_HPSC_COVID19_WEEKLY,source_category_dimension,concept,D004,exact,conditional,canonical,non_additive,IE_HPSC_NDH_current
