disease_id,local_name,local_code,category,aliases,data_source,notes,source_id,series_id
D099,Giardíusýking,annual:gastrointestinal:giardiasis:cases,National,Giardiasis|Giardia infection,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_GIARDIASIS
D092,Kampýlóbaktersýking,annual:gastrointestinal:campylobacteriosis:cases,National,Campylobacteriosis|Campylobacter infection,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_CAMPYLOBACTERIOSIS
D114,Salmonellusýking,annual:gastrointestinal:salmonellosis:cases,National,Salmonellosis|Salmonella infection,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_SALMONELLOSIS
D162,HIV sýking,annual:sti:hiv-infection:cases,National,HIV infection|HIV,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_HIV
D094,Klamydíusýking,annual:sti:chlamydia:cases,National,Chlamydia|Chlamydial infection,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_CHLAMYDIA
D033,Lekandi,annual:sti:gonorrhoea:cases,National,Gonorrhoea|Gonorrhea,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_GONORRHOEA
D034,Sárasótt,annual:sti:syphilis:cases,National,Syphilis,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_SYPHILIS
D008,Lifrarbólga B,annual:hepatitis:hepatitis-b:cases,National,Hepatitis B,Iceland Directorate of Health Annual Dashboard,Course-unspecified annual source series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_HEPATITIS_B
D009,Lifrarbólga C,annual:hepatitis:hepatitis-c:cases,National,Hepatitis C,Iceland Directorate of Health Annual Dashboard,Course-unspecified annual source series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_HEPATITIS_C
D237,Breiðvirkir beta laktamasar (ESBL/AmpC),annual:antimicrobial-resistance:esbl-ampc:cases,National,ESBL|AmpC|ESBL/AmpC,Iceland Directorate of Health Annual Dashboard,Source-defined resistance surveillance; do not assume infection-only,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_ESBL_AMPC
D236,Meticillín ónæmur staph. aureus (MÓSA),annual:antimicrobial-resistance:mrsa:cases,National,MRSA|MÓSA,Iceland Directorate of Health Annual Dashboard,Broad source-defined MRSA surveillance,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_MRSA
D004,COVID-19,annual:respiratory:covid-19:cases,National,Covid-19|SARS-CoV-2,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_COVID19
D038,Inflúensa,annual:respiratory:influenza:cases,National,Influenza|Seasonal influenza,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_INFLUENZA
D106,"Pneumókokkasýking, ífarandi",annual:respiratory:invasive-pneumococcal-disease:cases,National,Invasive pneumococcal disease|IPD,Iceland Directorate of Health Annual Dashboard,Annual national dashboard series,SRC_IS_DOH_ANNUAL,SER_IS_DOH_ANNUAL_INVASIVE_PNEUMOCOCCAL
D094,Klamydía,sti:chlamydia:monthly-diagnoses,National,Chlamydia,Iceland Directorate of Health STI Dashboard,Monthly national diagnoses,SRC_IS_DOH_STI,SER_IS_DOH_STI_CHLAMYDIA_MONTHLY
D033,Lekandi,sti:gonorrhoea:monthly-diagnoses,National,Gonorrhoea|Gonorrhea,Iceland Directorate of Health STI Dashboard,Monthly national diagnoses,SRC_IS_DOH_STI,SER_IS_DOH_STI_GONORRHOEA_MONTHLY
D034,Sárasótt,sti:syphilis:monthly-diagnoses,National,Syphilis,Iceland Directorate of Health STI Dashboard,Monthly national diagnoses; missing cells remain unknown,SRC_IS_DOH_STI,SER_IS_DOH_STI_SYPHILIS_MONTHLY
D004,Covid,respiratory:covid-19:weekly-diagnoses,National,COVID-19|Covid-19,Iceland Directorate of Health Respiratory Dashboard,Weekly national diagnoses,SRC_IS_DOH_RESPIRATORY,SER_IS_DOH_RESPIRATORY_COVID19_WEEKLY
D038,inflúensa,respiratory:influenza:weekly-diagnoses,National,Inflúensa|Influenza,Iceland Directorate of Health Respiratory Dashboard,Weekly national diagnoses,SRC_IS_DOH_RESPIRATORY,SER_IS_DOH_RESPIRATORY_INFLUENZA_WEEKLY
D142,RSV,respiratory:rsv:weekly-diagnoses,National,Respiratory syncytial virus,Iceland Directorate of Health Respiratory Dashboard,Weekly national diagnoses,SRC_IS_DOH_RESPIRATORY,SER_IS_DOH_RESPIRATORY_RSV_WEEKLY
D028,kíghósti,respiratory:pertussis:weekly-diagnoses,National,Kíghósti|Pertussis|Whooping cough,Iceland Directorate of Health Respiratory Dashboard,Weekly national diagnoses,SRC_IS_DOH_RESPIRATORY,SER_IS_DOH_RESPIRATORY_PERTUSSIS_WEEKLY
D140,mycoplasma,respiratory:mycoplasma:weekly-diagnoses,National,Mycoplasma|Mycoplasma pneumoniae,Iceland Directorate of Health Respiratory Dashboard,Weekly national diagnoses,SRC_IS_DOH_RESPIRATORY,SER_IS_DOH_RESPIRATORY_MYCO_PNEUMONIA_WEEKLY
