disease_id,local_name,local_code,category,aliases,data_source,notes,source_id,series_id
D001,Plague,Plague,Notifiable,,US CDC,
D002,Cholera,Cholera,Notifiable,"Cholera (toxigenic Vibrio cholerae O1 or O139)",US CDC,
D003,SARS,SARS,Notifiable,"Severe acute respiratory syndrome-associated coronavirus disease|Severe Acute Respiratory Syndrome",US CDC,Historical weekly label uses the SARS-associated coronavirus phrasing and should be reviewed separately from COVID-19
D004,COVID-19,COVID-19,Notifiable,Coronavirus Disease 2019|SARS-CoV-2|2019-nCoV,US CDC,No authoritative national weekly case-total label in current feed
D005,AIDS classifications,AIDS,Notifiable,AIDS|Acquired Immunodeficiency Syndrome|HIV stage 3|Stage 3 (AIDS) classifications,US CDC NHSS,Annual national AIDS classifications from the AtlasPlus historical extract; do not add to all-stage HIV diagnoses,SRC_US_NHSS,SER_US_NHSS_AIDS_ANNUAL
D162,HIV diagnoses among persons aged 13 years and older,HIV diagnoses,Notifiable,HIV diagnoses|Human Immunodeficiency Virus diagnoses,US CDC NHSS,Annual national NHSS diagnoses by year of diagnosis for persons aged 13 years and older,SRC_US_NHSS,SER_US_NHSS_HIV_ANNUAL
D007,"Hepatitis A, Confirmed",10110,Notifiable,"Hep A|Hepatitis A, acute|Hepatitis, A, acute",US CDC NNDSS,Hepatitis A is an acute surveillance condition,SRC_US_NNDSS,SER_US_HEPATITIS_A_CONFIRMED
D068,"Hepatitis B, acute, Confirmed",10100,Notifiable,"Hepatitis B, acute|Hepatitis, B, acute",US CDC NNDSS,Confirmed component of the acute hepatitis B series,SRC_US_NNDSS,SER_US_ACUTE_HEPATITIS_B_CONFIRMED
D068,"Hepatitis B, acute, Probable",10100,Notifiable,,US CDC NNDSS,Probable component; retain as a separate source series and sum only under an explicit disjoint-components rule,SRC_US_NNDSS,SER_US_ACUTE_HEPATITIS_B_PROBABLE
D208,"Hepatitis B, chronic, Confirmed",10105,Notifiable,,US CDC NNDSS,Confirmed component of the chronic hepatitis B series,SRC_US_NNDSS,SER_US_CHRONIC_HEPATITIS_B_CONFIRMED
D208,"Hepatitis B, chronic, Probable",10105,Notifiable,,US CDC NNDSS,Probable component; retain as a separate source series and sum only under an explicit disjoint-components rule,SRC_US_NNDSS,SER_US_CHRONIC_HEPATITIS_B_PROBABLE
D209,"Hepatitis B, perinatal, Confirmed",10104,Notifiable,"Hepatitis B perinatal infection|Hepatitis B, perinatal infection",US CDC NNDSS,Perinatal hepatitis B series
D210,"Hepatitis C, acute, Confirmed",10101,Notifiable,"Hep C|HCV|Hepatitis C, acute, confirmed",US CDC NNDSS,Confirmed component of the acute hepatitis C series,SRC_US_NNDSS,SER_US_ACUTE_HEPATITIS_C_CONFIRMED
D210,"Hepatitis C, acute, Probable",10101,Notifiable,,US CDC NNDSS,Probable component; retain as a separate source series and sum only under an explicit disjoint-components rule,SRC_US_NNDSS,SER_US_ACUTE_HEPATITIS_C_PROBABLE
