disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D029,Difteri,108,Barnevaksinasjonsprogrammet,Diphtheria,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_108_MONTHLY
D028,Kikhoste,101,Barnevaksinasjonsprogrammet,Pertussis|Whooping cough,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_101_MONTHLY
D039,Kusma,105,Barnevaksinasjonsprogrammet,Mumps,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_105_MONTHLY
D017,Meslinger,107,Barnevaksinasjonsprogrammet,Measles,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_107_MONTHLY
D013,Poliomyelitt,109,Barnevaksinasjonsprogrammet,Poliomyelitis|Polio,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_109_MONTHLY
D199,Rotavirussykdom,110,Barnevaksinasjonsprogrammet,Rotavirus infection|Rotavirus disease,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_110_MONTHLY
D040,Røde hunder,106,Barnevaksinasjonsprogrammet,Rubella|German measles,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_106_MONTHLY
D100,Syst. H. influenzae-sykdom,103,Barnevaksinasjonsprogrammet,Invasive Haemophilus influenzae disease|Hib disease,FHI MSIS systemic disease mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_103_MONTHLY
D120,Tetanus,104,Barnevaksinasjonsprogrammet,Tetanus,FHI MSIS diagnosis mapping,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_104_MONTHLY
D025,Tuberkulose,102,Barnevaksinasjonsprogrammet,Tuberculosis|TB,FHI MSIS disease mapping; excludes preventive treatment,Norway FHI MSIS Statistics Bank,SRC_NO_FHI_MSIS,SER_NO_FHI_102_MONTHLY
