"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2025",,,,,,"Data collected as of April 9, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,586667,120.79,40124,13.03,11576,3.76,87681,28.47,323282,104.96,11074,3.6,3256,1.06,30489,9.9,8110,2.63,380,0.12,1385,0.45,449,0.65,7281,10.6,135,0.28,155,0.32,3339,6.96,23,0.05,721,1.5,324544,66.82
Hokkaido,24799,113.24,2248,16.9,684,5.14,6432,48.36,5222,39.26,824,6.2,285,2.14,1678,12.62,232,1.74,20,0.15,57,0.43,4,0.14,102,3.64,1,0.04,4,0.17,168,7.3,2,0.09,34,1.48,18183,83.03
Aomori,6141,107.74,258,7.17,171,4.75,543,15.08,2352,65.33,202,5.61,93,2.58,1163,32.31,104,2.89,4,0.11,13,0.36,-,-,14,1.56,1,0.17,10,1.67,111,18.5,-,-,3,0.5,4512,79.16
Iwate,9364,151.03,330,8.46,167,4.28,1795,46.03,4138,106.1,117,3,88,2.26,560,14.36,130,3.33,3,0.08,17,0.44,-,-,112,8,8,0.42,2,0.11,128,6.74,-,-,13,0.68,5400,87.1
Miyagi,12143,133.44,492,8.95,327,5.95,1681,30.56,4312,78.4,202,3.67,71,1.29,1096,19.93,146,2.65,1,0.02,34,0.62,1,0.08,87,7.25,2,0.2,-,-,48,4.8,1,0.1,1,0.1,7757,85.24
Akita,3810,77.76,117,3.66,109,3.41,721,22.53,1735,54.22,77,2.41,55,1.72,100,3.13,49,1.53,6,0.19,5,0.16,6,1,27,4.5,1,0.13,-,-,57,7.13,-,-,9,1.13,2941,60.02
Yamagata,6215,155.38,213,8.52,155,6.2,990,39.6,1778,71.12,109,4.36,162,6.48,393,15.72,91,3.64,5,0.2,11,0.44,-,-,90,12.86,2,0.2,-,-,85,8.5,-,-,15,1.5,2419,60.48
Fukushima,11356,140.2,596,12.42,295,6.15,1276,26.58,3029,63.1,213,4.44,36,0.75,1338,27.88,153,3.19,-,-,22,0.46,4,0.31,384,29.54,1,0.14,1,0.14,46,6.57,-,-,9,1.29,8279,102.21
Ibaraki,16947,143.62,561,7.68,270,3.7,4702,64.41,7047,96.53,243,3.33,49,0.67,691,9.47,131,1.79,9,0.12,26,0.36,4,0.25,671,41.94,2,0.15,2,0.15,88,6.77,-,-,6,0.46,12180,103.22
