"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2023",,,,,,"Data collected as of November 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,20205,232.24,1897,35.79,677,12.77,1744,32.91,12740,240.38,214,4.04,559,10.55,37,0.7,449,8.47,4352,82.11,77,1.45,21,2.1,515,51.5,4,0.33,15,1.25,14,1.17,-,-,2,0.17,22795,262.01
Gifu,14376,167.16,2595,49.9,1242,23.88,1805,34.71,8375,161.06,116,2.23,457,8.79,31,0.6,455,8.75,2058,39.58,67,1.29,1,0.09,85,7.73,1,0.2,14,2.8,6,1.2,1,0.2,2,0.4,27672,321.77
Shizuoka,30203,217.29,4076,46.32,1861,21.15,2686,30.52,16901,192.06,291,3.31,1555,17.67,131,1.49,1016,11.55,6151,69.9,176,2,4,0.18,216,9.82,17,1.7,20,2,31,3.1,-,-,2,0.2,37861,272.38
Aichi,58490,299.95,6075,33.38,4606,25.31,8482,46.6,34986,192.23,519,2.85,1520,8.35,86,0.47,1364,7.49,8879,48.79,276,1.52,4,0.11,335,9.57,17,1.13,26,1.73,12,0.8,2,0.13,3,0.2,64904,332.84
Mie,18075,254.58,2923,66.43,1646,37.41,1469,33.39,10140,230.45,239,5.43,629,14.3,17,0.39,445,10.11,4037,91.75,39,0.89,-,-,63,5.25,12,1.33,23,2.56,6,0.67,1,0.11,-,-,18659,262.8
Shiga,14164,240.07,1325,37.86,434,12.4,1648,47.09,6066,173.31,290,8.29,624,17.83,7,0.2,338,9.66,2028,57.94,69,1.97,-,-,9,1.13,4,0.57,25,3.57,5,0.71,-,-,-,-,13052,221.22
Kyoto,37545,300.36,2445,32.17,3411,44.88,5203,68.46,11912,156.74,298,3.92,950,12.5,35,0.46,531,6.99,2770,36.45,97,1.28,5,0.29,132,7.76,3,0.43,5,0.71,5,0.71,-,-,12,1.71,28636,229.09
Osaka,89275,299.58,10316,53.18,12628,65.09,14906,76.84,37937,195.55,806,4.15,2550,13.14,82,0.42,1928,9.94,10733,55.32,457,2.36,23,0.45,820,16.08,9,0.56,22,1.38,11,0.69,-,-,10,0.63,59760,200.54
Hyogo,59085,298.41,7668,59.91,6031,47.12,6195,48.4,32221,251.73,510,3.98,2567,20.05,72,0.56,1277,9.98,6450,50.39,266,2.08,23,0.66,847,24.2,17,1.21,31,2.21,10,0.71,1,0.07,7,0.5,40734,205.73
Nara,12861,233.84,1974,58.06,1988,58.47,2439,71.74,6954,204.53,117,3.44,499,14.68,13,0.38,395,11.62,1633,48.03,43,1.26,4,0.4,271,27.1,9,1.5,7,1.17,3,0.5,1,0.17,1,0.17,14096,256.29
