,Disease,DiseaseCode,DiseaseGroup,Year,Month,Date,Cases,LocalCases,ImportedCases,Source,SourceURL
1,@엠폭스,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
2,A형간염,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
3,B형간염,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
4,C형간염,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
5,E형간염,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
6,b형헤모필루스인플루엔자,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
7,공수병,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
8,남아메리카출혈열,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
9,뎅기열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
10,동물인플루엔자 인체감염증,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
11,두창,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
12,디프테리아,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
13,라싸열,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
14,라임병,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
15,레지오넬라증,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
