"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2025",,,,,,"Data collected as of August 20, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,53,0.33,26,0.26,20,0.2,34,0.34,141,1.4,2,0.02,13,0.13,133,1.32,19,0.19,50,0.5,2,0.02,-,-,16,0.46,1,0.07,2,0.13,22,1.47,-,-,-,-,1671,10.25
Mie,9,0.15,20,0.54,8,0.22,31,0.84,109,2.95,6,0.16,10,0.27,80,2.16,2,0.05,50,1.35,2,0.05,-,-,12,1.33,-,-,-,-,7,0.78,-,-,-,-,394,6.35
Shiga,9,0.17,4,0.13,5,0.16,18,0.58,68,2.19,8,0.26,17,0.55,70,2.26,5,0.16,17,0.55,7,0.23,-,-,4,0.44,1,0.14,-,-,2,0.29,-,-,-,-,291,5.49
Kyoto,21,0.33,6,0.16,6,0.16,67,1.81,63,1.7,7,0.19,15,0.41,41,1.11,8,0.22,32,0.86,-,-,-,-,5,0.29,-,-,1,0.14,8,1.14,-,-,-,-,445,6.95
Osaka,39,0.13,105,0.57,44,0.24,61,0.33,287,1.55,12,0.06,26,0.14,144,0.78,19,0.1,140,0.76,4,0.02,3,0.06,22,0.42,1,0.06,-,-,3,0.17,-,-,-,-,985,3.38
Hyogo,39,0.26,20,0.21,24,0.25,58,0.6,196,2.04,15,0.16,17,0.18,84,0.88,16,0.17,41,0.43,2,0.02,1,0.03,2,0.06,1,0.07,5,0.36,7,0.5,-,-,-,-,740,5
Nara,5,0.15,11,0.58,2,0.11,4,0.21,71,3.74,1,0.05,27,1.42,30,1.58,7,0.37,14,0.74,1,0.05,-,-,2,0.33,-,-,-,-,9,1.5,-,-,-,-,189,5.73
Wakayama,41,0.93,16,0.59,4,0.15,11,0.41,50,1.85,8,0.3,5,0.19,76,2.81,3,0.11,34,1.26,2,0.07,-,-,1,0.33,-,-,-,-,4,0.36,-,-,-,-,319,7.25
Tottori,9,0.31,4,0.21,2,0.11,35,1.84,68,3.58,2,0.11,1,0.05,5,0.26,2,0.11,3,0.16,1,0.05,-,-,1,0.2,-,-,1,0.2,12,2.4,-,-,-,-,185,6.38
Shimane,-,-,5,0.45,5,0.45,3,0.27,59,5.36,6,0.55,-,-,25,2.27,6,0.55,1,0.09,1,0.09,-,-,-,-,-,-,1,0.13,4,0.5,-,-,-,-,169,8.45
