"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2025",,,,,,"Data collected as of May 8, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,603134,130.15,47208,16.17,14769,5.06,110981,38.01,398609,136.51,14750,5.05,4020,1.38,41910,14.35,11074,3.79,580,0.2,2039,0.7,586,0.85,9683,14.07,168,0.35,208,0.43,3882,8.09,31,0.06,1157,2.41,349147,75.34
Hokkaido,25451,122.95,2669,21.18,867,6.88,8099,64.28,7658,60.78,967,7.67,368,2.92,2970,23.57,313,2.48,23,0.18,82,0.65,5,0.18,121,4.32,2,0.09,7,0.3,189,8.22,2,0.09,42,1.83,19449,93.96
Aomori,6489,115.88,321,8.92,236,6.56,681,18.92,2985,82.92,341,9.47,117,3.25,1358,37.72,147,4.08,6,0.17,19,0.53,-,-,14,1.56,1,0.17,10,1.67,131,21.83,-,-,3,0.5,4827,86.2
Iwate,9769,168.43,395,10.97,259,7.19,2091,58.08,5042,140.06,142,3.94,93,2.58,731,20.31,175,4.86,5,0.14,20,0.56,1,0.07,122,8.71,9,0.47,4,0.21,138,7.26,-,-,15,0.79,5747,99.09
Miyagi,12434,151.63,595,12.14,366,7.47,2102,42.9,5004,102.12,234,4.78,76,1.55,1350,27.55,199,4.06,2,0.04,52,1.06,2,0.17,123,10.25,2,0.2,4,0.4,55,5.5,1,0.1,8,0.8,8104,98.83
Akita,4196,95.36,136,4.86,126,4.5,844,30.14,1934,69.07,98,3.5,63,2.25,124,4.43,57,2.04,9,0.32,5,0.18,11,1.83,37,6.17,2,0.25,-,-,76,9.5,-,-,9,1.13,3132,71.18
Yamagata,6351,162.85,343,13.72,184,7.36,1239,49.56,2620,104.8,178,7.12,174,6.96,723,28.92,129,5.16,9,0.36,21,0.84,-,-,100,14.29,2,0.2,1,0.1,99,9.9,-,-,22,2.2,2844,72.92
Fukushima,11792,161.53,718,16.7,336,7.81,1612,37.49,3782,87.95,292,6.79,52,1.21,1705,39.65,178,4.14,-,-,33,0.77,5,0.38,578,44.46,2,0.29,1,0.14,50,7.14,-,-,17,2.43,8663,118.67
Ibaraki,17179,160.55,675,10.38,330,5.08,5478,84.28,8409,129.37,305,4.69,57,0.88,1013,15.58,163,2.51,13,0.2,34,0.52,6,0.38,932,58.25,3,0.23,3,0.23,99,7.62,-,-,7,0.54,12798,119.61
Tochigi,10253,150.78,635,15.12,194,4.62,1824,43.43,4734,112.71,137,3.26,74,1.76,1548,36.86,209,4.98,4,0.1,26,0.62,3,0.27,221,20.09,5,0.71,3,0.43,32,4.57,-,-,14,2,7081,104.13
