,Disease,DiseaseCode,Year,Month,Date,Cases,DatasetStatus,SourceFiles,SourceURLs,Source
1,Accident caused by venomous animals,ANIM,2026,4,2026-04-01,34632,preliminary,ANIMBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/ANIMBR26.dbc,Brazil DATASUS SINAN Open Data
2,Botulism,BOTU,2026,4,2026-04-01,2,preliminary,BOTUBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/BOTUBR26.dbc,Brazil DATASUS SINAN Open Data
3,Chikungunya fever,CHIK,2026,4,2026-04-01,25238,preliminary,CHIKBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/CHIKBR26.dbc,Brazil DATASUS SINAN Open Data
4,Congenital rubella syndrome,SRC,2026,4,2026-04-01,3,preliminary,SRCBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/SRCBR26.dbc,Brazil DATASUS SINAN Open Data
5,Dengue,DENG,2026,4,2026-04-01,93278,preliminary,DENGBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/DENGBR26.dbc,Brazil DATASUS SINAN Open Data
6,Diphtheria,DIFT,2026,4,2026-04-01,2,preliminary,DIFTBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/DIFTBR26.dbc,Brazil DATASUS SINAN Open Data
7,Exanthematous diseases,EXAN,2026,4,2026-04-01,172,preliminary,EXANBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/EXANBR26.dbc,Brazil DATASUS SINAN Open Data
8,Exogenous poisoning,IEXO,2026,4,2026-04-01,23883,preliminary,IEXOBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/IEXOBR26.dbc,Brazil DATASUS SINAN Open Data
9,Hantavirus disease,HANT,2026,4,2026-04-01,71,preliminary,HANTBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/HANTBR26.dbc,Brazil DATASUS SINAN Open Data
10,Meningitis,MENI,2026,4,2026-04-01,2529,preliminary,MENIBR26.dbc,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/MENIBR26.dbc,Brazil DATASUS SINAN Open Data
