"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2023",,,,,,"Data collected as of January 11, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Tokushima,172,4.65,2,0.09,-,-,-,-,101,4.39,1,0.04,5,0.22,-,-,11,0.48,-,-,-,-,-,-,1,0.25,1,0.14,-,-,-,-,-,-,-,-
Kagawa,171,3.64,13,0.46,4,0.14,-,-,209,7.46,-,-,3,0.11,-,-,3,0.11,1,0.04,-,-,-,-,1,0.2,-,-,-,-,1,0.2,-,-,-,-
Ehime,451,7.39,6,0.16,1,0.03,24,0.65,161,4.35,1,0.03,10,0.27,-,-,12,0.32,3,0.08,3,0.08,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
Kochi,129,2.87,8,0.3,2,0.07,-,-,102,3.78,1,0.04,8,0.3,-,-,10,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
Fukuoka,1895,9.62,40,0.33,19,0.16,55,0.46,532,4.43,8,0.07,37,0.31,-,-,32,0.27,11,0.09,1,0.01,-,-,2,0.08,-,-,-,-,-,-,-,-,-,-
Saga,393,10.08,10,0.43,3,0.13,4,0.17,48,2.09,-,-,5,0.22,-,-,11,0.48,1,0.04,1,0.04,-,-,2,0.5,-,-,-,-,-,-,-,-,-,-
Nagasaki,498,7.11,21,0.48,7,0.16,61,1.39,142,3.23,11,0.25,6,0.14,1,0.02,9,0.2,1,0.02,1,0.02,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
Kumamoto,437,5.46,14,0.28,5,0.1,6,0.12,233,4.66,3,0.06,15,0.3,-,-,18,0.36,7,0.14,2,0.04,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Oita,298,5.14,2,0.06,3,0.08,8,0.22,204,5.67,2,0.06,6,0.17,1,0.03,9,0.25,1,0.03,1,0.03,-,-,3,0.6,-,-,-,-,-,-,-,-,-,-
Miyazaki,705,12.37,7,0.19,9,0.25,16,0.44,175,4.86,3,0.08,-,-,-,-,10,0.28,6,0.17,3,0.08,-,-,3,0.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,599,6.58,18,0.33,16,0.3,11,0.2,184,3.41,3,0.06,16,0.3,1,0.02,10,0.19,1,0.02,1,0.02,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,995,17.77,11,0.33,5,0.15,22,0.67,36,1.09,5,0.15,12,0.36,-,-,7,0.21,4,0.12,1,0.03,1,0.11,6,0.67,-,-,-,-,-,-,-,-,-,-
