"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年08週(02月16日～02月22日)","2026年02月25日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","131200","34.54","1276","0.56","635","0.28","6600","2.87","18439","8.02","749","0.33","110","0.05","307","0.13","458","0.20","32","0.01","44","0.02","9","0.01","293","0.42","13","0.03","13","0.03","116","0.24","8","0.02","27","0.06","6936","1.83"
"北海道","4244","25.41","83","0.83","23","0.23","733","7.33","488","4.88","75","0.75","2","0.02","24","0.24","13","0.13","2","0.02","-","-","-","-","2","0.07","-","-","-","-","9","0.39","-","-","1","0.04","772","4.62"
"青森県","1448","27.85","8","0.24","17","0.50","68","2.00","91","2.68","21","0.62","1","0.03","1","0.03","3","0.09","-","-","-","-","-","-","-","-","2","0.33","-","-","5","0.83","-","-","-","-","195","3.75"
"岩手県","1665","39.64","33","1.22","6","0.22","110","4.07","198","7.33","15","0.56","-","-","16","0.59","7","0.26","-","-","-","-","-","-","4","0.29","1","0.05","1","0.05","4","0.21","1","0.05","1","0.05","338","8.05"
"宮城県","1831","33.29","8","0.26","6","0.19","64","2.06","238","7.68","7","0.23","-","-","1","0.03","7","0.23","-","-","-","-","-","-","6","0.50","-","-","-","-","4","0.40","-","-","2","0.20","192","3.49"
"秋田県","592","23.68","4","0.31","2","0.15","25","1.92","75","5.77","13","1.00","-","-","-","-","3","0.23","-","-","-","-","1","0.14","4","0.57","-","-","-","-","2","0.25","-","-","-","-","83","3.32"
"山形県","1085","27.82","22","0.85","11","0.42","131","5.04","278","10.69","16","0.62","1","0.04","1","0.04","3","0.12","-","-","-","-","-","-","4","0.50","-","-","-","-","4","0.40","-","-","1","0.10","104","2.67"
"福島県","1844","38.42","26","0.93","9","0.32","42","1.50","188","6.71","18","0.64","-","-","1","0.04","13","0.46","-","-","-","-","-","-","10","0.77","1","0.14","-","-","3","0.43","-","-","-","-","115","2.40"
"茨城県","2408","35.94","15","0.41","8","0.22","223","6.03","363","9.81","13","0.35","-","-","2","0.05","8","0.22","-","-","-","-","-","-","15","0.88","-","-","-","-","3","0.23","-","-","1","0.08","205","3.06"
"栃木県","1993","42.40","18","0.67","4","0.15","68","2.52","230","8.52","5","0.19","-","-","6","0.22","7","0.26","-","-","-","-","-","-","5","0.42","-","-","-","-","4","0.57","-","-","-","-","200","4.26"
"群馬県","1541","34.24","16","0.67","4","0.17","33","1.38","333","13.88","5","0.21","-","-","2","0.08","6","0.25","-","-","-","-","-","-","3","0.30","-","-","1","0.11","6","0.67","-","-","1","0.11","92","2.04"
"埼玉県","8869","50.68","38","0.35","16","0.15","353","3.27","1033","9.56","34","0.31","5","0.05","3","0.03","13","0.12","-","-","2","0.02","3","0.07","10","0.23","1","0.08","-","-","4","0.33","-","-","1","0.08","417","2.38"
"千葉県","7320","40.67","38","0.35","6","0.06","302","2.77","779","7.15","21","0.19","1","0.01","4","0.04","17","0.16","-","-","2","0.02","-","-","19","0.56","-","-","-","-","-","-","1","0.11","-","-","359","1.99"
"東京都","13932","33.41","90","0.34","39","0.15","427","1.63","2880","10.99","69","0.26","4","0.02","7","0.03","60","0.23","2","0.01","12","0.05","-","-","11","0.29","-","-","1","0.04","3","0.12","2","0.08","7","0.28","686","1.65"
