id,disease_id,country_code,local_name,local_code,is_primary,is_alias,priority,category,source,confidence_score,verified_by,verified_at,usage_count,last_used_at,is_active,created_by,created_at,updated_at,metadata
2223,D001,CN,鼠疫,Plague,True,False,100,甲类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2224,D002,CN,霍乱,Cholera,True,False,100,甲类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2225,D003,CN,传染性非典型肺炎,SARS-CoV,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2226,D003,CN,非典,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2227,D003,CN,SARS,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2228,D004,CN,新型冠状病毒感染,COVID-19,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2229,D004,CN,新冠,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2230,D004,CN,新型冠状病毒肺炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2231,D004,CN,新冠肺炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2232,D004,CN,新型冠状病毒,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2233,D005,CN,艾滋病,AIDS,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2234,D005,CN,HIV,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2235,D005,CN,获得性免疫缺陷综合征,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2236,D006,CN,病毒性肝炎,Hepatitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2237,D006,CN,病毒性肝炎*;病毒性肝炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2238,D007,CN,甲型肝炎,Hepatitis A,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2239,D007,CN,甲肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2240,D008,CN,乙型肝炎,Hepatitis B,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2241,D008,CN,乙肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2242,D009,CN,丙型肝炎,Hepatitis C,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2243,D009,CN,丙肝;丙型肝炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2244,D010,CN,丁型肝炎,Hepatitis D,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2245,D010,CN,丁肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2246,D011,CN,戊型肝炎,Hepatitis E,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2247,D011,CN,戊肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2248,D012,CN,未分型肝炎,Other Hepatitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2249,D012,CN,肝炎未分型;肝炎（未分型）,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2250,D013,CN,脊髓灰质炎,Poliomyelitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2251,D013,CN,小儿麻痹症,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2252,D013,CN,灰质炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2253,D014,CN,人感染高致病性禽流感,H5N1,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
2254,D014,CN,禽流感H5N1;人感染H5N1病毒,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 09:54:15.491800,2026-02-14 09:54:15.491800,{}
