id,disease_id,country_code,local_name,local_code,is_primary,is_alias,priority,category,source,confidence_score,verified_by,verified_at,usage_count,last_used_at,is_active,created_by,created_at,updated_at,metadata
3776,D001,CN,鼠疫,Plague,True,False,100,甲类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3777,D002,CN,霍乱,Cholera,True,False,100,甲类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3778,D003,CN,传染性非典型肺炎,SARS-CoV,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3779,D003,CN,非典,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3780,D003,CN,SARS,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3781,D004,CN,新型冠状病毒感染,COVID-19,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3782,D004,CN,新冠,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3783,D004,CN,新型冠状病毒肺炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3784,D004,CN,新冠肺炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3785,D004,CN,新型冠状病毒,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3786,D005,CN,艾滋病,AIDS,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3787,D005,CN,HIV,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3788,D005,CN,获得性免疫缺陷综合征,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3789,D006,CN,病毒性肝炎,Hepatitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3790,D006,CN,病毒性肝炎*,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3792,D006,CN,肝炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3793,D007,CN,甲型肝炎,Hepatitis A,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3794,D007,CN,甲肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3795,D008,CN,乙型肝炎,Hepatitis B,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3796,D008,CN,乙肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3797,D009,CN,丙型肝炎,Hepatitis C,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3798,D009,CN,丙肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3800,D010,CN,丁型肝炎,Hepatitis D,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3801,D010,CN,丁肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3802,D011,CN,戊型肝炎,Hepatitis E,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3803,D011,CN,戊肝,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3804,D012,CN,未分型肝炎,Other Hepatitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3805,D012,CN,肝炎未分型,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3806,D012,CN,肝炎（未分型）,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3807,D012,CN,成型肝炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3808,D013,CN,脊髓灰质炎,Poliomyelitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3809,D013,CN,小儿麻痹症,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3810,D013,CN,灰质炎,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3811,D014,CN,人感染高致病性禽流感,H5N1,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3812,D014,CN,禽流感H5N1,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3813,D014,CN,人感染H5N1病毒,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3814,D015,CN,人感染H7N9禽流感,H7N9,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3815,D015,CN,禽流感H7N9,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3816,D015,CN,人感染H7N9病毒,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3817,D016,CN,人感染新亚型流感,Novel Influenza,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3818,D017,CN,麻疹,Measles,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3819,D018,CN,流行性出血热,Hemorrhagic Fever,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3820,D018,CN,肾综合征出血热,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3821,D018,CN,出血热,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3822,D019,CN,狂犬病,Rabies,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3823,D019,CN,疯狗病,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3824,D020,CN,流行性乙型脑炎,Japanese Encephalitis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3825,D020,CN,乙脑,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3826,D021,CN,登革热,Dengue,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3827,D065,CN,猴痘,Mpox,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3828,D065,CN,猴天花,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3829,D065,CN,Monkeypox,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3830,D023,CN,炭疽,Anthrax,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3831,D024,CN,细菌性和阿米巴性痢疾,Dysentery,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3832,D024,CN,痢疾,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3833,D025,CN,肺结核,Tuberculosis,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3834,D025,CN,结核病,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3835,D025,CN,TB,,True,False,90,,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
3836,D026,CN,伤寒和副伤寒,Typhoid,True,False,100,乙类,migration,1.0,,,0,,True,migration,2026-02-14 15:08:50.710353,2026-02-14 15:08:50.710353,{}
