"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2024",,,,,,"Data collected as of May 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1176,0.24,4748,1.51,2599,0.83,15769,5.03,15515,4.94,684,0.22,6672,2.13,180,0.06,1011,0.32,885,0.28,210,0.07,34,0.05,470,0.67,6,0.01,6,0.01,137,0.28,1,0,11,0.02,16554,3.35
Hokkaido,27,0.12,241,1.76,273,1.99,1281,9.35,761,5.55,20,0.15,8,0.06,-,-,17,0.12,6,0.04,4,0.03,-,-,4,0.14,-,-,-,-,4,0.18,-,-,1,0.05,1080,4.84
Aomori,7,0.12,19,0.51,33,0.89,123,3.32,125,3.38,22,0.59,3,0.08,4,0.11,14,0.38,4,0.11,1,0.03,-,-,1,0.1,-,-,-,-,7,1.17,-,-,-,-,192,3.31
Iwate,9,0.14,21,0.53,72,1.8,210,5.25,169,4.23,14,0.35,1,0.03,4,0.1,16,0.4,2,0.05,1,0.03,-,-,8,0.57,-,-,-,-,1,0.05,-,-,-,-,193,3.06
Miyagi,45,0.49,75,1.36,50,0.91,286,5.2,276,5.02,11,0.2,7,0.13,-,-,17,0.31,2,0.04,2,0.04,-,-,12,1,-,-,-,-,-,-,-,-,-,-,226,2.48
Akita,5,0.1,5,0.15,19,0.56,111,3.26,134,3.94,8,0.24,1,0.03,-,-,7,0.21,2,0.06,1,0.03,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-,213,4.1
Yamagata,11,0.26,40,1.43,42,1.5,323,11.54,182,6.5,3,0.11,1,0.04,-,-,11,0.39,1,0.04,2,0.07,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-,115,2.67
Fukushima,7,0.09,88,1.8,65,1.33,279,5.69,147,3,8,0.16,7,0.14,1,0.02,21,0.43,1,0.02,3,0.06,-,-,5,0.38,-,-,-,-,-,-,-,-,1,0.14,201,2.45
Ibaraki,118,0.98,74,0.99,70,0.93,511,6.81,201,2.68,4,0.05,78,1.04,1,0.01,16,0.21,2,0.03,5,0.07,-,-,40,2.35,-,-,-,-,7,0.54,-,-,-,-,444,3.7
Tochigi,5,0.07,34,0.71,13,0.27,243,5.06,95,1.98,16,0.33,74,1.54,4,0.08,18,0.38,7,0.15,-,-,-,-,9,0.75,-,-,-,-,-,-,-,-,1,0.14,258,3.39
Gunma,12,0.14,35,0.67,59,1.13,227,4.37,245,4.71,8,0.15,456,8.77,1,0.02,32,0.62,59,1.13,4,0.08,-,-,5,0.36,-,-,-,-,-,-,-,-,-,-,200,2.35
Saitama,52,0.2,217,1.32,157,0.96,878,5.35,871,5.31,40,0.24,178,1.09,14,0.09,60,0.37,34,0.21,23,0.14,15,0.36,39,0.93,-,-,-,-,1,0.08,-,-,-,-,987,3.78
Chiba,40,0.2,115,0.91,70,0.56,859,6.82,676,5.37,65,0.52,111,0.88,15,0.12,53,0.42,17,0.13,11,0.09,-,-,21,0.62,-,-,-,-,-,-,-,-,-,-,902,4.47
Tokyo,60,0.14,338,1.28,114,0.43,1040,3.94,1246,4.72,62,0.23,277,1.05,66,0.25,83,0.31,64,0.24,31,0.12,-,-,16,0.41,-,-,-,-,11,0.44,1,0.04,-,-,1246,2.97
Kanagawa,43,0.12,229,1,108,0.47,760,3.33,899,3.94,73,0.32,170,0.75,31,0.14,63,0.28,23,0.1,21,0.09,5,0.1,88,1.73,1,0.08,1,0.08,3,0.25,-,-,-,-,1166,3.22
Niigata,12,0.14,111,2.02,109,1.98,451,8.2,281,5.11,12,0.22,35,0.64,2,0.04,25,0.45,5,0.09,5,0.09,-,-,2,0.2,-,-,1,0.08,1,0.08,-,-,-,-,321,3.69
Toyama,20,0.42,61,2.1,35,1.21,150,5.17,250,8.62,14,0.48,16,0.55,-,-,7,0.24,2,0.07,1,0.03,-,-,2,0.29,-,-,-,-,3,0.6,-,-,-,-,158,3.29
Ishikawa,2,0.04,52,1.79,23,0.79,101,3.48,237,8.17,4,0.14,126,4.34,3,0.1,6,0.21,7,0.24,-,-,-,-,14,2,-,-,-,-,1,0.2,-,-,-,-,127,2.65
Fukui,8,0.21,82,3.28,35,1.4,126,5.04,125,5,4,0.16,202,8.08,-,-,9,0.36,14,0.56,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,52,1.33
Yamanashi,15,0.37,11,0.46,13,0.54,96,4,78,3.25,4,0.17,95,3.96,-,-,8,0.33,2,0.08,3,0.13,1,0.11,13,1.44,-,-,-,-,-,-,-,-,-,-,165,4.02
Nagano,29,0.33,59,1.09,40,0.74,286,5.3,263,4.87,5,0.09,14,0.26,1,0.02,12,0.22,4,0.07,1,0.02,8,0.8,36,3.6,1,0.08,-,-,-,-,-,-,1,0.08,404,4.59
